"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1","property","option","scope","pc","flow","unit","string","match","stack","search","expression","file","binding","signature","c","type","element","node","token","completion","declaration","binding","problem","insert","token","t","project","append","code","ptr","name","offset","source","text","element","entry","key","value","type","code"
"2","child","options","visit","entry","info","compilation","iproblem","pattern","out","pattern","annotation","path","method","buffer","array","reference","initializer","event","tokens","proposal","ast","scope","compiler","formatter","position","table","root","string","p","stack","file","contents","end","line","delta","container","index","constant","types","stream"
"3","list","non","declaration","pool","stream","imports","source","binding","top","match","visit","names","type","append","start","binding","ijava","visit","scribe","type","expression","type","options","space","current","undefined","path","buffer","node","consume","f","attribute","start","comment","info","classpath","size","right","itype","generate"
"4","expression","nls","nothing","constant","context","result","type","node","token","type","type","classpath","methods","parameter","li","scope","field","rewrite","scanner","relevance","type","field","problems","before","unicode","operator","java","see","li","expression","contents","local","declaration","range","ijava","path","table","t","name","scope"
"5","astnode","report","block","visitor","scope","ast","method","locator","repair","rule","pair","build","declaring","type","b","output","parent","bit","terminal","scope","statement","local","snippet","option","data","operand","model","non","param","identifier","reader","info","compiler","edit","working","project","object","left","info","label"
"6","descriptor","compiler","reference","offset","label","source","readable","reference","error","li","bits","files","reference","string","pre","ref","elements","extra","print","binding","set","variable","line","core","c","object","fragment","dom","link","declaration","zip","stack","internal","offset","java","id","current","b","wildcard","constant"
"7","method","string","selection","bytecode","inits","requestor","name","level","debug","r","implementation","source","field","exception","result","compiler","operation","pos","preferences","name","modifier","problem","message","opening","character","string","resource","nls","given","type","string","frame","field","tag","model","dt","length","ids","bound","required"
"8","ast","unused","expression","iopcode","index","declaration","field","type","nls","ijava","ast","output","bits","method","length","problem","code","group","alignment","method","internal","receiver","error","alignment","index","lang","monitor","core","returns","element","answer","number","append","buffer","copy","dd","value","position","hierarchy","value"
"9","node","map","constructor","mnemonics","statement","name","problem","set","recovery","simple","nothing","builder","acc","argument","end","qualified","access","astnode","line","token","compiler","reference","count","java","scanner","left","core","name","match","reference","flags","pool","parser","start","buffer","code","cache","lang","superclass","type"
"10","type","value","accept","line","init","problem","end","matching","println","name","binary","folder","length","parameters","given","internal","core","children","next","set","modifiers","flow","file","comma","identifier","java","entry","fragment","object","end","fragment","index","literal","javadoc","children","core","element","pool","parameter","current"
"11","b","warning","statement","ibytecode","state","icompilation","handle","element","non","qualification","reimplement","out","tag","name","first","javadoc","status","inits","number","ref","start","cast","environment","paren","next","nls","ijava","element","subtree","length","qualified","locals","method","end","parent","iclasspath","hashtable","file","names","true"
"12","omit","version","end","iconstant","local","parser","start","ref","system","requestor","pairs","state","inherited","tag","character","arguments","param","nb","comment","requestor","convert","current","evaluation","line","tag","non","manager","type","ul","ast","document","verification","range","f","owner","java","array","stack","binary","false"
"13","declared","put","qualified","names","count","bindings","arguments","possible","tokens","link","member","put","interfaces","length","name","lookup","resource","vector","start","names","name","expression","unit","brace","start","right","element","itype","flags","push","util","item","local","position","child","ipath","values","depth","length","implicit"
"14","descriptors","missing","astvisitor","write","null","problems","severity","impossible","act","document","true","length","modifiers","annotations","pattern","resolve","doc","dom","position","field","source","enclosing","units","declaration","invalid","null","status","java","whether","statement","core","constant","string","document","elements","output","hash","id","interfaces","left"
"15","javadoc","javadoc","initializer","see","block","context","constructor","report","parser","suffix","subclasses","system","fields","names","prefix","resolved","side","copy","space","receiver","keyword","compiler","compilation","pre","source","shift","classpath","iterator","o","assist","array","type","annotations","string","changed","model","buffer","opcodes","element","right"
"16","structural","severity","type","bytes","definitely","types","location","search","symbol","scope","compiler","print","constants","sig","param","param","created","b","current","reference","initializer","reporter","arg","constants","ptr","op","iresource","variable","type","parser","set","binding","parent","node","memento","plugin","job","opc","handle","conversion"
"17","api","problem","print","index","merged","curr","argument","matches","position","names","specific","string","types","signatures","p","tag","create","na","column","signature","variable","bits","logger","code","line","cast","resources","td","method","scanner","accept","code","member","html","see","location","set","system","key","expression"
"18","result","level","field","buffer","unconditional","parsed","options","declaration","buffer","enclosing","internal","read","selector","param","second","reporter","participant","null","lines","compute","decl","synthetic","requestor","closing","input","operands","exception","annotation","ast","recovered","names","length","var","formatter","handle","option","f","labels","requestor","optimized"
"19","statement","append","visitor","file","exception","demand","javadoc","accurate","action","participant","dimensions","debug","file","thrown","suffix","append","read","store","parens","missing","body","constant","bind","see","helper","less","folder","illegal","creates","completion","s","items","output","code","removed","patterns","elements","resize","parameterized","pc"
"20","pre","enabled","traverse","append","condition","options","declaring","name","scope","constants","visited","locations","enclosing","generic","index","single","p","astvisitor","end","qualified","operator","conversion","result","id","task","greater","ipath","primitive","safe","source","java","annotations","tab","indentation","change","library","threshold","println","count","operator"
