"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45"
"1","scope","pc","proposal","current","offset","property","match","stack","binding","token","pattern","node","bit","annotation","string","signature","li","type","element","stream","line","option","declaration","property","binding","options","insert","name","type","file","nls","entry","declaration","declaration","flow","completion","expression","scribe","project","stack","t","monitor","value","scope","code"
"2","type","visitor","type","unicode","contents","list","pattern","ptr","method","tokens","search","code","extra","annotations","iproblem","type","array","reference","info","code","tag","id","start","child","field","compiler","formatter","binary","binding","out","non","classpath","ast","parser","info","buffer","scope","f","path","repair","table","unit","constant","binding","p"
"3","stream","bytecode","name","position","pool","child","node","expression","type","start","match","visit","cache","bits","source","parameter","b","output","buffer","label","text","dt","source","expression","reference","problem","space","compound","wildcard","read","append","status","node","end","scope","flags","statement","range","root","top","key","working","right","type","link"
"4","code","iopcode","requestor","c","attribute","type","locator","consume","methods","ptr","index","p","vector","modifiers","method","buffer","pre","scope","java","scope","comment","dd","type","list","local","unit","before","imports","bound","system","buffer","string","unit","recovered","context","code","visit","print","java","error","undefined","model","left","problem","li"
"5","binding","mnemonics","relevance","character","constant","method","level","identifier","interfaces","end","simple","ast","b","tag","readable","string","start","itype","parent","generate","edit","compiler","ast","node","variable","compilation","option","environment","parameterized","println","string","name","compilation","source","local","append","block","token","delta","token","object","element","t","receiver","java"
"6","cast","ibytecode","names","data","stack","b","element","reference","declaring","source","rule","implementation","inits","method","type","append","given","hierarchy","see","required","start","report","end","statement","access","problems","core","type","generic","source","n","path","dom","start","variable","signature","reference","comment","container","symbol","size","ijava","id","invocation","param"
"7","expression","names","accept","index","local","ast","search","completion","reference","position","names","given","nb","acc","name","method","c","internal","elements","false","scanner","options","set","astnode","synthetic","line","opening","unit","arguments","zip","see","access","name","block","inits","li","compiler","preferences","element","parser","index","copy","string","reference","prefix"
"8","flow","see","set","next","frame","descriptor","reference","length","length","data","r","param","size","file","end","c","end","compiler","handle","position","position","warning","decl","ast","bindings","snippet","alignment","types","raw","java","core","output","astnode","pending","null","proposal","literal","line","model","buffer","value","requestor","aconstant","arguments","given"
"9","conversion","opcode","qualified","token","info","astnode","set","push","parameters","invalid","document","subclasses","mask","constants","handle","name","result","resolve","ijava","current","end","unused","name","descriptor","declaring","result","java","length","variable","names","content","rule","core","element","block","attribute","ast","document","classpath","act","length","java","compute","found","core"
"10","generate","append","field","identifier","index","declared","matching","assist","original","comment","name","nothing","na","field","start","exception","pattern","lookup","source","true","event","code","token","li","compiler","count","comma","problem","original","path","value","entries","member","count","statement","kind","operator","buffer","entry","temp","hashtable","compilation","object","enclosing","options"
"11","constant","write","declaration","scanner","number","code","matches","type","null","parsing","type","modifier","j","member","javadoc","array","character","qualified","model","branch","javadoc","non","convert","method","last","put","line","compilation","bounds","folder","array","core","type","annotation","initialization","separator","internal","space","fragment","state","element","owner","component","site","suffix"
"12","implicit","values","parameter","helper","locals","javadoc","type","element","variables","length","qualification","children","null","pair","arguments","parameters","first","resolved","memento","optimized","node","value","position","operator","outer","arg","paren","answer","capture","files","iterator","model","accept","parse","output","line","type","alignment","resource","recovery","current","core","ids","method","name"
"13","codegen","line","selection","without","file","omit","object","ast","next","report","suffix","end","bits","info","severity","length","second","ref","core","pc","offset","nls","initializer","body","enclosing","units","declaration","simple","reference","build","next","project","imports","type","exception","tab","declaration","format","ijava","action","string","icompilation","defining","current","project"
"14","receiver","string","types","u","t","descriptors","o","scanner","bindings","literals","path","type","index","type","field","argument","length","focus","children","constant","token","problem","scanner","structural","constant","error","code","source","t","reader","level","attributes","result","field","definitely","acc","qualified","indentation","manager","scope","threshold","exception","lang","visible","ul"
"15","bits","dump","token","task","code","declaration","impossible","k","fields","literal","key","returns","l","fields","constructor","signatures","param","null","itype","type","rewrite","map","compiler","event","lookup","evaluation","brace","add","ids","debug","print","java","source","local","variables","method","terminal","next","ipath","distance","values","iprogress","operation","arg","see"
"16","current","behavior","ref","source","verification","node","ref","statement","inherited","positions","sensitive","true","coverage","methods","problem","names","br","print","range","ids","pos","core","modifiers","omit","index","current","constants","problems","enclosing","resource","java","messages","exception","ptr","condition","p","astnode","tokens","core","index","hash","operation","f","unit","returns"
"17","info","nothing","method","nls","opc","structural","possible","generics","tag","current","declaring","declaration","length","source","declaring","start","p","types","string","cst","group","dl","modifier","result","internal","message","pre","find","kind","ioexception","map","rules","body","method","unconditional","field","traverse","html","iclasspath","stream","lang","progress","cst","reasons","results"
"18","compiler","buffer","source","name","item","api","declaration","position","types","tags","enclosing","false","flag","deprecated","location","index","separator","visitor","isource","operator","previous","severity","internal","code","problem","file","closing","restriction","actual","state","td","attribute","modifiers","body","count","mode","parenthesized","region","iresource","next","nls","elements","non","match","pre"
"19","reporter","messages","start","digit","opcodes","name","report","system","bits","reporter","ijava","reimplement","test","pairs","decl","count","segment","length","jem","implicit","column","category","range","operand","depth","logger","id","index","cached","stream","indent","patterns","annotation","brace","state","parameter","end","append","resources","lex","set","search","minus","argument","names"
"20","required","entry","find","input","map","jls","accurate","node","environment","inserted","constants","statement","limit","superclass","varargs","param","fragment","binding","mapper","invoke","current","variable","field","descriptors","argument","version","see","top","substituted","write","put","istatus","parent","bracket","init","proposals","nothing","text","info","j","non","copies","nls","id","note"
