"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1","flow","property","field","insert","info","index","node","string","completion","binding","type","pattern","value","bit","path","type","unit","signature","array","output","node","node","token","tag","wildcard","option","expression","name","pc","scribe","stack","t","file","code","fragment","code","declaration","ptr","f","contents","scope","line","key","delta","resource","method","pool","type","binding","stream"
"2","local","list","constructor","formatter","element","read","property","iproblem","proposal","match","binding","match","constant","extra","project","parameter","working","type","li","problem","append","p","current","annotation","bound","code","token","file","buffer","print","ptr","table","options","li","entry","match","source","identifier","range","offset","visit","comment","value","element","project","methods","constant","requestor","type","code"
"3","context","child","exceptions","space","model","offset","event","source","relevance","pattern","environment","search","right","inits","classpath","method","compilation","buffer","pre","append","visit","search","position","bits","type","dt","ast","entry","visitor","space","expression","undefined","compiler","p","names","node","end","stack","document","attribute","block","tag","index","ijava","java","interfaces","offset","name","scope","scope"
"4","variable","expression","argument","option","status","stream","rewrite","problem","name","node","enclosing","rule","left","vector","entry","name","element","string","b","scope","buffer","visit","scanner","annotations","variable","dd","operator","core","bytecode","preferences","consume","object","path","flags","root","p","start","reference","node","local","reference","text","size","buffer","root","binding","file","itype","field","label"
"5","info","astnode","imports","before","java","write","astnode","readable","token","reference","binary","r","t","b","java","parameters","monitor","append","prefix","compiler","nls","code","unicode","acc","nothing","compiler","compiler","answer","line","alignment","system","string","source","options","jar","object","annotation","consume","contents","frame","expression","start","table","changed","container","inherited","stack","accept","reference","generate"
"6","scope","method","length","core","ijava","names","edit","method","scope","locator","unit","name","cast","nb","container","names","copy","c","first","internal","non","li","c","constants","behavior","options","tokens","util","iopcode","insert","println","lang","files","snippet","name","subtree","initializer","expression","buffer","stack","end","end","length","stack","manager","type","position","hierarchy","problem","flow"
"7","null","ast","parameters","opening","source","document","list","end","names","type","key","li","id","na","root","types","model","name","start","reference","accept","param","character","modifiers","see","id","internal","format","mnemonics","number","length","java","nls","link","pkg","param","modifiers","completion","body","info","qualified","scanner","object","repair","model","next","b","element","receiver","current"
"8","binding","descriptor","thrown","java","core","file","child","arguments","ref","level","generic","qualification","expression","mask","model","declaration","owner","array","length","print","astvisitor","link","index","binding","actual","report","terminal","index","append","parens","out","nls","problem","compilation","folder","o","ast","element","append","number","nothing","javadoc","append","top","monitor","length","stream","types","enclosing","info"
"9","synthetic","b","type","alignment","parent","buffer","group","severity","set","element","parameterized","simple","type","null","ipath","source","java","length","given","problems","declaration","implementation","data","file","tag","core","statement","pool","ibytecode","before","debug","non","string","modifier","resources","whether","body","assist","domnode","verification","allocation","token","element","added","file","original","lang","focus","resolved","required"
"10","reporter","declared","arguments","line","children","offsets","statement","handle","type","declaration","compound","suffix","aconstant","test","iclasspath","field","ijava","argument","result","resolve","result","nothing","source","member","bounds","nls","name","constant","names","next","scanner","null","classpath","unit","resource","returns","member","parser","see","item","statement","offset","current","change","iresource","superclass","depth","names","invocation","block"
"11","problem","node","method","pre","name","bytes","pos","name","requestor","ref","types","ijava","operator","coverage","core","start","icompilation","start","pattern","type","next","given","next","field","bits","non","set","inner","string","declaration","position","operator","current","returns","java","safe","field","node","s","locals","single","position","nls","removed","fragment","current","opcodes","core","declaring","pc"
"12","initialization","omit","decl","constants","elements","utf","ast","start","signature","set","bindings","sensitive","ids","j","output","annotation","exception","sig","end","indent","see","participant","start","type","capture","map","declaration","read","messages","line","nls","left","non","param","qualified","given","recovered","k","start","index","type","buffer","cache","child","progress","declaring","opc","search","compiler","conversion"
"13","check","descriptors","exception","comma","string","info","dom","javadoc","qualified","matching","raw","constants","true","index","patterns","modifiers","iprogress","code","name","visitor","dom","specific","identifier","methods","substitutes","unused","start","iconstant","write","parenthesized","push","cast","zip","java","build","type","type","type","source","items","javadoc","indentation","buffer","children","core","types","count","length","id","codegen"
"14","assignment","javadoc","declaration","paren","handle","size","children","constructor","compute","resolve","resolved","declaring","false","bits","manager","variable","requestor","parameter","suffix","buffer","string","reimplement","invalid","source","original","value","convert","operation","number","opening","recovery","right","count","keyword","simple","subclasses","count","push","mask","code","astvisitor","previous","non","state","listener","substituted","pc","ijava","arguments","statement"
"15","sub","code","arg","declaration","buffer","u","curr","location","receiver","resolver","null","tokens","implicit","length","entries","member","project","pos","c","reporter","core","subclasses","ptr","fields","generic","warning","type","attribute","entry","lines","type","equal","print","set","length","method","method","length","name","pool","literal","length","hash","deltas","external","variables","code","environment","method","implicit"
"16","inits","type","modifiers","code","code","category","parent","token","reference","impossible","lookup","names","conversion","l","location","selector","create","exception","second","nls","iterator","children","line","value","inference","variable","astnode","see","opcode","format","non","shift","put","given","locations","implementation","local","token","position","length","visitor","html","string","old","eclipse","j","ids","selection","lookup","expression"
"17","count","structural","count","brace","exception","ioexception","range","argument","field","itype","name","enclosing","required","local","string","simple","itype","signatures","character","completion","modifiers","end","end","synthetic","constraint","problem","operand","exception","offset","brace","header","decode","system","see","marker","false","parser","ast","child","map","keep","tags","hashtable","error","job","selector","resize","unit","found","state"
"18","compiler","li","declaring","id","see","x","nodes","decl","method","report","cached","type","compute","info","ijava","constructor","cu","generic","param","non","statement","ast","name","method","binding","p","literal","access","constant","statements","statement","rigth","arg","source","fragments","matches","element","name","array","constant","traversing","lines","threshold","symbol","verbose","visit","labels","string","current","branch"
"19","target","api","add","closing","level","length","visit","declaring","missing","nodes","parsed","camel","stream","copy","folder","length","memento","method","segment","references","false","scope","input","pair","kind","dl","reference","curr","pool","closing","generics","signatures","problems","line","builder","declaration","unit","source","idomnode","binding","array","formatter","values","parser","jar","reference","entry","project","access","optimized"
"20","variables","declaration","reference","options","istatus","indexes","text","varargs","offset","qualified","compiler","operation","string","flag","preferences","superclass","operation","p","separator","javadoc","value","true","helper","reference","constants","category","scribe","iannotation","dump","block","end","less","bind","ul","ipackage","override","parent","current","set","method","traverse","edit","set","affected","path","parameters","println","engine","site","init"
