"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55"
"1","binding","property","option","insert","file","pc","expression","imports","name","completion","match","type","token","code","node","path","method","bits","info","signature","stream","type","buffer","selection","node","literal","code","comment","value","expression","unit","modifier","search","current","type","stack","project","problem","property","code","declaration","f","field","contents","scope","line","append","delta","element","t","type","pool","string","binding","stream"
"2","constant","list","options","space","name","visitor","child","name","parameter","proposal","pattern","binding","scanner","li","visit","classpath","methods","tag","flow","array","position","reference","read","bound","event","source","dt","tag","right","scribe","requestor","declaration","ijava","position","binding","ptr","path","problems","code","prefix","identifier","range","local","offset","visit","text","buffer","index","model","table","element","constant","iproblem","type","code"
"3","t","child","report","formatter","java","bytecode","statement","curr","type","type","locator","parameterized","tokens","p","code","file","parameters","annotations","context","c","stack","annotation","index","wildcard","rewrite","compiler","dd","javadoc","left","token","compilation","node","pattern","unicode","ast","expression","entry","compilation","list","suffix","element","document","acc","local","block","buffer","nls","change","ijava","key","itype","offset","source","scope","scope"
"4","pool","type","unused","before","binary","iopcode","li","demand","names","relevance","node","original","stack","link","p","compiler","inherited","annotation","inits","li","code","member","stream","type","edit","comment","id","start","constant","declaration","environment","flags","match","token","compiler","consume","root","marker","method","name","end","node","modifiers","attribute","output","separator","non","old","java","undefined","hierarchy","attribute","readable","field","generate"
"5","type","declaration","map","option","zip","mnemonics","ast","unit","start","scope","reference","generic","index","param","implementation","options","declaring","length","local","start","offset","pair","names","reference","property","region","option","end","t","statement","compiler","ast","participant","c","declaration","type","java","categorized","ast","options","source","contents","variable","frame","reference","lines","string","state","working","object","types","index","name","problem","label"
"6","ids","astnode","nls","core","source","ibytecode","node","qualified","declaration","token","level","wildcard","end","returns","type","source","type","j","null","pre","file","name","size","accepted","pos","internal","compiler","scanner","match","terminal","snippet","resolver","scope","character","bindings","length","classpath","fragment","node","core","ptr","body","file","stack","expression","indentation","see","changed","copy","value","java","file","type","reference","flow"
"7","lang","javadoc","compiler","opening","level","see","property","context","constructor","name","search","variable","repair","ul","ast","files","selector","method","statement","b","b","ref","category","actual","extra","code","variable","token","o","tokens","problem","dom","requestor","data","internal","declaration","model","message","astnode","variable","assist","domnode","declaration","info","visitor","tab","messages","file","delta","index","handle","entry","handle","receiver","type"
"8","depth","body","value","alignment","cache","names","operand","type","end","ref","type","bound","parser","given","param","string","interfaces","bit","exception","pattern","count","source","write","bounds","group","value","container","position","object","operator","result","keyword","element","identifier","source","system","fragment","unit","declared","java","parser","source","source","number","print","formatter","n","size","info","size","info","bytes","end","invocation","current"
"9","synthetic","method","non","java","reader","opcode","astnode","res","length","signature","set","environment","top","kind","subclasses","output","types","param","definitely","result","labels","output","document","variable","astnode","k","classpath","tags","id","preferences","units","astnode","monitor","index","variable","position","core","result","omit","field","start","start","constants","verification","traverse","edit","core","add","parent","current","length","read","start","enclosing","constant"
"10","opc","descriptor","string","comma","answer","behavior","init","entry","requestor","set","matching","arguments","start","method","subtree","nls","length","modifiers","label","length","println","qualified","doc","selected","text","snippet","p","ptr","safe","print","options","unparented","document","next","reference","ast","container","error","descriptors","results","reference","see","synthetic","index","indent","current","names","location","elements","length","unit","annotations","method","current","cast"
"11","array","node","put","line","string","write","b","compilation","simple","method","binding","length","next","flags","nothing","build","parameter","field","unconditional","given","system","pairs","jem","x","vector","s","core","previous","aconstant","ast","factory","result","link","source","convert","generics","resource","positions","descriptor","p","completion","code","reference","item","end","length","accept","remove","children","element","model","info","javadoc","found","expression"
"12","max","api","warning","paren","status","dump","pre","add","count","receiver","simple","variables","buffer","compilation","expression","folder","superclass","parameter","variable","end","opcodes","internal","memento","select","list","number","path","html","string","start","evaluation","core","rule","invalid","name","scanner","manager","file","b","see","recovered","s","initialization","locals","internal","offset","value","iresource","operation","hashtable","ijava","value","arguments","declaring","required"
"13","arg","jls","severity","code","array","values","unspecified","string","parameters","reference","element","signature","error","unit","false","rule","next","fields","sub","param","pc","length","word","kind","bit","parsing","plugin","text","ids","compiler","context","value","name","line","resolve","push","ipath","count","name","project","stack","position","fields","code","javadoc","string","dom","removed","monitor","threshold","names","name","severity","resolved","conversion"
"14","target","ast","problem","declaration","compliance","index","old","simple","declaring","requestor","qualification","raw","position","clients","statement","access","exceptions","types","exit","name","out","compiler","words","node","offset","scanner","dl","line","same","next","job","see","path","ptr","key","println","iclasspath","abort","child","suffixes","type","end","decl","pool","type","column","next","listener","resource","string","focus","u","problem","compiler","implicit"
"15","resize","structural","tags","constants","core","number","expressions","added","method","binding","ref","interfaces","symbol","none","given","current","current","count","scope","index","debug","single","next","constants","children","token","java","range","structurally","name","accept","javadoc","constants","task","itype","identifier","ijava","relative","simple","prefixes","node","child","context","binding","nothing","position","attribute","added","unit","values","name","utf","location","lookup","true"
"16","java","omit","missing","pre","current","nothing","owned","rewrite","operation","compute","rule","enclosing","temp","information","end","bind","constructor","l","state","character","nls","resolved","mapper","unbound","nb","escaped","category","node","isomorphic","literal","internal","annotation","type","start","unit","debug","folder","id","javadoc","first","block","array","type","type","compiler","append","iterator","affected","owner","hash","parameter","iconstant","field","method","value"
"17","signature","declared","javadoc","brace","code","code","array","p","modifiers","qualified","impossible","method","j","see","declaration","writer","j","null","init","segment","label","tokens","ioexception","engine","copy","set","entry","doc","subtrees","internal","monitor","ibinding","progress","u","array","statement","status","td","structural","param","k","name","scope","items","lookup","number","values","types","status","nls","accept","format","constructor","null","false"
"18","length","modifiers","suppress","closing","istatus","constant","cycle","known","source","field","matches","substituted","act","illegal","true","builder","thrown","references","exceptions","second","map","append","ranges","upper","range","string","pb","param","override","type","icompilation","nodes","enclosing","without","null","out","jar","exception","li","argument","annotation","idomnode","enclosing","map","astvisitor","start","t","container","core","code","copies","signature","decl","visible","codegen"
"19","invoke","result","overriding","id","util","entry","post","find","pos","node","possible","capture","data","used","reimplement","non","check","parameters","block","first","locals","categories","disk","f","b","e","values","ref","compute","parens","thread","jls","access","name","compilation","header","resources","output","visitor","s","ast","set","bits","length","qualified","format","bind","system","child","lang","superclass","offsets","argument","arguments","info"
"20","write","b","hiding","lines","object","pool","structural","ast","accept","names","declaration","reference","recovery","referenced","astvisitor","out","one","size","lhs","string","non","positions","l","u","dom","iregion","initializer","index","operand","set","progress","flag","r","false","lookup","recovery","external","markers","pre","codeassist","pending","mask","count","t","allocation","block","print","debug","exception","set","monitor","number","shown","local","optimized"
