"","V1","V2","V3","V4","V5","V6"
"1","contents","binding","node","t","insert","project"
"2","offset","type","property","expression","token","path"
"3","stream","method","code","scope","ptr","model"
"4","pc","reference","child","value","formatter","element"
"5","pool","match","list","ast","space","entry"
"6","constant","field","li","right","scanner","ijava"
"7","attribute","scope","p","constant","line","java"
"8","code","pattern","astnode","left","stack","classpath"
"9","local","signature","ast","declaration","position","root"
"10","file","completion","visit","compiler","identifier","file"
"11","info","proposal","param","statement","comment","core"
"12","stack","declaring","b","block","consume","resource"
"13","binding","types","range","operator","start","delta"
"14","flow","name","method","type","before","container"
"15","index","enclosing","descriptor","internal","end","monitor"
"16","frame","parameter","declared","undefined","option","key"
"17","number","problem","event","cast","current","search"
"18","entry","length","expression","table","tokens","manager"
"19","generate","methods","link","scribe","alignment","working"
"20","line","receiver","omit","astnode","length","fragment"
