"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60"
"1","pool","property","names","declaration","insert","pc","contents","text","imports","stack","completion","info","binding","token","working","node","bit","code","string","flow","info","signature","indent","method","field","match","value","comment","option","append","declaration","expression","name","snippet","options","element","completion","unit","t","file","delta","cache","code","identifier","scribe","type","buffer","offset","scope","tag","range","path","stack","root","key","search","type","array","binding","code"
"2","position","child","name","type","formatter","event","offset","edit","name","ptr","proposal","annotation","type","current","copy","visit","extra","dt","iproblem","info","element","type","references","type","stream","pattern","constant","line","inherited","buffer","end","ast","lang","variable","problem","ijava","k","compilation","table","names","element","entry","p","element","token","output","append","pool","visit","javadoc","f","project","repair","path","index","pattern","name","li","type","stream"
"3","stack","list","suffix","source","space","rewrite","local","string","curr","consume","relevance","pair","variable","position","monitor","implementation","b","dd","method","scope","java","c","width","methods","access","node","right","scanner","report","accept","ast","statement","field","evaluation","compiler","model","token","result","undefined","name","project","f","li","reference","terminal","internal","string","attribute","block","end","document","classpath","top","project","table","match","bound","pattern","scope","scope"
"4","offset","node","nls","start","before","visitor","frame","formatter","demand","expression","type","member","reference","unicode","owner","declaration","vector","id","source","context","model","start","iterator","length","synthetic","locator","left","position","missing","see","start","operator","outer","requestor","file","status","end","source","object","source","java","space","param","node","preferences","compiler","line","constant","reference","start","node","container","error","fragment","size","type","wildcard","hierarchy","problem","generate"
"5","file","astnode","field","end","option","iopcode","stack","code","qualified","type","scope","annotations","parameterized","data","model","p","l","option","readable","local","string","name","print","types","read","level","t","token","non","nls","source","modifier","synthetic","job","problems","elements","start","declaration","string","files","ijava","lrucache","link","assist","print","initialization","number","file","expression","token","contents","entry","symbol","entry","length","rule","environment","b","reference","type"
"6","b","method","core","field","core","mnemonics","attribute","offset","type","push","name","parameter","original","scanner","requestor","ast","j","compiler","type","inits","memento","string","nls","parameters","buffer","reference","id","text","unused","non","position","set","file","local","nls","core","position","units","lang","zip","info","limit","returns","name","tokens","scope","separator","annotations","internal","text","body","java","token","java","value","ijava","compound","pre","field","label"
"7","stream","type","non","modifiers","opening","ibytecode","info","k","context","identifier","binding","method","bindings","character","unit","end","nb","core","name","variable","itype","length","next","declaring","write","matching","string","lines","nls","nothing","body","convert","enclosing","context","put","java","cursor","bindings","java","qualified","change","selected","given","ptr","declaration","reference","messages","bytes","qualified","tags","buffer","output","parser","resource","current","r","length","itype","receiver","cast"
"8","constant","descriptor","prefix","name","java","edit","number","eclipse","entry","length","signature","binary","lookup","c","buffer","subclasses","tag","entry","problem","label","buffer","parameter","append","modifiers","category","set","aconstant","start","options","behavior","annotation","internal","constants","thread","error","parent","current","compiler","nls","binary","changed","read","flags","parser","space","requestor","tab","entry","compiler","parser","child","core","buffer","folder","object","participant","types","start","method","conversion"
"9","pc","ast","options","decl","alignment","property","locals","org","existing","generics","ref","value","generic","next","java","astvisitor","test","classpath","end","null","see","array","output","acc","accessors","ref","ids","indentation","tag","kind","parser","operand","reference","var","string","operation","keywords","environment","non","out","old","next","method","source","alignment","print","mode","index","visitor","scanner","append","ipath","act","model","element","enclosing","answer","focus","enclosing","implicit"
"10","binding","b","java","method","constants","group","verification","prefix","unit","statement","set","element","compiler","index","iprogress","children","na","variable","handle","statement","exception","buffer","tab","interfaces","bits","type","compute","end","severity","modifiers","initializer","keyword","answer","problem","message","name","location","ast","operator","build","root","value","ul","annotation","brace","resolve","write","u","type","ref","see","model","recovery","classpath","hashtable","scope","dim","name","current","constant"
"11","code","declared","length","initializer","declaration","bytecode","item","format","simple","println","token","pairs","arguments","identifier","icompilation","nothing","c","dl","arguments","definitely","type","argument","non","parameter","last","element","operation","current","map","n","length","node","java","environment","version","resource","next","parser","null","builder","iresource","object","illegal","type","expression","completion","disassembler","read","traverse","source","domnode","iclasspath","scope","jar","array","simple","tag","result","resolved","required"
"12","depth","javadoc","parameter","compiler","line","pos","binding","options","added","out","reference","handle","method","tokens","project","statement","inits","attributes","binding","state","jem","pos","core","constants","assignment","matches","expressions","column","string","depth","statements","literal","x","internal","option","children","kind","parsed","left","length","removed","returns","creates","ast","next","arguments","nls","utf","output","position","code","string","action","resources","hash","requestor","bounds","end","invocation","current"
"13","opc","omit","results","range","code","node","index","separator","add","debug","receiver","bits","raw","source","manager","false","ident","rule","constructor","block","source","append","exception","fields","bindings","o","cst","region","javadoc","required","block","infix","index","eval","non","fragment","length","level","cast","system","children","queue","see","qualified","parens","expression","bind","info","end","ptr","s","manager","distance","iresource","values","document","interfaces","given","found","expression"
"14","opcodes","descriptors","string","local","comma","offset","code","line","rewrite","scanner","method","thrown","null","ptr","exception","type","mask","path","severity","unconditional","mapper","end","relative","selector","synthetics","impossible","impl","offset","append","api","recovery","simple","operation","progress","current","code","message","problems","equal","folder","affected","amount","whether","positions","statement","isource","attribute","annotation","literal","param","param","status","temp","ipath","elements","qualification","original","length","reporter","flow"
"15","t","structural","accept","annotation","paren","see","items","level","ast","system","requestor","type","internal","start","primary","code","length","java","start","init","handle","exception","escaped","file","word","declaration","narrowing","length","value","accepted","element","initializer","current","monitor","arg","cu","top","icompilation","right","path","deltas","nls","none","expression","bracket","complete","non","attributes","nothing","reference","source","entries","state","ipackage","threshold","link","actual","second","arguments","codegen"
"16","count","api","suffixes","unit","pre","opcode","type","jface","root","header","compute","cache","itype","invalid","copies","reimplement","index","p","field","condition","resolved","method","astnode","count","index","possible","greater","comments","visibility","actual","recovered","astnode","inner","verbose","count","itype","index","options","rigth","println","resource","ratio","clients","stack","opening","lookup","component","iconstant","single","value","array","map","index","pkg","nls","li","substitutes","param","local","true"
"17","labels","result","prefixes","internal","brace","list","length","position","string","method","qualified","exceptions","resolved","line","compilation","dom","bits","category","declaring","index","name","param","string","bits","doc","object","d","formatter","deprecated","unknown","parse","dimensions","nested","global","line","exception","between","internal","op","l","added","size","object","single","parenthesized","append","disassemble","offsets","astvisitor","identifier","set","location","lex","manager","set","element","superclass","index","visible","false"
"18","lang","body","count","variable","id","curr","map","non","decl","nls","names","ibinary","tag","name","problem","true","null","plugin","location","assigned","index","sig","reference","superclass","words","report","cast","previous","check","extended","reference","token","receiver","compiler","warning","unit","interval","resolver","signatures","simple","child","overflow","used","selection","block","source","integer","signature","lookup","html","name","preferences","next","external","string","name","next","first","context","pc"
"19","resize","declaration","codeassist","member","see","dump","pc","str","best","recovery","missing","java","key","task","core","given","obvious","container","decl","merged","append","signatures","td","constructor","document","accurate","messages","alignment","reference","request","last","nodes","true","count","logger","util","keyword","core","decode","last","listener","reading","indicating","declaration","number","selection","name","method","ast","stack","parent","nls","code","core","non","index","substitute","segment","argument","optimized"
"20","ids","name","local","compilation","closing","placeholder","t","len","res","wildcard","field","length","leaf","input","see","astnode","coverage","pb","parameters","current","file","index","size","member","emul","accuracy","minus","edit","method","enter","local","jls","fields","variables","bind","dest","previous","types","shift","locations","event","string","pre","identifiers","before","call","local","format","send","node","position","verbose","j","file","code","constants","inference","br","match","operator"
