"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65"
"1","problem","type","value","declaration","insert","file","container","delta","wildcard","string","stack","method","match","binding","flow","offset","type","node","options","declaration","annotations","unit","contents","c","stream","type","buffer","completion","event","token","bit","option","comment","proposal","pool","binding","binding","property","element","core","t","expression","file","path","fragment","property","node","annotation","scribe","range","f","code","scope","tag","pc","nls","project","stack","key","binding","contents","signature","type","pattern","code"
"2","problems","declaration","constant","end","formatter","pool","info","resource","bound","iproblem","ptr","binding","pattern","type","scope","read","cast","visit","compiler","ast","attribute","compilation","offset","array","scope","binding","stream","requestor","edit","position","extra","dt","line","relevance","stack","field","synthetic","child","model","id","table","statement","name","monitor","locations","list","code","declaration","space","f","name","li","visit","javadoc","visitor","non","path","repair","table","type","offset","type","name","match","codegen"
"3","result","modifiers","right","start","space","constant","java","iresource","type","method","consume","inherited","node","reference","info","annotation","expression","p","option","start","buffer","requestor","table","li","code","reference","read","node","rewrite","current","local","dd","text","token","position","receiver","enclosing","list","java","java","undefined","ast","path","index","names","child","child","source","alignment","document","array","p","compiler","ref","iopcode","append","entry","top","index","method","local","parameter","requestor","search","compiler"
"4","compiler","method","left","source","option","entry","cache","folder","context","readable","identifier","original","reference","lookup","label","info","ids","implementation","put","type","annotation","source","length","given","generate","scope","size","name","property","scanner","bits","compiler","tag","set","offset","access","local","result","ijava","pre","object","operator","files","progress","build","astnode","match","member","token","flags","body","link","block","reference","mnemonics","string","classpath","token","value","methods","frame","name","itype","type","java"
"5","compilation","arguments","t","recovered","before","name","map","project","snippet","source","length","interfaces","locator","compiler","context","u","scope","nothing","version","compiler","line","ast","variable","b","flow","problem","category","qualified","pos","unicode","flow","report","end","ref","file","scope","argument","node","working","see","string","declaration","zip","search","simple","b","object","element","print","see","end","param","internal","end","ibytecode","buffer","root","error","size","field","stack","string","names","name","param"
"6","imports","constructor","id","parser","opening","index","project","resources","variable","name","reference","type","binding","bindings","stream","annotations","conversion","end","current","modifier","append","units","opc","result","label","arguments","index","names","text","line","inits","unused","html","scope","stream","type","receiver","ast","root","plugin","lang","astnode","binary","container","qualified","descriptor","subtree","type","preferences","append","start","ul","reference","start","bytecode","output","model","symbol","length","types","attribute","buffer","hierarchy","rule","level"
"7","categorized","variable","string","method","line","bytes","preferences","change","imports","type","type","methods","level","resolver","statement","pool","id","accept","map","set","constants","options","stream","start","required","resolved","document","position","group","character","null","dl","javadoc","signature","constant","declaring","scope","body","fragment","values","java","array","out","manager","l","omit","o","info","insert","buffer","document","returns","lookup","source","names","print","java","parser","current","fields","info","method","types","simple","error"
"8","count","jls","aconstant","local","core","attribute","manager","changed","evaluation","handle","push","declaring","set","variable","state","constant","lhs","ast","arg","source","string","declaration","position","pre","current","length","write","assist","curr","data","info","warning","start","compute","b","constant","arg","exception","info","possible","nls","initializer","source","document","td","method","list","field","terminal","param","domnode","method","visitor","parser","see","n","ipath","buffer","object","length","number","append","accept","r","options"
"9","unit","parameters","compute","field","code","format","core","java","name","end","element","next","element","parameterized","current","offsets","check","astvisitor","equals","convert","separator","icompilation","local","length","type","parameterized","doc","accept","offset","next","tag","category","indentation","receiver","lang","local","outer","astnode","copy","nls","non","node","system","job","prereq","declared","ast","initializer","tokens","contents","contents","flags","output","param","opcode","messages","iclasspath","act","element","interfaces","verification","names","length","qualification","null"
"10","suppress","anonymous","object","type","constants","iconstant","model","listener","capture","arguments","assist","current","matching","bits","block","attribute","collection","subclasses","logger","internal","number","compiler","file","character","false","resolve","names","next","indent","index","b","problem","buffer","name","pc","reference","actual","unparented","monitor","non","null","body","build","verbose","fragments","javadoc","nodes","count","declaration","source","idomnode","given","traverse","tags","append","tag","output","recovery","cache","member","item","info","suffix","ijava","value"
