"","V1","V2","V3","V4","V5","V6","V7"
"1","offset","completion","binding","node","t","insert","project"
"2","contents","declaration","type","property","value","formatter","element"
"3","stream","pattern","scope","ast","table","space","path"
"4","pc","reference","field","code","key","token","model"
"5","pool","ptr","reference","child","options","line","java"
"6","code","end","method","list","undefined","comment","ijava"
"7","constant","type","signature","visit","nls","position","root"
"8","attribute","match","types","expression","string","before","entry"
"9","info","stack","declaring","astnode","file","scanner","classpath"
"10","flow","node","methods","p","problem","alignment","resource"
"11","stack","start","bits","li","compiler","text","monitor"
"12","local","token","enclosing","statement","option","start","container"
"13","generate","proposal","problem","declaration","right","scribe","delta"
"14","frame","ast","interfaces","descriptor","non","option","core"
"15","label","expression","receiver","method","left","c","fragment"
"16","scope","source","null","event","compilation","next","info"
"17","number","consume","lookup","declared","unit","opening","manager"
"18","index","identifier","resolved","javadoc","constant","tag","working"
"19","value","name","compiler","type","out","character","search"
"20","locals","ref","generic","omit","println","end","code"
