"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70"
"1","unit","declaration","position","bits","node","string","pc","contents","expression","code","pattern","reference","length","info","binding","ptr","reference","file","binding","bit","option","parameter","type","flow","signature","array","value","type","property","completion","event","token","scribe","method","expression","stack","code","type","path","options","id","match","current","element","type","expression","file","insert","binding","field","f","declaration","exception","element","token","attribute","scope","ast","text","nls","build","code","project","t","code","index","name","code","type","stream"
"2","compilation","type","offset","methods","visit","iproblem","visitor","offset","cast","imports","search","completion","size","element","type","element","ref","folder","type","extra","compiler","type","types","info","type","li","constant","annotation","list","proposal","pos","scanner","token","type","statement","ptr","node","binding","entry","message","core","pattern","position","model","ast","println","root","formatter","field","synthetic","range","end","sub","code","nls","offset","visit","start","line","non","marker","dt","delta","table","li","cache","type","li","binding","code"
"3","problem","modifiers","pool","tag","ast","source","iopcode","local","type","curr","match","expression","current","java","key","assist","qualified","path","scope","visit","options","name","hierarchy","local","buffer","pre","right","pair","child","relevance","rewrite","position","print","declaring","operator","type","p","wildcard","classpath","nls","pre","locator","unicode","working","name","consume","fragment","space","scope","binding","document","start","job","flags","tag","constant","block","compiler","comment","append","builder","dd","java","key","unit","document","buffer","p","arguments","scope"
"4","result","constructor","stack","field","astnode","name","mnemonics","frame","lhs","ast","rule","consume","element","handle","lookup","identifier","name","resource","problem","nothing","map","method","superclass","variable","string","b","left","names","astnode","type","edit","end","space","binding","modifier","identifier","match","bound","model","string","see","node","c","ijava","jls","out","name","option","type","access","node","source","context","status","tags","pool","output","source","buffer","string","files","stack","container","undefined","p","array","requestor","link","enclosing","label"
"5","compiler","method","file","acc","see","readable","bytecode","attribute","cursor","rewrite","type","node","next","source","bindings","k","source","iresource","reference","end","warning","names","member","context","append","result","t","name","node","scope","group","start","preferences","inherited","declaration","length","object","reference","string","file","values","level","data","monitor","variable","debug","pkg","before","receiver","method","contents","annotation","exceptions","buffer","source","annotations","reference","name","indentation","report","locations","repair","root","object","compilation","nls","accept","prefix","match","generate"
"6","environment","declarations","stream","fields","result","end","ibytecode","stack","expressions","list","r","type","object","cache","resolver","tokens","references","names","receiver","implementation","put","types","interfaces","inits","c","character","id","length","method","token","offset","comment","alignment","parameters","operand","scanner","param","variable","project","arg","plugin","element","character","java","expression","system","zip","opening","constant","outer","body","recovered","thread","ijava","length","file","visitor","internal","offset","option","source","error","element","value","link","pool","string","field","reference","flow"
"7","problems","body","b","constants","astvisitor","problem","names","info","string","root","simple","stack","index","parent","compiler","token","single","state","field","b","file","parameters","missing","null","code","start","string","output","descriptor","ref","children","line","terminal","original","keyword","push","subtree","generic","output","current","formatter","search","next","copy","b","nls","jar","alignment","codegen","answer","buffer","parser","current","java","non","read","compiler","end","formatter","javadoc","project","top","classpath","string","requestor","non","selection","name","resolved","current"
"8","requestor","anonymous","constant","file","dom","handle","see","number","check","unit","name","ptr","elements","children","itype","stack","report","location","method","vector","id","length","source","scope","start","end","aconstant","value","omit","set","start","current","scope","methods","ast","end","o","parameterized","root","bind","java","set","identifier","unit","initializer","non","itype","constants","local","target","domnode","count","routine","children","index","buffer","internal","set","string","value","java","dl","model","hashtable","param","current","append","ul","found","type"
"9","snippet","parameters","t","method","child","severity","offset","verification","constant","edit","qualification","identifier","values","model","internal","current","tokens","resources","invocation","nb","problem","operation","names","initialization","sig","given","ids","member","descriptors","name","astnode","tag","tokens","missing","node","declaration","returns","bounds","core","compiler","nls","matching","token","operation","dimensions","position","path","core","conversion","synthetics","s","field","progress","elements","ptr","bytes","end","type","tag","buffer","imarker","symbol","path","lang","source","string","nls","suffix","compound","required"
"10","context","internal","pc","modifiers","declaration","start","string","locals","alternate","rewriter","li","parser","hash","core","variable","kind","positions","util","visible","p","ignore","constructor","local","variables","argument","c","compute","pairs","declared","method","scanner","previous","insert","varargs","infix","ast","whether","ids","iclasspath","non","non","impossible","without","owner","arguments","declaration","string","code","code","enclosing","position","pending","caught","parent","start","info","expression","convert","html","unused","binary","act","manager","nls","given","entry","non","options","null","info"
