"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75"
"1","problem","property","t","pool","declaration","insert","attribute","container","names","type","imports","li","completion","key","fragment","option","search","end","code","node","bit","file","field","type","unit","code","string","line","value","binding","local","requestor","ast","token","comment","annotation","type","compiler","code","expression","name","type","node","core","element","type","array","property","expression","path","signature","nls","binding","node","ptr","declaration","flow","modifiers","contents","signature","scope","status","tag","range","project","stack","working","index","method","offset","value","info","scope","match","stream"
"2","problems","declaration","pc","offset","type","space","buffer","project","bytecode","wildcard","curr","array","proposal","table","root","report","pattern","tokens","p","visit","extra","options","compiler","name","compilation","label","iproblem","offset","right","type","variable","start","node","position","scribe","annotations","original","options","dt","ast","qualified","hierarchy","event","formatter","delta","arguments","size","child","stack","file","c","non","field","code","stack","statement","info","acc","offset","completion","visit","path","text","f","entry","repair","copy","size","binding","pool","pair","type","binding","pattern","code"
"3","result","type","table","position","method","formatter","line","java","append","bound","demand","pre","type","value","info","options","match","pending","li","end","vector","path","ast","parameter","source","stream","method","edit","left","reference","assignment","name","unparented","current","token","tag","generic","arg","dd","operator","binary","types","property","pre","ijava","cast","index","list","ptr","index","code","append","receiver","match","identifier","brace","context","source","local","proposal","reference","string","line","document","root","top","model","stream","type","constant","member","parameter","type","node","scope"
"4","environment","list","undefined","stack","constructor","before","separator","model","write","ref","name","pattern","relevance","cache","element","nls","rule","recovered","link","implementation","inits","files","internal","simple","declaration","statement","source","code","t","lookup","stream","end","li","unicode","print","bits","parameterized","current","id","statement","string","name","rewrite","see","java","expression","lang","expression","consume","resource","string","buffer","access","object","consume","type","local","file","frame","kind","block","access","position","node","path","token","unit","table","methods","file","pairs","element","problem","locator","constant"
"5","compiler","child","visitor","file","decl","option","annotations","core","opcode","reference","type","name","scope","hashtable","java","non","ijava","start","param","p","b","build","declaration","signature","parser","scope","readable","indent","constant","resolve","read","source","p","c","preferences","method","binding","nls","compiler","set","classpath","itype","edit","id","elements","problem","dim","method","system","folder","buffer","entry","type","subtree","reference","expression","inits","constants","attribute","flags","output","messages","end","contents","classpath","error","operation","length","interfaces","bytes","annotation","handle","enclosing","reference","generate"
"6","compilation","jls","ibytecode","b","field","opening","append","manager","values","selection","context","prefix","name","size","pkg","string","r","declaration","returns","nothing","nb","out","variable","names","compiler","exception","type","indentation","id","variable","conversion","snippet","result","scanner","alignment","type","variable","non","option","start","answer","environment","group","java","children","id","signature","astnode","println","iresource","param","string","reference","o","element","block","null","reference","stack","li","expression","source","start","body","java","symbol","monitor","buffer","inherited","index","string","names","synthetic","level","type"
"7","options","modifiers","mnemonics","constant","modifiers","alignment","number","string","dump","param","ast","b","token","element","parent","value","li","parent","flags","astvisitor","na","source","method","declaring","bindings","block","name","formatter","aconstant","internal","implicit","accept","code","data","tokens","methods","variables","logger","p","type","file","copies","list","possible","model","resolved","ljava","omit","out","zip","exception","accept","problem","safe","expression","field","scope","reporter","info","type","internal","output","scanner","buffer","model","parser","ijava","current","reference","read","object","method","local","binding","label"
"8","units","descriptor","iopcode","stream","length","paren","string","memento","buffer","argument","added","result","set","object","file","unused","requestor","annotation","given","ast","mask","java","bindings","append","parsed","state","end","prefix","string","itype","info","variable","illegal","character","terminal","constants","enclosing","error","dl","source","set","interfaces","pos","values","child","match","current","b","debug","monitor","argument","n","compound","p","assist","parenthesized","condition","bits","number","method","compiler","attributes","javadoc","parent","fragment","buffer","element","values","next","u","name","source","field","element","current"
"9","categorized","javadoc","behavior","depth","source","comma","mode","preferences","number","tag","unit","end","qualified","length","name","put","scope","count","modifier","children","null","builder","reference","method","parse","sub","binding","region","ids","resolved","flow","evaluation","creates","index","space","fields","length","version","core","token","length","superclass","astnode","insert","parent","binding","elements","ast","type","core","given","next","declaring","whether","push","opening","variable","member","locals","buffer","end","entry","token","append","iclasspath","lhs","owner","read","types","info","internal","string","argument","set","required"
"10","unit","node","nothing","binding","initializer","declaration","tab","map","string","javadoc","rewrite","first","ref","current","core","map","suffix","source","ul","statement","j","output","binding","signatures","icompilation","index","handle","string","compute","resolver","synthetic","context","exception","next","next","acc","bits","print","category","name","len","null","text","plugin","resource","check","content","descriptors","nls","util","start","print","last","param","k","ast","unconditional","context","index","append","qualified","model","buffer","domnode","external","act","java","hash","current","attribute","literal","types","reporter","type","value"
