"","V1","V2","V3","V4","V5","V6","V7","V8"
"1","offset","type","binding","node","insert","property","token","project"
"2","stream","reference","type","code","t","expression","start","path"
"3","contents","completion","method","p","formatter","ast","scanner","element"
"4","pc","match","field","visit","space","declaration","line","java"
"5","pool","pattern","signature","li","value","list","current","model"
"6","constant","name","scope","link","option","type","position","entry"
"7","flow","scope","types","event","left","child","comment","ijava"
"8","info","binding","methods","param","before","statement","end","classpath"
"9","code","proposal","bits","rewrite","right","node","c","root"
"10","attribute","search","reference","edit","scribe","astnode","ptr","file"
"11","local","ref","declaring","given","table","body","tag","resource"
"12","scope","node","length","match","undefined","stack","length","delta"
"13","generate","problem","interfaces","statement","alignment","method","text","container"
"14","index","declaration","tag","group","opening","ptr","index","monitor"
"15","stack","requestor","generic","returns","expression","consume","identifier","core"
"16","frame","qualified","problem","implementation","constant","element","tokens","manager"
"17","number","source","name","children","line","descriptor","f","key"
"18","label","field","parameter","ast","java","modifiers","character","working"
"19","file","start","inherited","extra","core","name","buffer","info"
"20","binding","iproblem","enclosing","pos","paren","omit","range","fragment"
