"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"1","name","binding","f","prefix","declaration","pc","current","node","contents","code","type","imports","stack","completion","match","project","options","unit","tokens","working","expression","declaration","extra","id","type","annotations","flow","element","signature","line","output","binding","stream","snippet","type","value","scribe","info","option","expression","token","unit","position","pattern","cache","modifier","insert","model","value","element","property","start","out","path","property","field","name","node","node","element","fragment","buffer","attribute","completion","scope","source","comment","li","key","proposal","stack","path","t","search","pool","context","string","binding","node","code"
"2","environment","scope","range","name","source","visitor","position","event","offset","p","scope","problem","ptr","type","pattern","root","compiler","compilation","token","copy","type","type","bit","core","name","method","local","itype","type","indentation","print","type","read","problem","wildcard","right","token","isource","dt","operator","scanner","job","offset","match","container","flags","formatter","java","annotation","delta","expression","end","system","project","list","constant","c","code","ast","assist","root","append","line","buffer","visit","files","tag","array","table","relevance","repair","index","table","scope","constant","sub","iproblem","type","visit","stream"
"3","file","stream","document","suffix","type","bytecode","token","property","local","li","binding","marker","consume","scope","node","delta","problem","source","start","owner","cast","ast","visit","dd","parameter","bits","variable","info","c","formatter","append","bindings","buffer","position","bound","left","print","access","report","ast","start","non","stack","search","map","code","space","status","pair","ijava","child","source","println","entry","method","access","simple","p","ref","declaration","file","nls","string","flags","block","file","text","b","index","set","top","folder","undefined","requestor","entry","exception","readable","method","append","scope"
"4","binary","type","node","code","field","iopcode","unicode","rewrite","attribute","link","problem","context","expression","ref","locator","change","nls","ast","end","unit","constant","astnode","vector","java","requestor","annotation","info","type","string","edit","reference","lookup","index","evaluation","parameterized","constant","preferences","reference","compiler","start","end","nls","b","type","nls","bytes","before","resource","member","elements","statement","positions","debug","classpath","child","ids","qualified","match","javadoc","recovered","pkg","string","separator","signature","reference","builder","javadoc","pre","size","token","error","state","object","monitor","index","exceptions","method","methods","buffer","label"
"5","unit","field","contents","options","method","mnemonics","character","edit","frame","param","reference","name","identifier","reference","level","info","problems","bindings","scanner","monitor","value","method","b","code","names","methods","context","java","start","column","indent","compiler","category","context","bounds","t","space","field","options","set","nodes","compilation","stream","name","info","file","option","ijava","binary","children","node","reference","nls","model","b","last","names","object","qualified","k","jar","type","messages","append","expression","output","line","pattern","value","signature","symbol","file","string","ijava","value","accepted","source","reference","nls","generate"
"6","string","receiver","body","names","constructor","ibytecode","data","pos","info","given","arguments","curr","reference","receiver","reference","roots","arg","result","node","model","lhs","field","nb","variable","accept","file","inits","model","buffer","lines","type","reference","file","start","kind","id","alignment","internal","non","statement","source","units","file","rule","non","constant","core","core","pairs","child","list","compilation","length","java","javadoc","code","ident","implementation","single","end","zip","resolved","number","li","nothing","length","end","result","length","compute","buffer","location","lang","participant","name","method","type","original","non","flow"
"7","answer","code","buffer","field","modifiers","names","c","group","stack","returns","resolved","demand","push","node","set","external","non","level","terminal","buffer","id","dimensions","na","container","method","tag","scope","hierarchy","array","buffer","internal","internal","document","variable","generic","aconstant","terminal","compiler","nls","source","focus","compiler","pool","simple","project","read","opening","element","name","java","astnode","problem","non","root","declared","write","obvious","subclasses","exception","pending","path","non","file","tab","end","extra","position","start","current","offset","parser","project","java","path","offset","routine","name","interfaces","astvisitor","current"
"8","qualified","local","domnode","java","selection","see","next","list","number","ul","reporter","problems","scanner","name","element","java","current","declaration","ptr","java","indicating","initializer","specific","plugin","types","constants","null","handle","parameter","indent","resolve","variable","size","end","capture","string","tokens","set","value","convert","index","factory","binding","r","verbose","pool","java","resources","bits","deltas","type","literal","current","iclasspath","astnode","id","identifier","param","reference","completion","ipackage","length","mode","kind","qualified","compile","start","second","object","find","token","iresource","nls","progress","utf","caught","handle","declaring","accept","info"
"9","operation","flow","append","results","parameters","opcode","index","astnode","verification","clients","visitor","unit","position","field","matching","listener","logger","options","position","compilation","alternate","variable","inits","element","declaration","fields","binding","string","name","current","param","resolver","write","problems","variable","compute","insert","exit","unused","compiler","current","thread","depth","qualification","buffer","attributes","alignment","code","tag","removed","li","suppress","type","container","descriptor","read","bit","subtree","name","block","name","argument","message","method","allocation","compiler","scanner","end","element","scope","act","resource","non","document","iconstant","substitutes","end","enclosing","statement","false"
"10","compound","synthetic","see","core","decl","append","identifier","text","locals","creates","compiler","p","end","found","method","iresource","string","parsing","idx","icompilation","conversion","internal","mask","option","start","acc","definitely","parent","exception","scanner","compiler","null","names","line","actual","operation","next","enter","string","type","parser","monitor","lang","declaring","secondary","modifiers","constants","exception","element","added","ast","compiler","element","ipath","node","invoke","natures","given","expression","parser","element","enclosing","bind","disassemble","single","units","html","given","entry","javadoc","state","locations","null","element","bytes","thrown","arguments","next","end","required"
"11","type","current","s","project","start","write","source","offset","index","method","enclosing","imarker","type","missing","ref","old","put","compiler","data","requestor","binding","fragment","null","manager","modifiers","modifiers","unconditional","ijava","length","code","ref","resolve","offset","source","raw","shift","number","unknown","dd","internal","type","progress","opc","parameter","string","u","comma","iresource","type","changed","descriptor","internal","md","output","omit","value","astnode","o","cursor","source","util","generic","offset","annotations","keep","java","tags","param","hash","types","recovery","core","operator","enclosing","file","inference","severity","current","see","block"
"12","env","conversion","child","suffixes","length","dump","start","curr","item","used","types","build","statement","method","inherited","event","file","set","trailing","primary","check","body","coverage","compiler","end","field","initialization","see","argument","region","arguments","method","word","var","bits","minus","parens","call","warning","operand","next","environment","opcodes","suffix","containers","keyword","paren","operation","reference","info","structural","count","last","entries","ast","name","references","ast","unparented","count","resource","unique","attributes","parameter","type","set","token","br","hashtable","expected","scope","names","left","working","component","statement","problem","types","dom","type"
"13","compiler","codegen","position","prefixes","local","values","ptr","children","code","none","resolve","added","ast","qualified","possible","changed","version","statements","previous","project","resolve","expression","test","pb","declaring","synthetic","non","core","method","offset","lookup","field","ioexception","result","constants","greater","before","clinit","map","declaration","set","requestor","pc","sensitive","put","format","declaration","level","compound","parent","result","unit","expression","ijava","descriptors","delegate","interned","whether","send","bracket","paths","name","disassembler","field","traversing","system","previous","first","array","range","distance","build","ids","copies","exception","jface","binding","variables","declaration","true"
"14","internal","implicit","element","length","member","behavior","line","dom","binding","doc","argument","compilation","length","next","impossible","iterator","count","locators","leading","exception","expressions","array","visited","values","parameters","types","index","memento","sig","level","converted","key","doc","compiler","tag","messages","expression","constructor","missing","modifier","unit","process","code","ijava","types","acc","code","children","dim","affected","method","literals","stack","status","code","dup","q","safe","identifier","parent","fragments","parameters","runtime","ref","literal","messages","parser","character","values","ignored","temp","container","cast","type","descriptor","idocument","start","invocation","expression","optimized"
"15","access","bits","array","p","end","string","invalid","range","type","illegal","lookup","categorized","generics","length","report","resource","message","parser","inserted","iprogress","unnecessary","fragments","bits","initializer","range","parameter","check","monitor","append","width","qualified","declaring","bytes","number","interfaces","impl","compiler","initializer","javadoc","name","position","exception","count","names","preferences","see","pre","root","kind","res","descriptors","result","check","core","body","index","l","type","message","start","roots","variable","buffer","proposals","array","tag","param","segment","threshold","context","lex","ipath","equal","engine","u","substitute","location","field","false","constant"
"16","restriction","generate","source","argument","unit","buffer","scanner","parent","items","corresponding","null","record","token","elements","type","hash","path","information","replaced","ast","base","declarations","j","listener","source","count","reporter","exception","pos","string","j","itype","words","internal","substitution","cst","line","indexer","problem","end","malformed","problem","labels","constants","n","flag","line","fragment","object","collection","pre","abort","impt","projects","api","operation","scanner","true","argument","annotation","entry","arg","reader","modifier","statement","path","index","p","set","false","stream","patterns","right","java","util","lookup","constructor","length","result","statement"
"17","names","cast","first","codeassist","compilation","number","task","rewriter","pool","comment","traverse","add","start","source","length","listeners","bind","keys","removed","core","invocation","annotation","nothing","model","operation","member","count","types","param","text","nls","name","results","mapper","length","type","parenthesized","categories","severity","token","interval","result","resize","operation","lrucache","core","brace","project","internal","buffer","declared","type","build","patterns","structural","accessed","helper","false","source","statement","length","var","table","referenced","true","null","block","ol","cache","position","candidate","monitor","signatures","model","info","org","javadoc","receiver","modifiers","pc"
"18","core","declaring","code","first","anonymous","nothing","without","start","map","one","internal","id","declaration","keywords","accuracy","org","token","units","index","problems","boxing","anonymous","end","file","imports","length","assigned","jem","illegal","position","scope","see","utf","global","superclass","min","traverse","instance","category","infix","local","count","constant","key","hash","util","see","parent","imember","process","omit","declaration","expr","library","jls","lang","fragments","nothing","astnode","identifier","string","local","write","context","javadoc","type","ptr","index","string","requestor","action","manager","less","index","attribute","raised","field","found","core","implicit"
"19","find","variable","parent","excluded","acc","line","u","child","length","intended","closest","next","source","invocation","accurate","manager","main","types","comments","ibuffer","implicit","constructor","visits","attribute","simple","deprecated","initializations","buffer","signatures","format","found","bugs","offsets","eval","upper","numeric","statement","handle","put","position","tokens","writer","max","signature","variables","value","id","eclipse","declaration","list","lazy","string","binary","fragment","name","t","validate","reimplement","positions","brace","parent","arguments","integer","acc","send","add","see","length","nls","debug","position","util","shift","unit","offsets","eclipse","declaring","visible","next","branch"
"20","source","assignment","mask","requestor","count","messages","name","original","constant","following","valid","best","name","names","declaration","eclipse","classpath","parse","line","problem","resolves","member","index","dl","depth","interfaces","exception","parameter","given","tab","complete","dom","input","id","argument","zero","opening","add","tags","range","parse","processing","println","camel","per","iclass","closing","org","array","remove","api","starts","nested","manager","visitor","java","part","returns","nodes","ptr","openable","outer","exception","complete","parameterized","unknown","doc","found","code","tag","next","java","rigth","access","format","traversed","decl","scope","string","init"
