"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85"
"1","problem","original","range","name","imports","node","marker","signature","container","contents","flow","node","name","ptr","length","method","option","key","name","array","flags","binding","declaration","p","key","binding","string","extra","type","attribute","status","li","modifiers","binding","read","start","options","wildcard","token","scribe","info","type","comment","delta","expression","type","path","unit","options","formatter","pc","current","match","type","reference","declaration","root","insert","names","property","node","snippet","annotation","assist","append","buffer","code","proposal","scope","scope","tag","edit","dt","entry","offset","file","index","t","search","value","type","completion","binding","node","stream"
"2","compilation","type","f","prefix","reference","declaration","id","c","path","offset","info","code","type","stack","left","methods","report","value","requestor","lang","modifier","stream","type","nothing","size","type","iproblem","bit","itype","info","element","array","acc","resolve","stream","source","code","bound","index","token","element","methods","line","element","statement","binding","access","compilation","compiler","insert","visitor","unicode","pattern","variable","name","out","project","space","folder","list","property","evaluation","annotations","element","output","line","li","relevance","visit","type","javadoc","text","dd","project","pool","files","current","table","match","constant","parameter","token","scope","visit","code"
"3","result","arguments","document","suffix","param","ast","problems","string","manager","local","scope","match","operation","consume","file","type","options","object","unit","index","cache","code","source","implementation","table","variable","source","vector","monitor","reader","model","pattern","constants","method","buffer","end","source","type","position","print","handle","fields","scanner","ijava","ast","parameterized","classpath","copy","message","core","bytecode","position","locator","declaration","source","system","resource","formatter","builder","child","event","code","bits","end","buffer","append","p","completion","block","binding","end","pos","option","classpath","constant","source","sub","undefined","pattern","right","method","reference","field","end","label"
"4","unit","argument","node","names","references","result","problem","buffer","project","frame","context","object","simple","expression","right","next","javadoc","current","accept","nls","code","field","start","data","element","bindings","method","b","hierarchy","constant","ijava","pre","file","param","index","exception","line","bounds","stack","preferences","java","method","token","java","operator","reference","string","working","nls","pre","iopcode","character","level","modifiers","ref","println","path","before","qualified","method","list","context","tag","recovered","nls","number","link","scope","reference","compiler","start","offset","code","model","file","units","values","object","ijava","left","names","type","method","astvisitor","scope"
"5","compiler","enclosing","contents","code","type","accept","java","append","verbose","attribute","local","subtree","pkg","identifier","collection","inherited","unused","buffer","type","signature","space","cast","field","c","elements","reference","readable","inits","element","annotations","core","b","source","declaration","offset","exit","compiler","capture","scanner","terminal","parent","bits","tokens","changed","set","arguments","rule","ast","put","option","mnemonics","c","search","dimensions","qualified","debug","fragment","option","build","astnode","astnode","variable","bit","declaration","non","separator","ul","set","nothing","internal","parser","rewrite","compiler","java","b","zip","set","string","participant","t","name","name","problem","type","generate"
"6","environment","arg","body","java","ref","see","source","start","monitor","stack","inits","p","fragments","type","java","interfaces","map","length","types","non","f","type","method","specific","index","resolver","name","nb","working","attributes","elements","start","type","implementation","write","initializer","k","variable","data","scope","source","tag","position","change","literal","raw","file","icompilation","non","java","ibytecode","source","reference","initializer","type","nls","java","opening","state","descriptor","body","requestor","type","k","print","tab","param","signature","end","lookup","text","curr","id","iclasspath","position","unit","hash","lang","element","id","selection","start","reference","statement","constant"
"7","problems","binding","buffer","options","context","unparented","level","argument","core","info","variable","o","string","length","separator","length","non","pair","compilation","java","keyword","generate","compiler","subclasses","length","compiler","type","na","model","file","java","end","reference","pair","document","position","level","interfaces","next","tokens","model","types","start","resource","operand","resolved","relative","owner","current","id","see","line","type","array","end","end","element","code","nls","omit","child","var","parameter","parser","indent","string","given","ref","expression","problem","position","group","warning","root","entry","core","exception","java","scope","aconstant","parameters","javadoc","declaring","astnode","left"
"8","options","variables","append","field","length","type","name","sig","job","number","null","type","equals","reference","sort","j","severity","table","names","current","fragment","conversion","end","ident","value","internal","handle","null","java","disassembler","code","result","context","known","category","positions","comment","buffer","start","alignment","isource","field","end","children","internal","generic","patterns","monitor","string","see","opcode","next","set","code","start","non","iresource","constants","locations","declared","rewrite","eval","dim","pending","string","nls","returns","compute","qualified","reference","tags","indent","dl","output","stack","exception","object","nls","document","string","types","source","receiver","declaration","current"
"9","factory","variable","domnode","core","javadoc","dom","compliance","type","ipath","index","statement","whether","qualification","push","b","current","string","append","find","pool","lrucache","flow","decl","reimplement","hashtable","lookup","problem","mask","ijava","entry","parent","character","reporter","returns","size","method","comments","binding","identifier","expression","core","length","current","deltas","token","name","entry","requestor","option","space","names","without","matching","modifier","tokens","source","model","comma","simple","ast","parent","name","method","source","internal","messages","method","type","javadoc","expression","source","event","variable","status","count","e","location","non","enclosing","literal","length","complete","type","expression","required"
"10","abort","method","see","results","single","core","istatus","code","java","locals","label","safe","enclosing","scanner","sorted","types","nls","string","parser","ljava","limit","constant","local","children","threshold","itype","end","j","copies","inner","exception","second","bits","nothing","file","enter","compilation","kind","repair","next","buffer","binding","lines","child","left","enclosing","jar","operation","bind","before","write","u","rule","b","add","start","pkg","paren","l","b","nodes","global","deprecated","block","arguments","component","none","parameter","statement","block","ptr","string","category","resolved","depth","reader","length","null","link","compute","signature","position","invocation","false","right"
"11","internal","substituted","s","project","ast","child","validate","exception","nls","binding","state","param","demand","generics","len","binding","put","pairs","parsed","cache","flag","implicit","constructor","visited","max","method","arguments","length","owner","pool","create","given","member","null","names","field","indentation","actual","ptr","parens","annotation","member","text","model","node","environment","paths","declaration","arg","plugin","dump","invalid","ref","primitive","single","body","resources","alignment","table","descriptors","ast","environment","l","count","next","mode","see","offset","single","visitor","value","non","enabled","entries","opcodes","jar","size","operator","requestor","operation","signatures","flags","visible","append","false"
"12","count","length","param","p","demand","jls","imarker","param","plugin","verification","block","child","match","statement","string","check","append","result","top","content","returns","codegen","annotation","true","code","field","severity","coverage","iprogress","constants","operation","name","problem","given","x","parameter","set","leaf","top","number","string","enclosing","indentation","old","convert","compound","name","cu","version","possible","behavior","nls","simple","extra","positions","type","ijava","brace","out","javadoc","descriptor","imports","x","bracket","e","non","clients","names","traversing","resolve","identifier","prefix","problem","ijava","opc","binary","indexes","left","monitor","expressions","declaring","location","found","javadoc","true"
"13","suppress","scope","code","length","decl","iterator","file","illegal","preferences","item","init","false","pack","token","array","superclass","missing","lhs","member","method","given","scope","name","ast","specified","ast","start","index","focus","read","string","first","check","p","offsets","type","format","superclass","parser","parenthesized","see","superclass","column","removed","modifier","array","set","bindings","file","values","values","digit","declaring","jls","fragment","position","folder","declaration","non","structural","range","start","pair","node","found","length","corresponding","token","keep","resolved","token","children","pb","core","bytes","compilation","exceptions","cast","li","ids","count","engine","synthetic","annotation","type"
