"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1","stream","binding","method","element","expression","property","insert","buffer","path"
"2","offset","type","type","info","declaration","node","ptr","code","project"
"3","contents","match","binding","model","scope","code","formatter","append","classpath"
"4","constant","pattern","problem","ijava","ast","t","space","string","entry"
"5","pc","completion","field","unit","type","child","token","f","file"
"6","code","scope","signature","java","reference","ast","stack","attribute","java"
"7","info","reference","methods","root","statement","list","scanner","line","key"
"8","value","proposal","string","delta","block","li","line","option","container"
"9","binding","search","bits","fragment","node","expression","consume","nls","index"
"10","t","method","types","working","end","p","position","dt","folder"
"11","flow","enclosing","source","event","compiler","astnode","identifier","dd","ipath"
"12","pool","types","iproblem","core","visit","visit","current","entry","core"
"13","scope","receiver","parameters","children","source","method","comment","range","manager"
"14","local","qualified","declaring","monitor","internal","descriptor","before","non","model"
"15","stack","name","annotations","compilation","scribe","undefined","alignment","offset","cache"
"16","generate","relevance","readable","requestor","start","type","option","text","resource"
"17","attribute","declaring","tag","parent","tokens","statement","opening","see","options"
"18","frame","signature","parameter","copy","token","declared","start","core","root"
"19","label","wildcard","inherited","itype","print","b","brace","tag","iclasspath"
"20","right","field","modifiers","rewrite","field","declaration","unicode","comment","output"
