"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90"
"1","environment","scope","property","search","arguments","node","pc","signature","node","contents","node","reference","imports","array","name","key","type","modifiers","source","k","index","string","code","node","extra","option","position","proposal","attribute","unit","element","javadoc","node","line","scope","type","offset","start","info","bound","token","scribe","method","code","buffer","size","property","constructor","binding","field","working","options","insert","element","unicode","out","file","type","snippet","index","root","marker","annotation","type","c","ptr","declaration","focus","selection","flow","f","completion","scope","expression","tag","comment","append","project","binding","stack","path","t","tokens","container","value","string","pattern","binding","match","code"
"2","binary","type","list","pattern","binding","declaration","visitor","type","event","offset","range","bits","curr","li","prefix","value","method","acc","file","source","array","lang","p","code","bit","options","stack","completion","buffer","compilation","info","parameters","child","indentation","flow","binding","constant","name","member","wildcard","scanner","token","methods","dt","append","length","expression","call","name","binding","monitor","compiler","formatter","ijava","current","println","core","reference","evaluation","file","entry","problem","bits","name","ident","stack","end","sub","output","info","range","code","visit","ast","javadoc","text","buffer","delta","variable","repair","entry","table","data","entry","right","iproblem","li","scope","pattern","stream"
"3","suppress","stream","child","match","type","visit","iopcode","name","property","local","list","constants","demand","pre","suffix","length","parameter","bits","builder","known","current","pool","param","visit","b","report","b","relevance","line","problem","java","parameter","property","formatter","context","parameterized","pool","end","value","buffer","position","preferences","binding","dd","pos","element","child","interval","type","access","copy","current","space","model","position","system","unit","ast","code","stream","cache","fragment","tag","itype","separator","expression","source","local","completion","local","document","li","block","declaration","text","range","non","root","bindings","top","classpath","undefined","resolve","core","constant","source","match","problem","node","label"
"4","ibinary","code","type","scope","enclosing","type","mnemonics","code","rewrite","frame","placeholder","tag","name","b","field","index","types","synthetic","files","compilation","non","nls","li","p","vector","nls","pool","type","append","result","model","problem","code","text","statement","generic","bytes","requestor","element","v","line","print","inherited","id","count","values","list","explicit","compound","local","owner","file","before","status","token","debug","factory","internal","context","path","pkg","imarker","value","hierarchy","l","consume","count","index","node","variable","contents","kind","reference","start","tags","line","nls","path","method","error","project","object","inserted","java","left","type","search","type","locator","false"
"5","problem","expression","method","participant","argument","body","ibytecode","string","edit","stack","astnode","modifiers","entry","pattern","names","element","original","constants","build","unit","length","content","link","implementation","nb","non","file","scope","tab","compiler","ijava","severity","ast","edit","output","wildcard","read","declaration","annotation","variable","start","space","type","option","string","elements","statement","index","reference","synthetic","progress","arg","option","elements","data","nls","util","compiler","line","names","jar","problems","type","qualified","obvious","identifier","field","openable","reference","inits","body","keyword","end","statement","ref","tag","bytecode","java","lookup","token","folder","string","removed","preferences","t","readable","type","invocation","level","generate"
"6","name","binding","astnode","enclosing","arg","statement","see","c","pos","attribute","nodes","context","context","result","options","size","parameters","tag","names","create","nls","message","given","match","na","value","stream","set","mode","problems","buffer","varargs","unparented","lines","block","raw","file","accept","source","bounds","end","terminal","declaring","compiler","fragment","hash","astnode","cache","operation","variable","model","logger","core","java","character","non","compilation","argument","var","write","resource","markers","pair","types","start","type","type","current","append","null","node","proposal","expression","source","parser","html","string","classpath","ast","symbol","container","threshold","replaced","manager","id","method","link","receiver","reference","scope"
"7","result","cast","ast","path","scope","modifiers","opcode","argument","group","info","copy","acc","add","start","java","hashtable","interfaces","annotations","java","positions","dim","non","returns","object","mask","map","constant","token","annotations","options","memento","arguments","parent","indent","info","enclosing","attribute","source","pair","upper","comment","alignment","length","p","non","set","node","res","cached","reference","iprogress","nls","opening","core","next","length","name","qualified","eclipse","read","info","locations","component","fragment","part","element","start","raised","scope","context","domnode","flags","visitor","set","source","attribute","f","element","itype","parser","patterns","lang","resolves","file","ids","name","rule","reference","element","current"
"8","string","flow","javadoc","requestor","instance","expression","write","sig","text","number","source","x","rewrite","end","results","current","superclass","type","type","information","idx","object","pre","subclasses","inits","string","depth","name","separator","declaration","parent","missing","descriptor","code","exception","types","u","type","handle","capture","current","tokens","interfaces","dl","start","add","method","set","level","last","manager","path","java","operation","identifier","type","create","ref","org","buffer","resources","td","binding","names","s","reference","recovered","subroutines","print","definitely","array","modifier","nothing","end","start","code","space","fragment","resolver","buffer","output","non","fake","entries","string","handle","r","found","set","true"
"9","file","constant","descriptor","ijava","length","accept","behavior","exception","children","index","info","reporter","added","second","core","unique","methods","enclosing","problems","parsing","system","ljava","flags","nothing","bits","compiler","t","ref","number","source","see","method","exception","format","print","environment","info","parameter","isource","append","previous","declaration","selector","core","nls","synthetics","ast","pcs","resolved","assignment","unit","version","alignment","resource","source","list","working","message","text","document","element","build","field","simple","b","declaration","method","handle","qualified","merged","buffer","signature","qualified","compiler","end","offset","names","ijava","internal","act","ipath","nls","put","map","aconstant","end","name","field","matching","optimized"
"10","literals","conversion","declared","names","resolved","ast","values","parameter","offset","locals","store","actual","string","first","length","object","next","fields","units","statements","offsets","cache","java","param","j","put","opcodes","reference","entry","bindings","string","annotation","see","width","exceptions","member","entry","names","method","u","index","expression","current","variable","operation","buffer","li","compiler","found","bindings","requestor","non","constants","unit","ptr","md","internal","arguments","jface","ioexception","java","error","pairs","copies","natures","push","pending","potential","type","condition","name","method","traverse","name","ptr","region","see","model","declaration","recovery","location","java","ending","verbose","compute","start","declaring","visible","ref","required"
