"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95"
"1","result","type","property","names","offset","ptr","f","modifiers","buffer","container","contents","code","type","entry","options","length","type","reference","info","source","match","tokens","flags","working","node","node","current","variable","binding","type","bit","method","element","string","length","output","start","binding","stream","requestor","snippet","code","token","property","map","option","type","debug","element","code","binary","scribe","name","expression","problem","insert","wildcard","id","unit","key","declaration","text","file","status","property","entry","simple","signature","code","reference","assist","flow","value","line","offset","completion","scope","scope","tag","node","pc","project","scope","stack","root","index","t","code","attribute","buffer","exception","type","binding","li","stream"
"2","problem","scope","child","bytecode","pool","stack","range","acc","signature","index","offset","formatter","binding","f","compiler","name","scope","type","element","compilation","pattern","comment","modifier","copy","visit","p","unicode","local","field","name","extra","methods","model","iproblem","string","indent","end","type","index","accept","length","dd","scanner","statement","info","report","binding","println","delta","object","astnode","token","environment","property","problems","formatter","bound","pre","compilation","index","expression","position","path","model","modifiers","path","qualified","type","node","identifier","element","info","annotation","lines","read","proposal","visit","local","javadoc","event","visitor","java","invocation","repair","fragment","current","value","prefix","pool","append","exceptions","itype","problem","array","code"
"3","compiler","stream","list","see","constant","declaration","comment","file","append","path","local","string","name","space","nls","system","binding","binding","cache","unit","search","ptr","code","unit","expression","code","c","non","access","parameter","inits","inherited","java","source","start","print","source","compiler","buffer","name","suffix","dt","position","operator","preferences","options","original","out","ijava","match","expression","print","access","child","evaluation","space","binding","core","declaration","lang","ast","org","name","core","variable","classpath","name","c","li","stack","completion","context","member","comment","locals","relevance","reference","variable","text","rewrite","iopcode","path","enclosing","top","delta","length","table","link","constant","nls","compiler","hierarchy","type","pattern","label"
"4","compilation","code","type","behavior","file","consume","document","constants","file","document","frame","comment","types","cache","version","expression","methods","ref","java","create","locator","token","keyword","monitor","statement","implementation","position","true","synthetic","method","vector","binding","info","readable","given","append","declaration","internal","annotations","selection","level","id","start","body","secondary","non","arguments","system","elements","node","fragment","space","binary","list","count","before","type","see","units","array","type","eclipse","zip","java","type","project","synthetics","code","p","type","k","scope","pair","indentation","contents","signature","block","reference","tags","property","mnemonics","manager","site","error","project","size","undefined","li","offset","non","thrown","types","reference","pre","scope"
"5","options","flow","astnode","ibytecode","position","expression","contents","constructor","constant","job","attribute","param","imports","key","arg","array","fields","node","handle","positions","type","start","message","compilation","declaration","visit","data","variables","receiver","field","b","interfaces","see","method","separator","width","name","lookup","read","declaration","set","compiler","end","list","cache","value","enclosing","source","children","o","internal","preferences","answer","descriptors","error","option","bounds","values","parser","signature","statement","offset","source","ijava","dimensions","root","known","argument","ast","name","recovered","null","pairs","buffer","bytes","token","qualified","visitor","html","edit","offset","model","local","symbol","resource","state","constant","name","entry","string","internal","element","found","b","constant"
"6","abort","expression","descriptor","nothing","stack","type","body","method","info","monitor","info","options","compound","lrucache","non","dim","missing","length","parent","options","element","data","flag","element","astvisitor","nothing","character","count","declaring","source","nb","length","memento","type","c","nls","range","reference","bits","accepted","rule","p","current","astnode","entry","nls","length","start","child","subtree","add","scope","env","b","context","opening","capture","possible","source","nls","set","jface","folder","code","b","iclasspath","added","string","link","ref","ptr","inits","element","text","position","method","end","type","param","pos","opcode","file","binding","buffer","iresource","threshold","right","param","value","n","caught","focus","receiver","result","value"
"7","factory","cast","method","nls","stream","end","buffer","declaration","parameter","search","stack","link","superclass","value","file","nls","method","arguments","isource","ends","name","end","acc","owner","end","subclasses","index","null","bits","declaration","na","declaring","monitor","name","left","non","modifiers","bindings","names","type","names","option","tokens","descriptors","containers","unused","generic","nls","java","whether","literal","terminal","restriction","li","marker","core","kind","plugin","parsed","cached","convert","string","names","name","code","output","emul","name","returns","ast","pending","initialization","type","column","file","name","expression","expression","value","group","append","external","variable","act","java","code","left","java","utf","res","handling","ijava","visible","second","generate"
"8","suppress","binding","node","non","b","ast","offset","source","annotations","verbose","number","format","reference","limit","put","wildcard","reference","level","core","parsed","ijava","comments","value","icompilation","ast","given","token","false","constant","names","j","exceptions","buffer","arguments","b","code","internal","ast","offsets","names","enclosing","dl","terminal","method","put","string","parameterized","depth","parent","p","compiler","tokens","requestor","astnode","categorized","alignment","variable","nls","icompilation","non","compiler","idocument","builder","operation","initializer","ipath","existing","pos","illegal","ptr","parser","statement","internal","edit","length","ref","nothing","reporter","comment","curr","ibytecode","core","synthetic","parser","roots","hash","key","search","number","interval","argument","copies","reasons","end","left"
"9","internal","generate","ast","visitor","t","statement","append","bits","method","progress","verification","comments","interfaces","next","path","expr","field","possible","openable","problems","r","position","param","model","type","reimplement","next","initializer","last","parameters","mask","next","ijava","end","index","buffer","compiler","method","category","size","key","category","parser","operand","types","map","variables","non","deltas","safe","real","alignment","lookup","method","files","code","interfaces","java","process","pool","internal","edit","resource","messages","method","entries","p","array","param","positions","block","definitely","name","current","x","type","type","binding","ptr","list","dump","projects","outer","state","path","object","string","suffix","name","t","raised","length","resolved","start","true"
"10","unit","conversion","name","l","pc","generics","domnode","annotations","read","manager","index","doc","member","factor","string","arraycopy","source","parameterized","map","starts","simple","nodes","see","fragment","see","param","identifier","util","generic","types","null","current","string","handle","right","tab","record","variable","document","imports","result","core","previous","omit","listener","javadoc","tag","inlined","changed","param","cursor","declaration","type","ast","id","constants","parameterized","non","parse","current","modifier","non","build","istatus","declaration","fragment","synth","start","unparented","push","count","block","kind","start","gap","names","selection","problem","node","text","write","jar","argument","scope","folder","values","object","requestor","file","e","handled","binary","method","segment","right"
"11","problems","info","declaration","iconst","code","push","see","type","util","participant","item","k","context","bits","logger","explicit","length","qualified","model","converter","rule","trailing","bit","operation","false","children","source","mark","target","member","coverage","type","exception","problem","first","internal","fragment","resolver","offset","elements","simple","variable","source","expression","entries","missing","raw","literal","added","false","fragments","expression","find","node","line","declaration","t","value","bindings","cache","name","document","files","level","descriptors","library","method","parameter","ul","source","end","sub","source","alignment","items","flags","javadoc","block","block","astnode","string","classpath","index","recovery","resources","element","id","p","u","size","map","interfaces","scope","name","false"
