"file","bf","hcm","bug","V1","V2","V3","V4","V5","loc"
"lucli::LuceneMethods",0,1.43177,0,694,4,28,173,412,232
"lucli::Lucli",0,1.43177,0,150,10,0,256,615,188
"org::apache::lucene::analysis::Analyzer",2,7.3729,1,125,0,20,59,31,12
"org::apache::lucene::analysis::br::BrazilianAnalyzer",0,0,0,94,89,1,229,0,15
"org::apache::lucene::analysis::br::BrazilianStemFilter",0,1.25878,0,81,18,0,35,0,21
"org::apache::lucene::analysis::br::BrazilianStemmer",0,0,0,119,2098,0,142,0,847
"org::apache::lucene::analysis::CachingTokenFilter",3,4.85274,1,111,0,29,0,0,30
"org::apache::lucene::analysis::CharArraySet",4,4.10964,1,111,0,24,372,0,98
"org::apache::lucene::analysis::CharTokenizer",3,5.46076,1,41,0,0,157,0,55
"org::apache::lucene::analysis::cjk::CJKAnalyzer",0,0,0,48,0,0,87,0,6
"org::apache::lucene::analysis::cjk::CJKTokenizer",0,0,0,32,0,0,445,26,140
"org::apache::lucene::analysis::cn::ChineseAnalyzer",0,0,0,28,0,0,53,0,7
"org::apache::lucene::analysis::cn::ChineseFilter",0,0,0,43,0,0,146,0,38
"org::apache::lucene::analysis::cn::ChineseTokenizer",0,0,0,15,0,0,212,13,66
"org::apache::lucene::analysis::compound::CompoundWordTokenFilterBase",2,2.5991,0,59,0,0,411,0,74
"org::apache::lucene::analysis::compound::DictionaryCompoundWordTokenFilter",1,1.18716,0,25,0,0,355,0,36
"org::apache::lucene::analysis::compound::hyphenation::ByteVector",1,1.18716,0,0,0,3,130,12,42
"org::apache::lucene::analysis::compound::hyphenation::CharVector",1,1.18716,0,20,0,9,136,0,50
"org::apache::lucene::analysis::compound::hyphenation::Hyphen",1,1.18716,0,14,1,0,89,20,19
"org::apache::lucene::analysis::compound::hyphenation::Hyphenation",1,1.18716,0,0,0,1,56,0,9
"org::apache::lucene::analysis::compound::hyphenation::HyphenationException",1,1.18716,0,0,0,0,32,0,3
"org::apache::lucene::analysis::compound::hyphenation::HyphenationTree",1,1.18716,0,101,32,27,931,100,270
"org::apache::lucene::analysis::compound::hyphenation::PatternParser",1,1.50087,0,0,6,39,903,403,268
