"","file","bf","hcm","bug"
"1","org::apache::lucene::search::spans::SpanOrQuery",3,10.4552,1
"2","org::apache::lucene::index::DocumentsWriter",42,13.9297,2
"3","org::apache::lucene::document::Document",9,9.3931,0
"4","org::apache::lucene::search::highlight::SimpleSpanFragmenter",2,2.46341,0
"5","org::apache::lucene::ant::FileExtensionDocumentHandler",0,0,0
"6","org::apache::lucene::analysis::Token",13,16.4641,0
"7","org::apache::lucene::search::FieldDoc",1,4.24084,0
"8","org::tartarus::snowball::ext::DanishStemmer",1,1.35264,0
"9","org::apache::lucene::search::SortField",4,6.60956,1
"10","org::apache::lucene::document::AbstractField",4,5.34192,0
"11","org::apache::lucene::benchmark::byTask::utils::Config",6,7.7902,0
"12","org::apache::lucene::benchmark::quality::utils::DocNameExtractor",1,1.17486,0
"13","org::apache::lucene::analysis::cjk::CJKAnalyzer",0,0,0
"14","org::apache::lucene::search::HitIterator",2,5.50819,0
"15","org::apache::lucene::misc::HighFreqTerms",0,0,0
"16","org::apache::lucene::search::IndexSearcher",5,11.5269,0
"17","org::apache::lucene::search::highlight::TokenGroup",0,0,0
"18","org::apache::lucene::index::MergeDocIDRemapper",1,0.871061,1
"19","org::apache::lucene::benchmark::byTask::tasks::RepSelectByPrefTask",1,3.28866,0
"20","org::apache::lucene::analysis::PorterStemFilter",2,4.2341,0
"21","org::apache::lucene::search::PhraseScorer",2,2.6029,0
"22","org::apache::lucene::analysis::WordlistLoader",1,7.75655,0
"23","org::apache::lucene::analysis::CharTokenizer",3,5.46076,1
"24","org::apache::lucene::benchmark::byTask::tasks::ResetSystemEraseTask",2,4.08464,0
"25","org::apache::lucene::queryParser::surround::query::ComposedQuery",1,3.9126,0
"26","org::apache::lucene::xmlparser::builders::SpanBuilderBase",0,2.42975,0
"27","org::apache::lucene::store::Directory",11,11.9647,1
"28","org::apache::lucene::xmlparser::builders::DuplicateFilterBuilder",1,2.24283,0
"29","org::apache::lucene::xmlparser::builders::BooleanQueryBuilder",1,7.59491,0
"30","org::apache::lucene::index::DocInverterPerField",2,2.2048,3
"31","org::apache::lucene::analysis::el::GreekLowerCaseFilter",2,4.01034,0
"32","org::apache::lucene::index::ReadOnlySegmentReader",1,1.35264,0
"33","org::apache::lucene::search::spans::SpanNotQuery",4,8.83948,0
