"","bug","loc","bf","hcm","text"
"org::eclipse::mylyn::internal::trac::core::util::TracUtil",0,42,6,3.08906,"org eclipse mylyn internal trac core util java io unsupported encoding exception java net urlencoder java util date org eclipse core runtime istatus org eclipse mylyn internal trac core trac core plugin org eclipse mylyn internal trac core client itrac client org eclipse mylyn internal trac core model trac search org eclipse mylyn tasks core irepository query org eclipse mylyn tasks core repository status provides helper methods author steffen pingel trac util date parse date string time time null trac util parse date value time number format exception e null date parse date seconds date seconds 1000l calendar c calendar instance c set time zone time zone time zone itrac client time zone c set time millis seconds 1000l c time trac time date date calendar c calendar instance c set time date c set time zone time zone time zone itrac client time zone c time millis 1000l date time 1000l string query parameter irepository query query string url query url url index itrac client query url 1 null url substring itrac client query url length creates code trac search code object query trac search trac search irepository query query string url query parameter query url null trac search search trac search search url url search null istatus create permission denied error string repository url string plugin id repository status repository url istatus error trac core plugin id plugin repository status error permission denied messages trac util permission denied string encode url string string urlencoder encode string itrac client charset replace 20 non nls 1 non nls 2 unsupported encoding exception e string "
"org::eclipse::mylyn::internal::java::ui::search::JavaImplementorsProvider",0,12,3,3.17351,"org eclipse mylyn internal java ui search org eclipse jdt core ijava element org eclipse jdt core itype org eclipse mylyn internal java ui java structure bridge author mik kersten java implementors provider java relation provider string id id generic implementors non nls 1 string name implemented non nls 1 java implementors provider java structure bridge content type id override accept element ijava element java element java element null java element itype override string source id id override string name name "
"org::eclipse::mylyn::internal::tasks::ui::actions::SynchronizeSelectedAction",0,95,29,17.9092,"org eclipse mylyn internal tasks ui actions java util array list java util hash map java util hash set java util linked hash map java util list java util map java util set org eclipse jface action iaction org eclipse jface viewers iselection org eclipse jface viewers istructured selection org eclipse mylyn internal tasks core task org eclipse mylyn internal tasks core local task org eclipse mylyn internal tasks core repository query org eclipse mylyn internal tasks core task category org eclipse mylyn internal tasks ui util tasks ui internal org eclipse mylyn internal tasks ui views task list view org eclipse mylyn tasks core repository connector org eclipse mylyn tasks core irepository query org eclipse mylyn tasks core itask org eclipse mylyn tasks core task repository org eclipse mylyn tasks core itask synchronization state org eclipse mylyn tasks ui tasks ui org eclipse ui iaction bars org eclipse ui iview action delegate org eclipse ui iview part org eclipse ui actions action delegate org eclipse ui actions action factory author mik kersten author rob elves synchronize selected action action delegate iview action delegate map repository connector list repository query queries sync map linked hash map repository connector list repository query map repository connector list itask tasks sync map linked hash map repository connector list itask override run iaction action task list view active perspective null iselection selection task list view active perspective viewer selection object obj istructured selection selection list obj irepository query repository query repository query repository query obj repository connector client tasks ui repository manager repository connector repository query connector kind client null list repository query queries sync queries sync map client queries sync null queries sync array list repository query queries sync map put client queries sync queries sync add repository query obj task category task category cat task category obj itask task cat children repository connector client tasks ui repository manager repository connector task connector kind add task sync client task obj itask task repository task task obj repository connector client tasks ui repository manager repository connector repository task connector kind add task sync client repository task queries sync map empty determine repositories synch changed tasks hash map task repository set repository query repositories sync hash map task repository set repository query repository connector connector queries sync map key set list repository query queries sync queries sync map connector queries sync null queries sync empty repository query query queries sync task repository repos tasks ui repository manager repository query connector kind query repository url set repository query queries repositories sync repos queries null queries hash set repository query repositories sync put repos queries queries add query map entry task repository set repository query entry repositories sync entry set task repository repository entry key repository connector connector tasks ui repository manager repository connector repository connector kind set repository query queries entry value tasks ui internal synchronize queries connector repository queries null true tasks sync map empty repository connector connector tasks sync map key set list itask tasks sync tasks sync map connector tasks sync null tasks sync size 0 tasks ui internal synchronize tasks connector hash set itask tasks sync true null queries sync map clear tasks sync map clear add task sync repository connector connector itask task connector null task local task task synchronization state synchronization state outgoing list itask tasks sync tasks sync map connector tasks sync null tasks sync array list itask tasks sync map put connector tasks sync tasks sync add task iaction action override init iaction action action action init iview part view iaction bars action bars view view site action bars action bars set global action handler action factory refresh id action action bars update action bars "
"org::eclipse::mylyn::internal::tasks::core::TaskComment",0,53,3,3.39209,"org eclipse mylyn internal tasks core java util date org eclipse core runtime org eclipse mylyn tasks core irepository person org eclipse mylyn tasks core itask org eclipse mylyn tasks core itask comment org eclipse mylyn tasks core task repository org eclipse mylyn tasks core data task attribute comment posted user task author steffen pingel task comment itask comment irepository person author date creation date number itask task task attribute task attribute task repository task repository string text string url task comment task repository task repository itask task task attribute task attribute null task repository null task null task attribute task repository task repository task task task attribute task attribute irepository person author author string connector kind task repository connector kind date creation date creation date number number string repository url task repository repository url itask task task task attribute task attribute task attribute task repository task repository task repository string text text string url url set author irepository person author author author set creation date date creation date creation date creation date set number number number number set text string text text text set url string url url url "
"org::eclipse::mylyn::internal::team::ccvs::CvsActiveChangeSetProvider",0,6,3,2.8654,"org eclipse mylyn tasks core itask org eclipse mylyn team ui active change set provider org eclipse mylyn team ui icontext change set org eclipse team internal ccvs ui cvsuiplugin org eclipse team internal core subscribers active change set manager cvs change set integration mylyn author mik kersten cvs active change set provider active change set provider override active change set manager active change set manager cvsuiplugin plugin change set manager override icontext change set create change set itask task cvs context change set task active change set manager "
"org::eclipse::mylyn::internal::monitor::ui::ShellLifecycleListener",0,40,7,7.50839,"org eclipse mylyn internal monitor ui org eclipse core runtime platform org eclipse mylyn internal context core interaction context manager org eclipse mylyn monitor core interaction event org eclipse swt events shell event org eclipse swt events shell listener translates interaction shell window interaction events author mik kersten suppress warnings restriction shell lifecycle listener shell listener interaction context manager manager shell lifecycle listener interaction context manager manager manager manager string product id interaction context manager activity originid workbench platform product null product id platform product id manager process activity meta context event interaction event interaction event kind attention interaction context manager activity structurekind lifecycle product id interaction context manager activity originid workbench null interaction context manager activity delta started 1f shell closed shell event shell event xxx used saving right manager deactivate contexts string product id interaction context manager activity originid workbench platform product null product id platform product id manager process activity meta context event interaction event interaction event kind attention interaction context manager activity structurekind lifecycle product id interaction context manager activity originid workbench null interaction context manager activity delta stopped 1f context core context manager save activity meta context shell deactivated shell event arg0 ignore shell activated shell event arg0 ignore shell deiconified shell event arg0 ignore shell iconified shell event arg0 ignore "
"org::eclipse::mylyn::internal::bugzilla::core::MultiBugReportFactory",0,26,14,12.5709,"org eclipse mylyn internal bugzilla core java io ioexception java io input stream java util list java util locale java util map org eclipse core runtime core exception org eclipse core runtime istatus org eclipse mylyn tasks core repository status org eclipse mylyn tasks core data task attribute mapper org eclipse mylyn tasks core data task data org eclipse mylyn tasks core data task data collector reads bug reports repository author rob elves multi bug report factory report factory multi bug report factory input stream stream string encoding stream encoding populate report map string task data bug map task data collector collector task attribute mapper mapper list bugzilla custom field custom fields ioexception core exception sax multi bug report content handler content handler sax multi bug report content handler mapper collector bug map custom fields collect results content handler false content handler error occurred string error response content handler error message lower locale english error response equals ibugzilla constants xml error notfound error response equals ibugzilla constants xml error invalidbugid core exception bugzilla status istatus warning bugzilla core plugin id plugin repository status error repository ibugzilla constants error msg invalid bug id non nls 1 error response equals ibugzilla constants xml error notpermitted bugzilla status status bugzilla status istatus info bugzilla core plugin id plugin repository status error repository login mapper task repository repository url ibugzilla constants error msg op permitted core exception status core exception bugzilla status istatus warning bugzilla core plugin id plugin repository status error repository unexpected error occurred error response non nls 1 non nls 2 "
"org::eclipse::mylyn::internal::sandbox::ui::commands::ContextCapturePauseHandler",0,38,2,1.84703,"org eclipse mylyn internal sandbox ui commands java util map org eclipse core commands handler org eclipse core commands execution event org eclipse core commands execution exception org eclipse mylyn context core context listener org eclipse mylyn context core context core org eclipse mylyn context core iinteraction context org eclipse mylyn internal tasks ui views task list view org eclipse ui platform ui org eclipse ui commands icommand service org eclipse ui commands ielement updater org eclipse ui menus uielement author eugene kuleshov 3 0 todo remove dependency tasks ui context capture pause handler handler ielement updater context listener context listener context listener override context activated iinteraction context context resume override context deactivated iinteraction context context resume context capture pause handler context core context manager add listener context listener override dispose context core context manager remove listener context listener dispose object execute execution event e execution exception context core context manager context capture paused resume pause null resume context core context manager set context capture paused false task list view active perspective null task list view active perspective indicate paused false refresh commands pause context core context manager set context capture paused true task list view active perspective indicate paused true refresh commands refresh commands icommand service service icommand service platform ui workbench service icommand service service null service refresh elements org eclipse mylyn tasks ui command previous task null service refresh elements org eclipse mylyn ui context capture pause command null suppress warnings unchecked update element uielement element map parameters element set checked context core context manager context capture paused "
"org::eclipse::mylyn::ide::ui::AbstractFocusMarkerViewAction",0,50,6,4.83045,"org eclipse mylyn ide ui java lang reflect field java util array list java util list org eclipse core runtime istatus org eclipse core runtime status org eclipse jface viewers ibase label provider org eclipse jface viewers structured viewer org eclipse jface viewers table viewer org eclipse mylyn commons core status handler org eclipse mylyn context ui focus view action org eclipse mylyn context ui interest filter org eclipse mylyn internal ide ui ide ui bridge plugin org eclipse mylyn internal ide ui marker interest filter org eclipse mylyn internal ide ui marker view label provider org eclipse ui iview part org eclipse ui internal views markers extended markers view org eclipse ui internal views markers markers tree viewer org eclipse ui views markers internal table view label provider author mik kersten 3 0 focus marker view action focus view action structured viewer cached viewer null focus marker view action marker interest filter true true false focus marker view action interest filter interest filter manage viewer manage filters manage linking interest filter manage filters manage filters manage linking hack use platform decorating label provider param viewer update marker view label provider structured viewer viewer viewer null ibase label provider current provider viewer label provider current provider table view label provider current provider marker view label provider viewer set label provider marker view label provider table view label provider current provider hack changing accessibility override list structured viewer viewers list structured viewer viewers array list structured viewer cached viewer null iview part view part part action view part null note following code eclipse 3 4 specific clazz extended markers view field field clazz declared field viewer non nls 1 field set accessible true cached viewer markers tree viewer field view part cached viewer null cached viewer control disposed update marker view label provider cached viewer exception e status handler log status istatus error ide ui bridge plugin id plugin problems view viewer e non nls 1 cached viewer null viewers add cached viewer viewers override update update cached viewer null structured viewer viewer viewers viewer table viewer table viewer table viewer table viewer viewer table viewer label provider marker view label provider table viewer set label provider marker view label provider table view label provider table viewer label provider "
"org::eclipse::mylyn::internal::tasks::ui::editors::TaskListChangeAdapter",0,2,4,4.17741,"org eclipse mylyn internal tasks ui editors java util set org eclipse mylyn internal tasks core itask list change listener org eclipse mylyn internal tasks core task container delta task list change adapter itask list change listener containers changed set task container delta containers "
"org::eclipse::mylyn::internal::tasks::ui::views::TaskRepositoryLabelProvider",0,57,18,14.7305,"org eclipse mylyn internal tasks ui views org eclipse jface viewers ilabel provider org eclipse jface viewers ilabel provider listener org eclipse mylyn internal provisional commons ui common images org eclipse mylyn internal tasks ui tasks ui plugin org eclipse mylyn internal tasks ui actions disconnect repository action org eclipse mylyn tasks core repository connector org eclipse mylyn tasks core task repository org eclipse mylyn tasks ui tasks ui images org eclipse swt graphics image author mik kersten task repository label provider ilabel provider label provider itable label provider image column image object obj index index 0 image obj null image image object object object repository connector repository connector repository connector repository connector object image image tasks ui plugin branding icon repository connector connector kind image null image common images image tasks ui images repository object task repository task repository object offline common images image tasks ui images repository offline common images image tasks ui images repository null string text object object object task repository task repository repository task repository object string builder label string builder label append repository repository label repository offline label append disconnect repository action label non nls 1 non nls 2 label string object repository connector repository connector object label null add listener ilabel provider listener listener ignore dispose ignore label property object element string property ignore false remove listener ilabel provider listener listener ignore "
"org::eclipse::mylyn::internal::bugzilla::core::BugzillaFlagMapper",0,83,4,0,"org eclipse mylyn internal bugzilla core org eclipse core runtime org eclipse core runtime core exception org eclipse core runtime null progress monitor org eclipse mylyn tasks core data task attribute org eclipse mylyn tasks core data task attribute mapper org eclipse mylyn tasks core data task attribute meta data org eclipse mylyn tasks core data task data author frank becker 3 1 bugzilla flag mapper string requestee string setter string state string flag id number string requestee requestee set requestee string requestee requestee requestee string setter setter set setter string setter setter setter string state state set state string state state state string flag id flag id set flag id string flag id flag id flag id number number set number number number number string description string description description set description string description description description apply task attribute task attribute null task attribute task data task data task attribute task data task attribute mapper mapper task data attribute mapper task attribute meta data meta task attribute meta data defaults meta set type ibugzilla constants editor type flag meta set label description bugzilla version bugzilla version null repository configuration repository configuration repository configuration bugzilla core plugin repository configuration mapper task repository false null progress monitor bugzilla version repository configuration install version core exception e bugzilla version bugzilla version min version bugzilla version compare bugzilla version bugzilla 3 2 0 meta set kind task attribute kind meta set read false number 0 task attribute child task attribute create mapped attribute number non nls 1 child meta data defaults set type task attribute type integer mapper set integer value child number requestee null task attribute child task attribute create mapped attribute requestee non nls 1 child meta data defaults set type task attribute type text mapper set value child requestee setter null task attribute child task attribute create mapped attribute setter non nls 1 child meta data defaults set type task attribute type text mapper set value child setter state null task attribute child task attribute create mapped attribute state non nls 1 child meta data defaults set type task attribute type single select child meta data set label flag id child meta data set read false mapper set value child state task attribute meta data put value task attribute meta associated attribute id state non nls 1 "
