"","V1","V2","V3","V4","V5","V6","V7","bug","loc","bf","hcm"
"1",0,3.63758615972639,0,0,0,6.19440539110467,0,1,5.14166355650266,3,10.4552
"2",0,3.52636052461616,2.07944154167984,0,3.04452243772342,4.91265488573605,8.33230835221912,2,6.72142570079064,42,13.9297
"3",0,6.5206211275587,0,0,3.52636052461616,5.10594547390058,0,0,4.93447393313069,9,9.3931
"4",4.52178857704904,3.63758615972639,0,0,0,4.26267987704132,0,0,3.71357206670431,2,2.46341
"5",0,2.56494935746154,0,0,4.34380542185368,0,2.56494935746154,0,2.99573227355399,0,0
"6",4.29045944114839,7.72223474470961,0,5.91620206260743,1.94591014905531,4.23410650459726,0,0,5.48479693349065,13,16.4641
"7",0,3.25809653802148,0,0,0,4.80402104473326,0,0,1.6094379124341,1,4.24084
"8",0,0,6.38856140554563,0,0,0,0,0,5.84643877505772,1,1.35264
"9",0,3.68887945411394,0,2.30258509299405,1.09861228866811,6.43454651878745,0,1,3.80666248977032,4,6.60956
"10",0,6.78671695060508,0,0,2.30258509299405,2.30258509299405,2.63905732961526,0,5.20948615284142,4,5.34192
"11",2.63905732961526,2.56494935746154,3.40119738166216,0,6.94601399109923,3.3322045101752,0,0,5.20948615284142,6,7.7902
"12",0,4.0943445622221,0,0,3.43398720448515,3.89182029811063,0,0,2.63905732961526,1,1.17486
"13",0,3.2188758248682,0,4.70953020131233,0,0,0.693147180559945,0,1.94591014905531,0,0
"14",0,2.484906649788,0,0,2.83321334405622,4.56434819146784,0,0,3.04452243772342,2,5.50819
"15",0.693147180559945,5.29330482472449,0,0,3.09104245335832,3.29583686600433,3.17805383034795,0,3.71357206670431,0,0
"16",0,0,1.6094379124341,0,3.58351893845611,5.76832099579377,4.80402104473326,0,4.12713438504509,5,11.5269
"17",4.62497281328427,4.07753744390572,0,2.70805020110221,0,3.49650756146648,2.99573227355399,0,4.00733318523247,0,0
"18",0,1.94591014905531,0,0,0,2.94443897916644,5.8348107370626,1,4.34380542185368,1,0.871061
"19",0,0,1.6094379124341,0,5.25749537202778,0,0,0,3.68887945411394,1,3.28866
"20",0,0,0,4.83628190695148,1.38629436111989,0,1.94591014905531,0,2.70805020110221,2,4.2341
"21",0,4.36944785246702,0,0,0,5.59098698051086,4.69134788222914,0,4.68213122712422,2,2.6029
"22",0,1.6094379124341,2.484906649788,5.30826769740121,0,0,4.14313472639153,0,3.80666248977032,1,7.75655
"23",3.09104245335832,3.8286413964891,0,4.89034912822175,0,0,0,1,4.02535169073515,3,5.46076
"24",0,0,0,0,4.21950770517611,0,0,0,2.07944154167984,2,4.08464
"25",2.83321334405622,0,2.99573227355399,1.09861228866811,2.07944154167984,5.4553211153577,0,0,4.30406509320417,1,3.9126
"26",0.693147180559945,0,0,0,0,3.61091791264422,0,0,1.38629436111989,0,2.42975
"27",0,3.25809653802148,0,1.38629436111989,6.18620862390049,1.09861228866811,4.21950770517611,1,4.17438726989564,11,11.9647
"28",4.4188406077966,0,0,2.56494935746154,0,4.60517018598809,0,0,3.55534806148941,1,2.24283
"29",1.09861228866811,0,0,0,0,5.39362754635236,0,0,4.04305126783455,1,7.59491
"30",3.76120011569356,5.26785815906333,0,0,0,0,5.62040086571715,3,4.87519732320115,2,2.2048
"31",0,4.38202663467388,0,4.14313472639153,0,0,0,0,2.99573227355399,2,4.01034
"32",0,0,0,0,1.94591014905531,0,3.36729582998647,0,2.30258509299405,1,1.35264
"33",0,1.38629436111989,0,1.38629436111989,0,6.2709884318583,1.09861228866811,0,4.97673374242057,4,8.83948
"34",0,0,0,0,5.26269018890489,0,0,0,3.68887945411394,1,3.28866
