"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1","buffer","token","field","line","ct","query","file","filter","doc","term"
"2","length","l","document","cursor","cache","jj","directory","word","segment","doc"
"3","text","cur","term","v","suffix","token","task","words","merge","reader"
"4","offset","kind","vector","lab","sort","scorer","lock","stop","writer","freq"
"5","size","jj","license","limit","code","queries","dir","query","info","field"
"6","sb","pos","index","r","font","term","index","set","infos","docs"
"7","len","state","store","u","link","clauses","name","analyzer","field","terms"
"8","start","zz","fields","false","value","builder","files","twos","per","skip"
"9","string","x","apache","slice","values","field","data","bit","thread","norm"
"10","read","input","doc","var","remove","parser","run","bits","state","score"
"11","bytes","shingle","name","call","type","clause","benchmark","o","index","index"
"12","input","u","instantiated","delete","nbsp","ntk","exception","token","count","spans"
"13","position","tokens","reader","bra","rv","add","doc","span","store","payload"
"14","array","nadd","lucene","c","time","q","commit","result","write","weight"
"15","utf","stream","string","b","index","span","maker","reader","flush","positions"
"16","upto","column","value","del","doc","date","read","fours","segments","queue"
"17","c","states","search","backward","quality","scorers","date","hash","num","similarity"
"18","data","jjmatched","positions","ket","see","parse","reader","ones","postings","readers"
"19","format","error","terms","mark","color","lower","config","b","commit","ioexception"
"20","end","check","info","eq","obtain","upper","path","string","size","query"
