"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1","jj","token","token","term","token","line","file","u","x","task","license","cache","scorer","doc","query"
"2","l","string","offset","field","word","cursor","directory","filter","date","data","zz","doc","doc","merge","span"
"3","kind","append","buffer","document","words","v","index","c","prefix","doc","under","score","bit","writer","term"
"4","cur","error","length","vector","stop","lab","lock","shingle","min","run","software","sort","sub","segment","spans"
"5","token","retval","position","reader","analyzer","limit","segment","skip","add","benchmark","apache","search","score","info","terms"
"6","pos","line","start","index","filter","r","commit","lower","resolution","file","index","hits","weight","per","boost"
"7","state","stat","text","terms","stream","u","ct","upper","similarity","name","distributed","source","bits","segments","field"
"8","ntk","round","stream","positions","min","false","name","letter","length","maker","result","sb","twos","thread","queries"
"9","nadd","expected","upto","fields","analysis","slice","files","output","fuzzy","config","link","values","readers","infos","clauses"
"10","x","regex","end","name","tokenizer","var","dir","token","format","date","current","field","explanation","field","builder"
"11","states","column","input","store","gram","suffix","corrupt","level","minimum","perf","www","string","b","state","org"
"12","jjmatched","begin","len","norms","pattern","b","exception","attribute","zone","tasks","num","queue","scorers","num","lucene"
"13","consume","image","read","info","standard","call","ioexception","buffer","coord","body","foundation","object","index","count","clause"
"14","la","message","utf","freq","max","delete","open","matrix","distance","title","id","searcher","expl","flush","parser"
"15","jjnew","special","bytes","docs","set","bra","read","child","required","dir","pos","hit","norm","terms","search"
"16","stream","buffer","tokens","instantiated","hyphenation","del","write","filters","wildcard","quality","file","sorted","model","fields","phrase"
"17","jjstate","ch","pos","doc","input","eq","norm","character","s","stats","version","index","ones","store","apache"
"18","check","sequences","size","value","param","ket","compound","column","string","document","copyright","docs","fours","prox","list"
"19","cnt","report","next","null","dictionary","backward","store","element","c","println","selector","type","table","pointer","slop"
"20","move","stok","block","position","stopwords","mark","code","pos","prohibited","params","args","parser","open","max","pp"
