"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1","token","format","l","buffer","field","license","suffix","line","directory","stop","jj","entry","task","zz","word","term","scorer","doc","term","query"
"2","tokens","gram","cur","offset","term","under","ct","cursor","file","filter","token","add","data","u","field","buffer","score","merge","reader","span"
"3","reusable","input","kind","length","document","software","sort","v","index","words","query","key","doc","tokenizer","words","code","weight","writer","doc","spans"
"4","stream","quality","jj","upto","vector","distributed","rv","lab","lock","analyzer","x","map","run","buffer","min","text","doc","per","freq","terms"
"5","shingle","stream","state","size","fields","apache","remove","limit","segment","set","ntk","format","benchmark","k","max","sb","query","thread","index","builder"
"6","next","name","pos","len","store","foundation","type","r","commit","task","consume","date","maker","current","source","set","b","info","docs","filter"
"7","text","n","nadd","bytes","name","http","r","u","segments","word","la","sorted","date","type","index","string","twos","state","field","queries"
"8","size","standard","x","read","index","www","hyphenation","false","dir","hash","upper","tvf","config","pos","values","prefix","sub","segment","cache","org"
"9","analysis","tokenizer","states","position","instantiated","id","word","slice","files","stats","lower","positions","file","l","search","link","explanation","field","ioexception","lucene"
"10","offset","reader","jjmatched","input","norms","command","comparator","b","name","report","gen","string","perf","c","doc","end","similarity","num","readers","parser"
"11","input","println","check","start","value","copyright","ends","var","corrupt","dictionary","parse","offsets","tasks","j","score","length","scorers","infos","norms","term"
"12","filter","line","error","utf","terms","system","true","call","policy","stemmer","q","tvd","dir","read","td","type","expl","count","skip","field"
"13","fragment","file","jjnew","output","info","implied","vowel","del","exception","name","date","mapper","params","error","see","query","searcher","flush","payload","clauses"
"14","payload","max","jjstate","u","offset","result","string","bra","ioexception","analysis","image","resolution","body","pattern","similarity","use","fours","size","close","search"
"15","frag","replace","move","x","stored","conditions","c","delete","infos","stat","charset","object","time","packed","val","bit","match","postings","pointer","apache"
"16","column","side","cnt","block","model","string","locale","mark","compound","sequence","range","synonyms","title","state","color","occur","ones","store","segment","element"
"17","highlight","points","stream","pos","indexed","warranties","values","ket","open","stem","goop","num","apache","scanner","function","append","sum","terms","terms","boost"
"18","max","analyzer","active","c","binary","index","step","backward","merge","extension","collator","tvx","exception","input","retval","regex","search","fields","norm","phrase"
"19","start","args","lex","write","documents","file","length","eq","code","map","fuzzy","time","org","ch","string","o","val","skip","hits","clause"
"20","matrix","doc","token","letter","information","language","j","literal","writer","stopwords","term","parser","line","character","cache","bits","nr","hash","open","factory"
