"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"1","jj","date","query","l","per","buffer","scorer","token","file","line","field","u","buffer","stop","add","task","zz","merge","query","analyzer","field","doc","doc","term","query"
"2","token","sb","term","cur","field","token","license","word","name","cursor","document","suffix","read","filter","s","data","u","index","weight","filter","sort","num","filter","field","span"
"3","query","string","string","kind","doc","text","scorers","stream","dir","v","index","ct","skip","lower","table","run","pos","lock","field","name","fields","flush","bit","reader","spans"
"4","ntk","format","prefix","jj","writer","offset","score","reusable","files","lab","name","b","pointer","words","model","benchmark","type","segment","boost","words","cache","writer","bits","vector","builder"
"5","parse","quality","field","pos","thread","term","under","input","segments","limit","instantiated","x","bytes","upper","x","maker","read","directory","score","terms","doc","prox","index","positions","clause"
"6","shingle","time","queries","state","state","start","required","tokenizer","segment","r","fields","c","input","output","length","doc","packed","commit","search","stop","sub","freq","queue","index","clauses"
"7","consume","resolution","lucene","nadd","postings","end","max","analysis","gen","u","store","twos","output","word","block","config","buffer","infos","similarity","max","comparator","thread","set","terms","phrase"
"8","la","title","name","states","fields","length","doc","gram","directory","false","value","rv","write","o","out","perf","tokenizer","corrupt","val","weighted","type","merge","score","norms","element"
"9","image","name","println","jjmatched","hash","position","software","size","compound","slice","font","fours","length","token","p","tasks","current","writer","source","map","entry","max","docs","info","pp"
"10","term","buffer","stat","error","upto","link","min","next","count","var","information","remove","stream","stemming","string","stats","error","exception","expl","freq","array","segment","hits","freq","parser"
"11","exception","line","regex","x","consumer","code","distributed","filter","store","call","binary","word","data","e","d","apache","l","policy","explanation","sequence","values","store","hit","docs","factory"
"12","gen","append","system","check","terms","tokens","sum","min","message","b","documents","ones","file","stemmer","key","params","state","info","searcher","points","value","payload","top","readers","node"
"13","prefix","replace","args","jjnew","free","type","target","hyphenation","extension","del","license","r","position","stem","command","dir","scanner","segments","doc","min","score","docs","id","store","slop"
"14","q","round","sub","jjstate","documents","payload","nr","tokens","del","bra","setting","letter","index","set","ch","lucene","num","open","value","string","index","bytes","cache","norm","occur"
"15","fuzzy","body","apache","move","pool","string","current","max","info","delete","vector","true","ioexception","analyzer","distance","index","marked","code","append","reader","sorted","ram","open","offsets","apache"
"16","column","length","include","cnt","posting","set","sub","len","format","ket","nbsp","vowel","offset","hash","f","exception","c","write","terms","field","string","threads","size","position","lucene"
"17","field","val","distance","token","info","param","similarity","dictionary","generation","backward","stored","ends","utf","analysis","row","system","wikipedia","ioexception","norm","query","parser","last","max","vectors","list"
"18","fragment","html","exclude","stream","count","increment","color","n","string","mark","analyzer","delete","format","charset","search","log","input","link","code","stok","order","deletes","collector","offset","org"
"19","matrix","invalid","op","lex","block","pre","match","io","path","eq","indexed","v","level","zone","len","org","action","merges","see","num","starts","terms","search","doc","add"
"20","tokens","input","reader","starts","abort","null","req","apache","merge","literal","color","step","vint","stopwords","min","out","tokens","delete","idf","names","reader","state","wlen","ioexception","position"
