"","V1","V2","V3"
"1","token","line","doc"
"2","query","cursor","index"
"3","jj","v","field"
"4","lucene","lab","term"
"5","apache","u","reader"
"6","kind","r","document"
"7","stream","limit","writer"
"8","buffer","task","segment"
"9","cur","slice","merge"
"10","text","false","directory"
"11","word","suffix","ioexception"
"12","pos","ct","info"
"13","words","var","store"
"14","analyzer","b","docs"
"15","filter","call","terms"
"16","string","benchmark","file"
"17","input","eq","fields"
"18","add","c","lock"
"19","l","bra","freq"
"20","size","delete","thread"
