"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"1","field","x","analyzer","buffer","l","offset","doc","query","term","license","token","scorer","c","line","field","merge","suffix","skip","filter","word","spans","commit","jj","sb","segment","zz","field","task","score","shingle","bit","bytes","term","query","file"
"2","term","b","element","size","cur","buffer","field","score","text","apache","stream","doc","u","cursor","cache","writer","ct","output","stemmer","add","query","link","token","string","index","token","sort","run","hits","model","bits","format","freq","span","lock"
"3","vector","twos","text","token","kind","read","per","weight","code","under","stop","min","e","v","reader","segment","rv","pointer","cache","map","queries","code","query","append","reader","error","fields","data","searcher","table","set","date","doc","builder","directory"
"4","document","u","standard","min","jj","length","writer","similarity","terms","software","filter","queue","r","lab","doc","index","remove","upper","stem","words","quality","policy","ntk","round","directory","u","doc","benchmark","doc","row","buffer","time","docs","filter","dir"
"5","store","text","name","gram","state","start","thread","explanation","field","index","reusable","match","s","limit","value","info","r","level","set","string","distance","p","term","format","file","retval","code","tasks","hit","column","index","write","positions","org","files"
"6","fields","fours","string","input","pos","letter","state","expl","prefix","lucene","analysis","scorers","k","r","source","segments","true","prox","exclusion","len","payload","deletion","consume","data","infos","state","comparator","perf","filter","matrix","id","resolution","field","lucene","name"
"7","instantiated","ones","parse","hyphenation","nadd","clone","postings","boost","string","org","analyzer","size","buffer","false","parser","doc","vowel","lower","exclusionlist","pattern","sub","index","la","res","readers","string","type","stats","search","tokens","size","utf","terms","clause","doc"
"8","index","fragment","child","max","states","format","upto","val","buffer","distributed","words","max","o","slice","index","max","delete","include","result","entry","doc","method","parse","stat","ioexception","current","order","params","n","size","block","thread","reader","terms","date"
"9","name","frag","replace","len","jjmatched","end","fields","value","enumerator","args","tokenizer","score","stemming","u","lucene","lock","value","read","standard","size","string","returns","gen","task","norms","expected","values","points","query","list","array","last","vector","apache","factory"
"10","offset","c","document","position","x","payload","hash","scorer","null","reader","tokens","first","zone","var","values","directory","search","payload","hash","sorted","m","commits","q","line","norm","message","string","log","docs","shingles","open","string","num","clauses","ioexception"
"11","binary","highlight","acronym","n","check","type","consumer","norm","regex","file","next","nr","m","call","org","exception","replace","buffer","german","synonyms","end","point","exception","report","segments","pos","min","sequence","document","current","wlen","mode","info","boost","body"
"12","info","f","node","buf","jjnew","result","terms","searcher","compare","system","set","top","ch","b","string","infos","j","levels","map","println","match","size","field","name","open","special","more","maker","ioexception","permutation","end","keep","position","parser","input"
"13","norms","num","invalid","length","jjstate","b","num","idf","reader","foundation","reader","target","ends","del","apache","policy","term","vint","stopwords","hash","name","note","fuzzy","num","corrupt","packed","max","config","collector","positioner","doc","len","max","phrase","path"
"14","stream","fragments","reader","start","cnt","input","free","src","o","document","lucene","similarity","y","bra","search","flush","string","interval","stoptable","j","start","changes","image","benchmark","gen","buffer","fieldname","time","index","rows","start","code","mapper","term","stream"
"15","position","word","attribute","side","move","link","documents","max","append","println","apache","sum","t","backward","see","corrupt","source","stream","dutch","command","near","already","parser","println","info","append","locale","step","top","maximum","position","index","tvf","spans","maker"
"16","information","pop","html","chars","stream","out","info","search","index","implied","org","heap","n","ket","function","merges","preceded","current","table","iterator","qq","path","clauses","stats","read","image","param","max","weight","search","len","ioexception","document","search","output"
"17","setting","tot","exception","read","nfa","xe","id","sub","pattern","conditions","input","required","charset","mark","object","deletes","step","last","clean","memory","reader","list","clause","out","files","lexical","auto","stok","exception","codec","pos","result","offsets","pp","data"
"18","indexed","v","title","begin","lex","xf","flush","append","equals","www","null","dictionary","d","eq","code","code","region","input","builds","entries","length","exception","date","n","store","read","documents","apache","searchables","settings","disi","cal","tf","factory","exception"
"19","value","offset","e","io","active","acute","count","doc","false","warranties","ioexception","minimum","b","delete","entry","font","strings","ioexception","snowball","key","span","values","goop","buffer","close","l","reverse","lucene","id","tf","b","ti","next","field","io"
"20","stored","eights","value","stream","token","s","pool","color","lower","without","word","sub","ending","literal","cached","delete","length","pos","chinese","iter","basic","name","operator","substring","extension","type","returns","count","total","minimum","td","set","ioexception","xmlparser","string"
