"","V1","V2","V3","V4"
"1","token","line","query","doc"
"2","kind","cursor","field","field"
"3","pos","v","term","index"
"4","l","lab","lucene","term"
"5","cur","limit","apache","writer"
"6","buffer","r","string","segment"
"7","stream","u","score","merge"
"8","offset","slice","search","directory"
"9","x","false","scorer","info"
"10","start","suffix","span","document"
"11","jj","task","filter","store"
"12","input","ct","jj","reader"
"13","u","var","terms","file"
"14","size","delete","weight","ioexception"
"15","state","call","add","lock"
"16","zz","eq","parser","docs"
"17","tokens","bra","analyzer","freq"
"18","current","mark","queries","fields"
"19","license","ket","token","infos"
"20","len","c","reader","per"
