"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1","file","l","stop","upto","offset","field","cache","doc","query","lock","token","min","token","suffix","line","step","term","merge","field","filter","skip","e","entry","u","query","fuzzy","task","td","index","query","buffer","doc","error","scorer","bit","segment","date","document","query","data"
"2","dir","cur","words","len","shingle","segment","lower","field","field","vector","buffer","max","stream","ct","cursor","delete","field","index","fields","analyzer","pointer","o","map","c","maker","code","zz","similarity","directory","span","sb","id","string","doc","x","segments","score","license","jj","pp"
"3","directory","kind","text","size","add","reader","upper","per","weight","store","column","size","next","rv","v","r","terms","writer","sort","set","output","t","string","b","benchmark","wildcard","run","link","reader","spans","string","command","append","scorers","b","commit","doc","term","builder","positions"
"4","name","jj","token","block","term","term","model","writer","score","factory","tokens","gram","reusable","true","lab","points","index","exception","value","hash","buffer","zone","size","e","doc","prefix","perf","document","ioexception","payload","text","args","retval","match","bits","info","hits","vector","parser","doc"
"5","files","state","analyzer","buffer","start","norms","parser","thread","boost","name","character","dictionary","tokens","remove","limit","vowel","reader","code","reader","result","read","stemming","tvf","letter","apache","date","tasks","big","corrupt","weighted","length","reader","prefix","score","twos","infos","hit","positions","ntk","next"
"6","gen","pos","tokenizer","length","end","doc","include","state","val","indexed","position","side","analysis","r","r","search","name","lock","type","reader","bytes","charset","sorted","f","org","goop","data","nbsp","exception","clauses","set","index","word","sub","fours","merge","docs","under","queries","position"
"7","input","nadd","fragment","pattern","matrix","readers","table","postings","value","omit","stream","subword","input","ends","false","c","docs","font","comparator","filters","write","ending","word","d","quality","clauses","stats","search","close","terms","append","apache","expected","sum","ones","policy","time","instantiated","clause","date"
"8","read","states","word","out","regex","norm","search","fields","search","offset","input","longest","type","value","slice","snowball","map","directory","doc","map","prox","russian","array","x","data","str","report","term","open","position","exception","out","message","nr","word","doc","top","offsets","q","phrase"
"9","ioexception","jjmatched","stream","word","distance","fields","row","hash","expl","stored","special","mem","term","j","var","s","setting","merges","code","org","length","mode","name","vowel","config","length","benchmark","b","read","near","xml","set","parse","next","set","size","format","apache","la","tp"
"10","extension","check","frag","result","length","docs","null","consumer","doc","term","begin","input","null","replace","call","stemmer","document","corrupt","string","stemmer","level","m","words","l","body","buf","stat","tr","io","reader","handler","system","round","max","index","files","resolution","index","consume","bytes"
"11","output","x","max","x","payload","vectors","collator","terms","explanation","norms","line","ngram","lucene","term","b","prefix","key","compound","name","java","stream","n","num","xe","lucene","analyzer","params","factor","b","phrase","null","iterator","line","similarity","wlen","flush","search","field","factory","first"
"12","index","jjnew","reader","s","link","infos","range","num","source","true","image","uid","set","ch","del","good","next","max","document","analysis","vint","y","next","acute","queries","p","pos","li","version","slop","properties","software","val","queue","open","deletes","searcher","number","exception","config"
"13","path","jjstate","standard","hyphenation","row","info","field","free","searcher","binary","java","n","filter","common","bra","k","info","analyzer","values","stem","freq","database","synonyms","xf","document","parse","num","br","low","buffer","c","ii","sequences","required","num","count","n","distributed","parse","df"
"14","format","move","set","offset","minimum","fi","code","documents","similarity","field","io","param","org","vowel","backward","avg","enumerator","message","score","apache","last","length","iterator","xc","task","range","state","searcher","returns","start","end","disi","constructor","skip","pop","directory","max","information","element","null"
"15","store","cnt","fragments","start","prefix","sub","cached","count","reader","link","start","len","ioexception","string","delete","recall","instantiated","document","index","wrapper","input","endings","list","xd","title","resolution","read","norm","level","search","document","lucene","exception","coord","tot","file","collector","info","field","end"
"16","stream","stream","num","array","size","vector","analyzer","posting","lucene","tvd","read","grams","text","region","ket","stem","analyzer","nbsp","fieldable","lucene","utf","txn","hash","s","name","field","packed","freq","deleted","ioexception","source","result","ch","target","v","delete","queue","software","org","queue"
"17","compound","nfa","freq","utf","permutation","freq","string","pool","apache","position","c","res","match","length","eq","stats","hash","open","order","null","format","s","println","charset","shingle","exception","sequence","align","ensure","exclude","element","fix","lexical","req","eights","pending","total","org","occur","last"
"18","string","active","stopwords","p","positioner","names","h","id","org","false","length","label","apache","c","mark","porter","set","failed","locale","cache","position","keep","entries","o","reader","link","l","p","option","apache","transformer","open","spell","current","words","num","cache","freq","xmlparser","iterator"
"19","close","literal","highlight","text","current","store","column","info","javadoc","instance","next","compound","end","preceded","literal","source","similarity","obtain","ret","util","payload","arg","system","diaeresis","line","set","current","implementation","link","boost","prototype","message","method","clauses","shift","writer","priority","documents","gen","pq"
"20","generation","lex","acronym","k","param","num","inclusive","flush","terms","compressed","kind","create","sink","ira","golab","y","ioexception","create","null","id","levels","l","memory","n","analyzer","x","tokenizer","code","error","code","e","count","str","ioexception","end","docs","code","result","lucene","array"
