"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45"
"1","document","l","name","filter","offset","prefix","len","term","doc","word","u","field","license","token","suffix","file","line","u","field","positions","task","x","query","skip","add","cache","query","buffer","score","zz","sb","segment","c","lock","query","task","bit","query","merge","doc","date","terms","term","jj","file"
"2","term","cur","string","stop","start","similarity","p","text","per","analyzer","limit","vector","file","stream","ct","gen","cursor","letter","index","term","stats","shingle","lower","pointer","td","field","span","read","scorer","u","result","index","b","file","builder","run","bits","weight","writer","size","format","words","reader","token","doc"
"3","instantiated","kind","format","standard","buffer","regex","key","code","field","table","cursor","store","under","tokens","rv","extension","v","e","source","vector","stat","u","val","prox","big","sort","term","bytes","doc","pos","filter","directory","twos","directory","parser","data","word","expl","doc","queue","resolution","freq","index","ntk","date"
"4","field","jj","time","set","end","distance","memory","payload","writer","string","lab","fields","apache","next","remove","name","lab","acute","font","field","report","output","upper","freq","align","comparator","spans","input","hits","read","id","infos","error","ioexception","element","benchmark","index","explanation","max","sub","fields","max","field","consume","maker"
"5","index","state","round","analyzer","token","term","debug","link","state","words","v","name","software","analyzer","r","compound","r","xe","color","position","size","f","include","level","tr","entry","queries","length","scorers","packed","quality","file","fours","name","org","perf","set","boost","segment","next","stream","min","docs","la","config"
"6","setting","pos","points","words","upto","min","system","buffer","thread","hyphenation","mark","term","distributed","analysis","true","store","limit","xf","search","info","longest","matrix","src","payload","similarity","fields","field","len","hit","state","doc","commit","buffer","dir","factory","tasks","wlen","match","index","frag","time","array","ioexception","pp","body"
"7","information","nadd","append","stopwords","length","length","letter","field","postings","search","ket","value","system","reusable","sb","del","false","xc","values","offsets","dictionary","column","reader","last","norm","object","terms","size","docs","l","max","info","ones","factory","exception","params","num","similarity","policy","fragment","field","stop","doc","parse","data"
"8","documents","states","sb","result","gram","mode","err","set","fields","map","eq","index","args","filter","vowel","doc","slice","xd","nbsp","offset","subword","row","score","levels","factor","string","clauses","ioexception","search","current","filters","segments","s","exception","xmlparser","log","array","value","info","last","string","query","readers","gen","dir"
"9","number","x","n","reader","size","j","min","null","consumer","list","false","fi","println","input","delete","generation","call","c","apache","tvf","mem","size","h","output","br","value","clause","index","collector","pattern","highlight","count","retval","open","filter","apache","td","searcher","flush","more","local","size","norms","phrase","line"
"10","associated","jjmatched","num","acronym","type","fuzzy","k","string","terms","searcher","line","indexed","foundation","tokenizer","string","files","var","b","lucene","terms","data","shingles","sub","interval","nbsp","key","slop","position","document","num","reader","corrupt","ch","path","apache","sequence","open","result","segments","heap","code","num","freq","exception","reader"
"11","license","check","number","replace","max","mid","sc","param","hash","pattern","suffix","stored","org","null","buffer","norm","b","wordfile","org","store","match","permutation","range","doc","center","model","list","file","top","buffer","append","read","u","obtain","lucene","lucene","id","norm","merges","end","exception","tf","norm","q","title"
"12","map","jjnew","s","stem","out","starts","lo","offset","free","synonyms","slice","binary","lucene","reader","stok","dir","del","french","cache","mapper","reported","current","id","ti","ndash","index","lucene","offset","ioexception","c","string","files","n","code","e","step","x","buffer","deletes","first","cal","map","close","image","benchmark"
"13","vector","jjstate","stats","invalid","position","string","eq","p","num","model","bra","document","command","apache","length","names","backward","lower","doc","fields","entries","pos","collator","stream","small","type","search","write","similarity","marked","index","write","stemming","link","attribute","org","b","set","docs","current","tools","iter","positions","fuzzy","files"
"14","current","stream","iterator","builds","min","enumerator","tree","factory","documents","lucene","ar","norms","out","lucene","search","output","delete","diaeresis","function","tvd","round","positioner","exclude","vint","idf","reader","weighted","stream","link","action","disi","exception","e","string","domutils","count","iterator","scorer","buffered","start","set","len","terms","goop","exception"
"15","info","move","avg","tokenizer","input","m","base","o","count","null","vowel","true","kind","stop","step","count","literal","upsilon","reader","sorted","min","character","custom","current","d","parser","apache","output","sum","unpack","set","null","string","instance","node","exception","spell","detail","commit","max","parse","more","open","true","task"
"16","apache","cnt","array","exclusion","s","keep","s","returns","info","add","l","omit","data","org","value","format","g","charset","see","vectors","max","codec","code","read","entity","map","q","buf","nr","error","searchables","ioexception","zone","fsdirectory","analyzer","rate","words","max","code","top","calendar","iterator","sub","kind","null"
"17","name","token","col","analysis","side","minimum","node","equals","id","j","stem","offset","conditions","set","term","check","c","iota","javadoc","selector","child","maximum","o","length","t","values","org","block","required","input","results","ref","o","failed","xml","index","size","filter","exception","spans","input","string","next","c","string"
"18","terms","lex","logger","wrapper","begin","impl","start","method","posting","param","s","fieldable","www","term","replace","input","grouping","accented","parser","num","elapsed","settings","hash","buffer","link","locale","occur","utf","match","tokenizer","search","reader","k","locked","child","maker","end","append","thread","fragments","document","length","null","prefix","read"
"19","settings","nfa","system","exclusionlist","utf","regexp","println","use","flush","syns","ki","position","warranties","text","source","s","true","letters","code","tvx","name","rows","equals","tf","valign","doc","phrase","data","queue","yybegin","searcher","deletion","expected","exists","name","logic","bitmask","idf","compound","num","tokenize","ignore","ensure","next","buffered"
"20","target","active","println","lucene","len","processing","kv","note","pool","values","golab","compressed","licenses","ioexception","j","extensions","bra","deal","b","result","run","d","null","payloads","frequency","order","string","b","searcher","tok","text","si","v","close","span","set","th","add","size","time","d","names","n","parser","properties"
