"","V1","V2","V3","V4","V5"
"1","token","line","query","file","field"
"2","jj","cursor","term","index","doc"
"3","l","v","field","merge","term"
"4","pos","lab","filter","directory","index"
"5","x","r","search","lock","vector"
"6","cur","limit","lucene","task","document"
"7","buffer","u","span","segment","fields"
"8","kind","slice","apache","dir","freq"
"9","start","suffix","words","writer","store"
"10","stream","false","analyzer","segments","terms"
"11","offset","ct","terms","data","reader"
"12","input","var","string","name","per"
"13","zz","call","parser","doc","skip"
"14","state","eq","weight","commit","info"
"15","tokens","c","boost","files","docs"
"16","shingle","bra","score","exception","writer"
"17","c","delete","queries","run","norms"
"18","twos","del","org","info","offset"
"19","u","ket","bit","policy","positions"
"20","len","b","reader","count","thread"
