"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1","file","text","segment","stop","gram","spans","l","model","jj","skip","field","line","field","license","task","token","merge","id","line","builder","field","freq","stats","suffix","term","shingle","stemmer","word","cache","add","val","token","zz","format","quality","extension","index","query","bit","thread","block","weight","x","doc","per","score","reader","term","buffer","file"
"2","name","token","infos","analyzer","out","end","kind","table","token","pointer","sort","cursor","vector","under","data","next","writer","error","cursor","query","term","field","points","ct","lower","token","stemming","words","entry","queries","maker","term","u","date","reader","tvf","lock","field","bits","count","spell","scorer","b","writer","field","hits","term","query","position","lock"
"3","read","fragment","commit","tokenizer","upto","regex","cur","row","ntk","output","doc","u","term","software","run","scorer","policy","retval","v","parser","document","payload","stat","u","filter","size","zone","j","map","query","doc","offset","pos","bytes","doc","vectors","exception","boost","sb","bucket","word","sub","twos","state","postings","doc","docs","span","length","directory"
"4","gen","prefix","directory","token","n","match","jj","search","term","level","fields","v","store","apache","benchmark","min","max","append","lab","element","instantiated","prox","report","rv","upper","column","stem","o","key","srnd","body","type","state","string","query","letter","corrupt","clause","word","current","index","doc","u","num","hash","resolution","index","terms","c","dir"
"5","count","frag","segments","words","x","first","pos","analyzer","consume","read","comparator","var","fields","distributed","tasks","match","merges","expected","r","org","index","fields","println","r","code","matrix","ending","pattern","object","string","config","tokens","read","result","td","tvd","font","clauses","index","link","sug","explanation","fours","flush","thread","hit","doc","spans","start","factory"
"6","dir","score","info","reader","s","doc","state","list","la","stream","score","lab","norms","positions","perf","input","info","bit","limit","filter","source","selector","li","remove","include","filter","string","len","string","sub","src","stream","packed","read","index","tvx","color","similarity","words","exception","array","score","ones","thread","doc","time","ioexception","field","pp","name"
"7","directory","highlight","index","filter","hyphenation","more","nadd","column","parse","write","type","limit","info","offsets","params","stream","segments","string","false","factory","apache","load","out","true","text","heap","buffer","k","sorted","basic","append","text","l","utf","id","position","directory","search","set","threads","ng","similarity","c","store","consumer","docs","field","reader","len","files"
"8","index","max","write","analysis","length","cell","check","document","gen","levels","values","slice","name","result","apache","reusable","message","message","call","analyzer","setting","payloads","num","c","enumerator","tokens","database","n","terms","distance","line","end","current","stream","name","xe","writer","searcher","num","mask","suggest","max","f","field","writer","search","readers","weighted","offset","ioexception"
"9","files","fragments","files","standard","min","payload","x","decorated","exception","interval","code","e","index","foundation","lucene","filter","compound","disi","b","apache","doc","tf","prefix","ends","null","row","y","s","command","wildcard","title","link","num","input","queries","acute","code","queries","min","priority","len","scorers","min","segment","upto","top","freq","phrase","pos","path"
"10","input","num","deletion","set","ch","start","states","field","image","current","value","false","offset","implied","org","analysis","size","line","slice","exception","lucene","term","system","vowel","range","shingles","exclusion","e","parser","r","round","reusable","scanner","f","filters","xf","obtain","terms","wlen","allowed","form","value","pop","fields","terms","collector","close","search","size","data"
"11","output","string","corrupt","stream","side","distance","jjmatched","string","goop","data","locale","p","stored","www","exception","scorers","code","sequences","backward","xmlparser","information","out","big","delete","collator","permutation","length","string","memory","q","sb","string","input","exception","searcher","vint","open","lucene","max","coord","snapshot","norm","v","ram","state","filter","open","expl","bytes","fsdirectory"
"12","compound","offset","read","stopwords","string","begin","jjnew","index","kind","buffer","fieldable","del","fi","conditions","name","nr","optimize","doc","mark","lucene","terms","code","elapsed","step","h","input","e","synonyms","size","list","value","start","wikipedia","text","benchmark","offsets","document","occur","stop","used","size","ioexception","tot","id","pool","date","n","positions","end","io"
"13","store","scorer","null","apache","p","prev","jjstate","listener","q","last","order","bra","indexed","warranties","log","size","auto","image","literal","child","documents","fp","br","sb","compare","current","s","t","hash","op","string","analyzer","result","local","apache","write","nbsp","code","freq","checksum","ioexception","explain","tf","bytes","posting","searcher","null","boost","read","close"
"14","norm","group","version","lucene","c","dstream","move","hits","fuzzy","index","string","snowball","position","version","config","required","commit","set","eq","node","reader","info","format","e","equals","positioner","search","charset","array","name","props","length","error","length","qq","utf","failed","string","td","mid","distance","sum","eights","deletes","start","code","ensure","idf","phrase","open"
"15","generation","param","last","acronym","tree","bufpos","cnt","searching","next","doc","returns","delete","binary","http","sequence","dictionary","false","constructor","s","attribute","org","last","time","string","buffer","output","french","add","num","sqi","custom","null","tokenizer","out","search","raw","ioexception","q","open","update","templates","target","zero","terms","count","queue","exception","index","b","instance"
"16","size","end","point","org","size","last","stream","changed","true","length","fieldname","ket","norm","copyright","maker","null","index","starts","c","e","values","omit","nbsp","replace","val","character","set","syns","name","infix","reader","value","action","chars","org","xc","analyzer","match","end","exceptions","directory","size","hex","docs","free","total","num","slop","current","system"
"17","ioexception","fragmenter","check","result","result","pre","token","searcher","operator","ti","param","grouping","positions","licenses","step","ioexception","merged","lexical","g","domutils","cache","terms","round","term","o","next","porter","synonym","value","surround","name","increment","tok","java","lucene","extensions","link","analyzer","len","called","n","array","csa","infos","block","mode","document","clauses","character","string"
"18","exception","encoder","deleted","reusable","utf","similarity","nfa","query","date","number","reverse","golab","add","unless","stok","req","scheduler","ch","y","name","text","length","avg","value","set","codec","txn","f","println","qf","properties","payload","unpack","parse","writer","j","low","apache","more","call","capacity","disjunction","shift","documents","documents","hq","corrupt","apache","ioexception","e"
"19","si","best","sis","replace","hyphen","target","active","clear","c","vint","given","g","omit","except","string","minimum","flush","filter","suffix","span","search","delta","args","j","true","settings","lang","iter","err","near","property","li","marked","fix","max","num","io","link","bitmask","first","dictionary","skip","n","free","end","link","positions","lucene","copy","exists"
"20","stream","fuzzy","rollback","hash","len","length","literal","number","x","seek","document","replab","value","licensed","count","lucene","true","parse","bra","dom","string","matching","sum","source","string","buf","endings","p","info","span","vals","exception","wiki","msg","logger","file","error","set","th","done","port","document","max","delete","text","df","deleted","org","term","java"
