"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55"
"1","file","wildcard","text","analyzer","upto","buffer","zz","l","twos","x","skip","query","format","mark","special","stop","token","token","suffix","li","line","letter","term","license","index","sort","lock","lower","builder","u","add","model","jj","d","task","merge","field","sb","segment","buffer","field","code","query","doc","shingle","reader","scorer","doc","bit","size","field","term","query","pp","date"
"2","read","idx","fragment","standard","utf","offset","instantiated","cur","fours","text","pointer","weight","log","u","err","words","stream","input","ct","type","cursor","u","terms","apache","code","field","factory","upper","filter","b","tvf","table","query","deletes","run","writer","fields","error","index","c","source","clauses","weighted","docs","matrix","readers","doc","per","bits","min","document","reader","span","phrase","doc"
"3","buffer","wildcards","frag","acronym","result","start","pos","kind","ones","block","prox","score","string","suffix","println","word","analyzer","gram","rv","link","v","points","field","under","document","comparator","directory","quality","element","c","map","row","token","rollback","data","doc","vector","string","directory","length","parser","clause","span","hits","column","cache","spans","writer","set","max","index","field","queries","len","data"
"4","name","french","highlight","replace","x","position","current","jj","resolution","pos","freq","expl","s","vowel","system","set","next","filter","remove","id","lab","acute","index","software","exception","sorted","time","query","query","e","buf","search","ntk","commit","benchmark","policy","name","r","infos","stemming","cache","link","prefix","hit","tokens","sub","match","field","filter","queue","map","doc","search","hyphenation","file"
"5","ioexception","search","score","invalid","out","term","read","state","b","postings","level","searcher","substring","ar","object","filter","reusable","size","true","ul","limit","xe","similarity","positions","font","doc","path","name","parser","x","word","list","parse","error","perf","segment","store","delete","commit","zone","values","occur","terms","score","distance","docs","scorers","state","index","output","name","norms","reader","p","body"
"6","input","cidx","fragments","analysis","bytes","end","state","pos","date","code","payload","explanation","num","chain","pattern","analyzer","tokens","min","r","saved","r","xf","text","distributed","writer","score","dir","null","factory","v","j","analyzer","consume","stream","tasks","max","value","append","segments","s","parse","method","name","search","row","ioexception","payload","thread","doc","heap","term","index","boost","td","files"
"7","directory","wildchar","max","lucene","write","length","l","nadd","format","len","last","similarity","snowball","ki","uid","o","analysis","stream","value","curr","false","xc","freq","document","corrupt","fields","obtain","include","exception","f","synonyms","ws","la","close","stats","merges","stored","message","file","stemmer","doc","prohibited","field","searcher","word","close","next","terms","id","top","setting","positions","apache","n","dir"
"8","dir","bb","color","tokenizer","s","pattern","packed","x","tot","pool","read","norm","step","stem","iter","stopwords","reader","next","j","numeric","slice","avg","code","vector","directory","type","name","range","xmlparser","d","size","elems","gen","write","params","info","document","search","info","ends","val","query","string","top","current","starts","sub","consumer","open","array","documents","vector","lucene","word","format"
"9","gen","dog","num","handler","offset","text","regex","states","pop","p","doc","value","frac","harmony","tokens","stream","tokenizer","max","common","missing","call","recall","reader","org","nbsp","code","link","collator","org","n","num","column","q","constructor","maker","flush","binary","retval","files","word","function","set","queries","filter","size","max","score","hash","word","pos","doc","segment","field","key","title"
"10","output","rmi","string","apache","length","token","buffer","check","eights","hash","vint","boost","regexp","l","line","result","lucene","dictionary","term","judgements","var","xd","enumerator","offsets","open","entry","locked","queries","node","y","string","add","exception","external","name","segments","indexed","lexical","name","ending","apache","use","lucene","max","shingles","old","first","postings","wlen","tf","key","norm","spans","hyphen","config"
