"","V1","V2","V3","V4","V5","V6"
"1","token","token","line","jj","query","doc"
"2","l","term","cursor","task","field","index"
"3","cur","word","v","date","term","field"
"4","pos","license","lab","token","doc","segment"
"5","x","words","r","query","span","merge"
"6","u","scorer","limit","data","score","writer"
"7","buffer","document","u","benchmark","terms","directory"
"8","kind","analyzer","slice","string","search","file"
"9","jj","stop","false","parse","filter","info"
"10","state","min","suffix","sb","cache","store"
"11","zz","max","ct","run","weight","infos"
"12","start","apache","var","ntk","boost","lock"
"13","offset","size","call","format","spans","thread"
"14","shingle","text","delete","add","index","per"
"15","b","filter","b","maker","reader","write"
"16","c","lucene","eq","exception","factory","term"
"17","twos","instantiated","bra","config","lucene","ioexception"
"18","input","stream","del","name","searcher","commit"
"19","nadd","analysis","backward","q","sort","segments"
"20","stream","null","ket","stats","apache","files"
