"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60"
"1","file","l","text","vector","c","upto","spans","error","min","skip","doc","task","val","line","block","license","u","n","token","suffix","file","date","readers","x","index","term","lock","field","line","term","add","scorer","sb","field","r","jj","doc","buffer","stop","zz","score","segment","token","word","queue","pattern","query","filter","query","result","query","twos","num","merge","time","cache","reader","position","filters","term"
"2","directory","cur","fragment","store","buffer","out","span","token","gram","pointer","per","data","field","cursor","data","under","letter","e","tokenizer","ct","dir","format","sub","bit","directory","document","model","fields","cursor","lower","quality","scorers","buffer","term","c","ntk","config","offset","words","u","hits","index","stream","index","tvf","string","span","doc","term","properties","weight","b","doc","writer","resolution","max","term","positions","p","terms"
"3","name","kind","token","field","stemmer","stat","payload","retval","size","prox","field","run","values","v","database","apache","special","o","next","rv","compound","lexical","starts","bits","writer","field","table","value","u","upper","bytes","doc","r","reader","slice","consume","maker","size","analyzer","pos","doc","infos","tokens","td","size","hyphenation","builder","id","fuzzy","breaker","boost","shingle","bytes","info","date","min","field","pp","key","query"
"4","ioexception","jj","frag","term","stem","s","doc","append","max","freq","writer","tasks","source","lab","directory","software","xe","t","stream","remove","gen","f","multi","sort","exception","instantiated","row","document","v","include","utf","score","string","entry","b","la","line","start","reader","output","searcher","directory","next","num","tvd","len","parser","set","prefix","transformer","similarity","u","flush","max","format","map","docs","phrase","disi","index"
"5","input","state","score","vectors","filter","stats","end","expected","n","payload","thread","perf","search","limit","key","distributed","acute","m","reusable","true","name","string","old","code","font","index","search","name","lab","buffer","write","sub","stemming","comparator","limit","query","benchmark","length","filter","state","hit","commit","analyzer","words","top","n","lucene","bit","parse","document","expl","fours","format","policy","cal","freq","norms","tp","tree","lucene"
"6","lock","pos","highlight","fi","standard","report","distance","message","side","level","state","benchmark","doc","r","position","foundation","xf","points","input","dictionary","files","str","close","f","corrupt","info","obtain","string","limit","code","result","sum","zone","sorted","s","gen","file","position","weighted","read","docs","info","null","wlen","heap","word","org","reader","wildcard","tie","field","ones","docs","doc","code","doc","index","first","k","field"
"7","dir","nadd","fragments","offset","set","ch","start","regex","input","last","postings","params","src","false","ioexception","org","c","s","analysis","r","norm","unique","num","d","nbsp","information","locked","stream","r","range","extension","nr","ends","index","hop","image","data","len","set","packed","search","segments","prefix","len","j","exception","queries","index","field","multiplier","explanation","matrix","ram","merges","string","hash","norm","pos","lo","reader"
"8","stream","x","num","indexed","replace","utf","clauses","sequences","ngram","levels","hash","name","apache","call","txn","version","kind","stop","type","subword","doc","line","length","set","code","setting","factory","binary","var","null","qq","required","length","cache","literal","exception","string","read","hash","current","top","file","reusable","b","priority","text","apache","iterator","q","disjuncts","clause","c","size","segments","tools","key","ioexception","next","sc","positions"
"9","gen","states","max","fields","acronym","result","more","string","illegal","doc","fields","lucene","lucene","mark","cursor","www","xc","charset","filter","longest","store","parse","n","open","document","terms","analyzer","type","slice","collator","vint","next","vowel","string","eq","true","body","input","stream","l","n","count","analysis","br","tvx","hyphen","element","ioexception","goop","disjunction","code","column","terms","code","calendar","terms","positions","freq","chain","search"
"10","close","jjmatched","scorer","norms","invalid","system","sub","parse","argument","interval","consumer","apache","org","slice","operation","conditions","uid","p","tokens","value","path","htmlparser","subreaders","shift","open","documents","list","index","false","text","format","match","ending","parser","false","clauses","dir","end","analysis","buffer","collector","files","input","big","doc","entries","factory","bits","queries","xml","clauses","row","deletes","segment","set","size","doc","pq","eq","iterator"
