"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65"
"1","file","term","b","info","stop","upto","thread","term","l","lock","u","doc","reader","score","suffix","term","bucket","license","file","token","scorer","doc","token","date","line","x","index","term","model","vector","word","output","term","merge","spans","pattern","entry","shingle","jj","field","buffer","words","zz","string","c","index","e","skip","li","name","cache","task","fields","reader","query","bits","doc","flush","query","date","docs","query","pp","filters","query"
"2","input","document","twos","segment","analyzer","size","count","field","kind","file","letter","per","analyzer","query","ct","terms","begin","under","system","stream","scorers","id","error","maker","cursor","sort","code","field","quality","store","j","u","code","writer","payload","sink","field","add","token","source","offset","stop","u","name","buffer","directory","t","pointer","command","field","query","run","field","term","weight","bit","array","info","span","format","filter","builder","positions","node","queries"
"3","read","field","u","infos","filter","n","priority","norm","cur","directory","c","field","stream","similarity","rv","weighted","mask","software","println","reusable","match","hits","retval","config","v","code","font","fields","table","field","size","extension","lower","segments","doc","matcher","reader","matrix","query","val","token","word","pos","append","sb","file","stemming","freq","type","info","queries","data","value","readers","expl","td","num","doc","clauses","time","doc","parser","position","filter","q"
"4","buffer","instantiated","fours","file","standard","gram","threads","norms","jj","name","xe","writer","index","max","remove","text","dstream","apache","index","next","doc","hit","append","data","lab","values","exception","vectors","search","term","map","pos","upper","merges","end","snapshot","comparator","column","ntk","doc","start","len","read","sb","r","segment","o","prox","ii","terms","map","benchmark","fieldable","field","explanation","index","size","deletes","spans","resolution","term","element","phrase","xml","terms"
"5","ioexception","index","ones","doc","words","length","interrupted","terms","state","dir","acute","state","name","search","true","field","bufpos","distributed","out","input","size","set","expected","doc","limit","type","document","vector","row","indexed","words","e","include","segment","start","quality","key","current","consume","values","length","names","state","round","length","commit","zone","payload","query","sorted","name","perf","word","index","scorer","word","bytes","writer","clause","points","freq","org","pos","result","field"
"6","bytes","setting","text","name","set","hyphenation","time","doc","pos","factory","xf","thread","lucene","min","r","index","table","positions","reader","analysis","nr","top","image","body","r","buf","corrupt","result","query","stored","bit","d","field","policy","match","truncated","cache","row","la","apache","size","analyzer","packed","report","string","segments","ending","write","string","memory","key","tasks","document","ioexception","boost","wlen","queue","buffered","terms","string","terms","filter","end","occur","analyzer"
"7","output","information","fragment","count","tokenizer","out","instances","mapper","nadd","ioexception","xc","postings","apache","document","value","position","io","conditions","args","filter","sum","bit","string","file","false","field","writer","offset","parser","value","string","extensions","query","max","more","cp","term","tokens","parse","search","end","param","l","stat","ends","files","n","level","match","positions","sub","params","string","docs","value","num","id","code","queue","code","reader","apache","len","string","phrase"
"8","length","documents","frag","norm","stopwords","min","suppress","vector","states","path","b","hash","field","color","j","reader","bufsize","org","dir","tokens","dictionary","heap","message","line","slice","locale","nbsp","position","qq","omit","syns","f","buffer","compound","first","regex","parser","shingles","term","src","position","ignore","current","stats","s","infos","k","output","apache","size","r","stats","b","open","searcher","tf","mid","segment","reader","cal","max","xmlparser","text","document","add"
"9","len","text","c","si","reader","len","running","positions","x","open","xd","fields","iterator","val","regexp","distance","column","www","document","analyzer","min","disi","line","input","u","order","color","tvf","analyzer","norms","system","t","range","optimize","sub","java","map","permutation","exception","lucene","type","set","scanner","res","delete","exception","charset","last","name","boost","basic","log","spell","sub","reader","min","blocks","commit","field","good","weight","lucene","next","properties","boost"
"10","gen","number","fragments","dir","analysis","s","concurrent","regex","check","files","charset","consumer","read","sub","vowel","wildcard","stream","offsets","line","null","sub","iterator","special","format","call","word","reader","utf","list","name","bits","fb","prefix","infos","last","lst","value","positioner","gen","org","text","see","num","value","vowel","policy","m","interval","help","searcher","object","sequence","binary","close","similarity","set","starts","docs","near","stats","ioexception","factory","tp","title","array"
"11","block","vector","highlight","store","token","start","exceptions","index","jjmatched","fsdirectory","russian","terms","org","searcher","ir","enumeration","startline","link","doc","tokenizer","score","open","sequences","exception","var","reverse","link","store","searcher","fi","sorted","ed","collator","merged","ioexception","hard","string","size","q","function","link","ir","type","out","ch","write","y","length","link","debug","sqi","apache","p","norms","result","b","n","ram","search","calendar","cache","attribute","first","null","search"
"12","index","map","x","size","result","word","many","freqs","jjnew","instance","f","free","java","queries","term","prefix","startcolumn","implied","lucene","apache","required","result","parse","dir","b","cur","directory","read","name","true","list","m","null","size","false","topic","index","codec","fuzzy","javadoc","set","link","wikipedia","line","step","deletion","word","levels","message","tokens","lucene","step","null","freq","set","f","maps","false","extract","recall","set","domutils","pq","transformer","slop"
"13","directory","name","pop","del","acronym","side","clear","reader","jjstate","delete","d","documents","ts","param","length","length","java","copyright","writer","lucene","req","score","constructor","files","del","shift","documents","format","column","offset","hash","cost","string","scheduler","cell","util","object","settings","clauses","non","term","string","tokenizer","iterator","search","read","s","data","lucene","err","srnd","config","size","ensure","append","open","hi","auto","lucene","m","search","e","repeats","exception","list"
"14","b","terms","num","gen","replace","tree","testing","impl","move","link","lower","info","string","hits","ira","search","bufline","warranties","directory","org","coord","search","column","null","bra","auto","field","positions","field","binary","n","czech","text","level","list","trec","array","character","image","parser","increment","greedy","input","props","true","corrupt","length","doc","ul","println","filter","exception","freq","option","match","x","iter","true","boost","prefix","searcher","node","true","form","term"
"15","position","associated","tot","compound","hash","k","loop","string","cnt","obtain","e","num","close","link","null","minimum","encoding","licenses","apache","set","subword","size","ch","properties","backward","index","level","tvd","results","position","length","j","exclude","message","target","reference","entries","rows","field","cache","array","enable","error","number","character","check","tag","number","methods","lucene","factory","stok","fi","corrupt","detail","tr","allocations","wait","code","num","min","name","pop","p","length"
"16","clone","e","v","ref","invalid","utf","run","docs","stream","code","letters","pool","fields","scores","preceded","fuzzy","input","applicable","title","term","similarity","link","lexical","text","mark","integer","open","freq","index","false","synonyms","encoding","enumerator","use","next","topics","integer","maximum","parser","value","payload","li","action","format","source","name","russian","current","id","object","qf","lucene","index","segment","explain","bitmask","length","max","list","avg","index","analyzer","last","templates","apache"
"17","offset","doc","eights","stream","stream","array","pri","null","nfa","close","diaeresis","posting","already","length","log","pre","buffersize","unless","io","ioexception","max","max","exception","task","delete","array","io","bytes","string","tf","input","n","o","start","skip","locale","fieldname","weight","goop","see","len","url","tok","reported","replace","format","l","read","tokens","index","hash","org","suggest","n","buffer","th","vals","pending","array","max","n","exception","offset","input","clause"
"18","pos","factory","csa","null","builds","max","until","buffer","token","exception","upsilon","count","syn","total","o","compare","bufcolumn","licensed","files","stemmer","minimum","collector","str","benchmark","ket","nr","ioexception","selector","judge","info","f","cfs","append","log","ordered","p","sorted","ws","operator","custom","max","field","marked","title","common","writer","date","ti","terms","array","op","maker","ng","vector","add","math","property","success","base","p","more","builders","entries","stream","occur"
"19","data","settings","fragmenter","fi","word","ch","gap","hash","active","locked","iota","abort","util","idf","string","enumerator","re","compliance","print","link","counting","j","parser","f","eq","sorting","obtain","offsets","lucene","param","child","sa","equals","one","prev","unlimited","ret","elems","c","string","buf","ignored","unpack","println","term","count","endings","vint","foundation","string","operator","count","sug","ref","norm","nbsp","col","merge","apache","parse","hash","child","b","saxexception","lucene"
"20","current","info","offset","vectors","lucene","block","notify","apache","literal","null","accented","list","res","hex","iras","variants","next","law","org","java","current","returns","method","feeds","literal","comparator","failed","num","hits","cause","main","p","reader","set","length","compile","synonyms","minimum","clause","reader","buffers","increments","tokens","prefix","false","generation","j","bytes","org","ptr","iterator","rate","queue","exception","weights","l","last","delete","add","simple","id","dom","null","configuration","string"
