"","V1","V2","V3","V4","V5","V6","V7"
"1","token","term","line","word","file","query","doc"
"2","jj","field","cursor","token","lock","field","segment"
"3","cur","vector","v","u","task","score","merge"
"4","kind","offset","lab","words","data","doc","writer"
"5","l","document","limit","filter","directory","term","index"
"6","state","index","r","stop","zz","search","field"
"7","pos","license","u","bit","run","span","info"
"8","shingle","positions","slice","x","dir","scorer","infos"
"9","stream","position","suffix","set","benchmark","terms","directory"
"10","error","store","false","lower","index","spans","write"
"11","column","text","ct","bits","name","weight","thread"
"12","ntk","buffer","var","c","exception","cache","commit"
"13","nadd","fields","call","tokenizer","date","queries","segments"
"14","tokens","terms","delete","buffer","string","searcher","per"
"15","image","instantiated","b","length","println","boost","file"
"16","states","offsets","eq","analyzer","doc","parser","count"
"17","jjmatched","length","bra","analysis","format","similarity","store"
"18","x","size","del","upper","system","lucene","docs"
"19","input","info","backward","letter","maker","clauses","skip"
"20","parse","upto","ket","sb","path","apache","state"
