"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70"
"1","file","term","b","text","analyzer","upto","max","distance","field","l","token","term","doc","token","model","suffix","mi","u","token","file","filter","query","hyphenation","error","string","line","mark","query","license","scorer","field","task","sort","shingle","buffer","extension","stop","zone","x","map","max","positions","field","merge","task","zz","spans","output","directory","readers","word","index","query","sorted","n","resolution","jj","quality","query","segment","array","bits","doc","doc","read","reader","query","pp","p","map"
"2","name","document","c","fragment","standard","x","size","prefix","term","cur","stream","field","per","analyzer","table","ct","si","e","special","dir","reader","score","word","retval","prefix","cursor","vowel","builder","apache","doc","selector","stats","field","matrix","offset","exception","words","stemming","add","words","min","term","source","writer","data","u","value","write","commit","segment","len","writer","clause","info","o","hits","token","hits","expl","info","size","bit","num","document","bytes","term","term","index","len","hash"
"3","dir","field","twos","frag","stop","out","min","term","vector","kind","next","lower","thread","stream","search","rv","xi","f","color","system","doc","weight","dictionary","append","append","v","stem","factory","under","scorers","load","report","doc","column","start","name","skip","buf","regex","field","tf","offsets","cache","policy","run","pos","fields","command","index","sub","database","font","clauses","debug","e","docs","query","id","weight","segments","pos","set","docs","field","pointer","field","span","word","key","key"
"4","directory","instantiated","u","date","set","utf","gram","sub","store","jj","input","code","field","pattern","document","sb","ms","d","image","println","id","similarity","size","expected","type","lab","ends","lock","distributed","score","blocks","stat","comparator","current","length","string","filter","ending","shift","string","num","vector","doc","commit","benchmark","read","binary","pos","file","infos","data","exception","occur","err","s","score","ntk","hit","explanation","infos","text","open","id","mode","length","docs","terms","phrase","sc","put"
"5","gen","index","fours","time","replace","result","heap","fuzzy","name","state","reusable","reader","writer","string","td","r","threshold","ir","hex","index","cache","freq","subword","message","round","limit","u","parser","software","nr","result","points","letter","tokens","term","element","set","buffer","word","index","format","license","org","max","maker","state","doc","message","policy","term","io","lock","queries","memory","k","date","parse","doc","boost","size","next","tag","bytes","contents","input","doc","spans","end","lo","object"
"6","lock","setting","ones","highlight","acronym","slice","side","similarity","info","pos","analysis","upper","state","text","searcher","remove","ford","m","val","args","set","val","stok","sequences","sb","r","l","org","org","match","fields","run","fields","token","position","xml","level","y","ws","num","res","position","values","merges","config","packed","more","ii","link","info","stream","code","code","positions","t","hit","consume","searcher","value","store","list","num","file","term","size","index","field","wlen","tree","java"
"7","ioexception","information","x","fragments","stopwords","offset","n","length","fields","nadd","tokenizer","text","postings","null","row","true","mtp","ed","kind","out","filters","doc","min","string","name","false","ki","apache","implied","sub","link","name","score","row","end","result","stream","stemmer","elems","list","string","mapper","body","index","perf","l","match","cause","deletion","starts","input","corrupt","search","println","charset","search","la","queries","append","files","code","index","format","index","index","freq","reader","td","eq","ramfile"
"8","input","documents","tot","num","reader","code","j","minimum","offset","x","filter","null","hash","reader","payload","delete","night","fi","sb","date","result","src","longest","parse","value","slice","consonant","filter","www","sum","lazy","round","type","size","set","attribute","analyzer","length","impl","terms","length","info","apache","exception","tasks","buffer","end","out","commits","index","spell","document","boost","terms","word","top","exception","name","buffer","count","iterator","size","count","apache","ioexception","norms","lucene","position","node","util"
"9","files","number","v","score","invalid","pool","ngram","m","norms","states","lucene","terms","fields","next","big","string","trading","del","max","files","index","max","hyphen","line","flags","var","chain","lucene","licenses","next","document","println","locale","shingles","text","properties","levels","endings","capabilities","names","base","entry","search","code","params","num","compressed","help","open","interval","begin","ioexception","fields","lucene","j","collector","q","qq","norm","stream","target","pipe","segment","org","skip","norm","org","positions","k","thread"
"10","store","text","pop","max","tokenizer","length","top","sqi","position","check","org","string","consumer","reusable","analyzer","vowel","japan","russian","background","directory","bit","terms","match","constructor","property","call","harmony","xmlparser","conditions","required","name","out","values","permutation","link","extensions","analysis","r","entity","name","s","wildcard","val","optimize","apache","current","first","id","lock","multi","key","nbsp","analyzer","searcher","ch","format","gen","reader","field","compound","length","arr","delete","handler","last","ioexception","apache","start","kv","ramdirectory"
"11","output","terms","eights","scorer","hash","ch","queue","op","vectors","jjmatched","tokens","cache","terms","tokens","index","c","sony","czech","append","writer","ioexception","boost","pattern","exception","li","b","before","element","warranties","req","fieldable","benchmark","code","positioner","type","kid","token","buffers","h","iterator","padd","frequency","parser","auto","org","scanner","stored","written","ioexception","old","dstream","obtain","terms","system","w","priority","term","benchmark","result","deletes","entries","zero","size","use","data","prox","weighted","b","cur","value"
"12","generation","map","csa","offset","wordlist","s","synonyms","d","index","jjnew","apache","enumerator","free","stemmer","field","replace","bank","standard","line","reader","hash","searcher","param","ch","vals","bra","ar","node","writing","skip","selections","reported","xe","codec","size","document","stem","find","arr","add","frac","comparator","lucene","false","exception","start","start","exception","exception","cache","bufpos","directory","q","j","russian","code","fuzzy","trec","match","corrupt","len","meta","merge","exception","block","open","positions","words","start","weak"
"13","read","vector","n","start","words","text","param","srnd","indexed","jjstate","null","docs","documents","analysis","list","length","nigeria","edamos","foreground","lucene","wrapper","scorer","tree","lexical","number","del","check","e","foundation","current","actual","format","acute","settings","copy","transformer","apache","m","implementation","entry","code","ignoring","function","scheduler","lucene","wikipedia","payload","print","version","directory","string","color","required","size","string","searchables","image","null","add","flush","main","f","deletes","last","vint","close","list","pos","ternary","newline"
"14","null","name","low","param","streams","block","illegal","qf","omit","stream","ioexception","index","flush","org","hits","step","credit","edas","min","path","open","search","compound","method","props","backward","un","domutils","copy","ioexception","lazily","prefix","order","character","payload","form","org","creation","y","syns","digits","store","javadoc","flush","set","input","include","result","name","num","words","field","coord","stride","m","hq","field","logger","detail","name","operation","returns","buffered","page","format","segment","queries","bitmask","insert","name"
"15","compound","associated","ntz","end","file","buffers","object","edit","tvf","move","type","collator","list","lower","apache","value","trade","ser","string","java","caching","docs","patterns","str","sval","delete","y","analyzer","applicable","first","accept","avg","c","rows","len","configuration","stopwords","ia","iterator","fields","p","under","title","message","log","tokenizer","false","commands","returns","names","j","open","size","ptr","r","n","next","results","scorer","true","mid","summary","ram","freq","position","read","search","pq","length","null"
"16","string","e","word","fragmenter","loader","write","input","min","stream","cnt","set","object","count","s","query","search","world","ea","begin","err","apache","sub","length","column","val","ket","optional","name","licensed","similarity","xff","sum","fieldname","maximum","chars","os","list","date","array","more","param","set","value","write","sequence","error","cell","s","write","n","system","reader","link","vm","l","filter","date","judge","idf","writer","start","htmlparser","flushed","keep","offset","null","next","first","root","reference"
"17","stream","doc","y","string","analysis","end","generate","operator","positions","nfa","reader","parser","posting","lucene","align","term","flags","owner","score","io","chain","lucene","add","bit","col","eq","uz","dom","compliance","bucket","loaded","data","xf","weight","param","null","builds","nr","ff","hash","clean","current","see","p","name","type","fieldable","d","code","close","synonyms","see","c","num","c","searchable","true","search","searcher","level","add","quote","states","reader","len","vectors","position","th","string","memory"
"18","close","factory","character","doc","map","unicode","label","f","fi","token","offset","include","abort","pre","lucene","j","wildcard","ad","tokens","uid","cached","org","curr","current","n","literal","n","span","express","optional","called","sb","xc","list","use","templates","exclusion","iu","id","software","time","terms","string","pending","true","tok","queue","info","delete","find","java","error","prohibited","entry","length","sort","goop","apache","reader","directory","sort","id","write","total","utf","corrupt","ioexception","last","hi","creates"
"19","exists","apache","offset","encoder","name","start","element","search","stored","active","io","range","next","apache","tr","source","match","c","used","msg","iterator","value","input","length","prop","g","d","exception","governing","queue","names","p","sorting","param","read","saxexception","result","soft","bitlist","tokens","number","link","non","lock","step","action","sub","constructs","instance","ti","txn","failed","similarity","elements","buffer","searcher","prefix","read","similarity","merged","ignore","equals","last","html","current","deleted","slop","repeats","system","hard"
"20","format","set","two","contiguous","result","uni","adjust","string","offsets","literal","link","entry","threads","java","factor","ends","winkler","eda","column","usage","disi","norm","exception","disi","buffer","true","suffixes","attribute","permissions","target","param","recall","reverse","child","increment","transform","reader","remove","idea","apache","ln","offset","reader","wait","time","marked","data","methods","list","length","bufsize","low","number","boost","result","cal","operator","lucene","description","success","checksum","count","length","ioexception","seek","deletions","near","l","println","compare"
