"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75"
"1","task","term","l","b","term","stemming","error","token","sub","doc","o","fields","x","postings","token","query","r","spans","file","color","index","stop","next","text","min","scorer","id","line","sub","word","field","field","name","merge","suffix","u","points","val","skip","term","line","token","model","term","c","jj","buf","sb","system","zz","data","extension","index","letter","td","filter","lock","terms","pp","token","doc","queue","token","norm","bit","doc","term","output","date","doc","license","query","buffer","stats","query"
"2","run","field","cur","twos","vector","zone","token","begin","mode","field","e","field","f","per","reusable","queries","buffer","span","name","wildcard","font","words","iterator","prefix","token","doc","doc","cursor","readers","words","doc","term","quality","writer","ct","c","format","query","pointer","lower","lab","analyzer","table","clause","add","token","size","data","println","pos","format","pattern","segment","ends","big","cache","file","size","phrase","shingle","score","priority","filter","reader","bits","flush","offset","file","resolution","freq","reader","span","length","stat","weight"
"3","data","document","kind","fours","field","ending","retval","special","queries","per","t","value","utf","writer","stream","score","string","payload","gen","hex","writer","analyzer","list","fragment","word","scorers","tvf","v","starts","map","source","reader","block","policy","rv","e","n","src","level","upper","cursor","stream","row","clauses","s","query","maker","index","out","state","num","n","infos","acute","nbsp","map","directory","array","positions","tokens","hits","matching","analysis","norms","set","num","end","write","time","prox","term","builder","len","p","term"
"4","tasks","index","jj","ones","store","acronym","out","line","append","state","n","stream","word","hash","tokenizer","search","vowel","end","dir","sb","nbsp","set","tokenizer","frag","size","score","tvd","r","n","syns","apache","sort","string","code","remove","f","enumerator","score","levels","include","v","tokens","search","similarity","buffer","ntk","max","benchmark","args","read","mem","string","info","xe","norm","caching","dir","string","position","matrix","hit","reusable","stemmer","field","index","deletes","start","bytes","format","last","positions","org","position","report","terms"
"5","benchmark","instantiated","state","tot","name","replace","append","column","name","thread","charset","name","offset","thread","reader","lucene","sb","queue","store","background","exception","reader","sink","token","gram","match","filters","limit","norms","synonyms","lucene","type","qq","message","true","v","good","sub","interval","code","limit","child","index","code","character","la","basic","run","dir","l","config","heap","segments","xf","align","key","name","len","next","column","docs","number","next","si","word","ram","token","length","string","num","apache","parser","read","task","reader"
"6","perf","terms","pos","round","omit","invalid","string","stream","string","fields","m","document","shift","terms","input","searcher","delete","position","files","priority","color","stopwords","sorted","highlight","max","sub","vectors","lab","multi","synonym","org","cache","props","commit","r","b","avg","custom","stream","range","call","null","string","length","length","consume","wait","task","line","packed","append","exception","directory","k","tr","spell","ioexception","freq","pos","current","search","hits","set","segment","wlen","buffered","type","read","set","length","under","lucene","offset","key","boost"
"7","params","text","nadd","n","position","standard","upto","dstream","r","consumer","s","binary","code","upto","next","max","search","clauses","compound","foreground","corrupt","filter","token","fragments","dictionary","sum","reader","false","old","string","values","index","handler","max","value","d","stats","queries","data","null","false","reusable","command","distance","len","parse","buffers","string","reader","type","f","hyphenation","commit","b","br","cached","factory","info","first","size","searcher","truncated","lucene","vectors","open","docs","position","utf","parse","vint","index","apache","clone","out","field"
"8","name","vector","x","pop","indexed","length","expected","bufpos","sqi","writer","russian","index","low","free","data","apache","length","match","generation","min","document","word","status","end","input","nr","tvx","slice","cause","group","search","string","benchmark","thread","j","ed","time","value","d","collator","mark","next","list","d","string","gen","nr","res","properties","buffer","maker","word","corrupt","xc","similarity","wrapper","path","text","pq","row","n","lucene","apache","fi","num","delete","text","ioexception","cal","bytes","software","factory","b","reported","expl"
"9","maker","setting","states","eights","info","endings","message","java","op","info","y","result","surrogate","block","ioexception","li","c","query","stream","string","directory","stream","array","num","side","size","disi","var","t","j","reader","code","body","auto","term","fb","recall","q","delta","buffer","g","tmp","analyzer","fuzzy","w","q","feeds","length","stream","u","line","hyphen","count","charset","factor","variants","files","map","tp","filter","comparator","visit","stem","tf","td","flushed","length","input","tools","list","org","element","input","tree","explanation"
"10","log","number","check","csa","names","remove","ch","kind","duplicate","processor","l","stored","xff","num","pattern","org","step","start","format","max","code","result","add","offset","n","required","format","b","cache","num","function","docs","title","optimize","vowel","fi","ws","search","read","equals","del","analysis","ii","p","common","exception","mmap","options","document","current","unique","j","exception","xd","link","put","string","next","repeats","shingles","sort","quoted","org","deleted","end","bytes","set","pointer","code","out","distributed","xmlparser","start","println","similarity"
