"","V1","V2","V3","V4","V5","V6","V7","V8"
"1","token","state","line","task","jj","lock","query","index"
"2","buffer","l","cursor","apache","token","index","doc","doc"
"3","term","per","v","license","stop","file","term","segment"
"4","text","cur","lab","data","query","link","score","merge"
"5","offset","kind","r","lucene","lower","zz","field","term"
"6","size","pos","limit","analyzer","u","directory","scorer","store"
"7","length","jj","u","field","words","code","terms","field"
"8","tokens","x","false","query","c","exception","span","info"
"9","stream","thread","slice","org","date","error","spans","file"
"10","shingle","upto","suffix","benchmark","ntk","word","weight","writer"
"11","start","states","b","parser","letter","font","index","directory"
"12","reusable","postings","var","run","upper","message","similarity","infos"
"13","min","consumer","call","cache","add","string","search","vector"
"14","len","block","delete","builder","parse","color","bit","docs"
"15","next","nadd","eq","name","resolution","path","boost","commit"
"16","input","jjmatched","bra","filter","word","ioexception","reader","segments"
"17","current","doc","del","search","la","u","docs","reader"
"18","position","field","c","document","consume","nbsp","searcher","files"
"19","max","start","backward","doc","x","read","bits","write"
"20","string","free","ket","file","q","b","sort","norms"
