"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"1","file","term","l","text","term","analyzer","x","gram","term","mode","shingle","reader","skip","val","upto","maker","query","spans","array","queue","term","offset","file","task","token","word","freq","word","id","line","jj","map","index","field","quality","index","cache","u","begin","source","query","segment","stem","suffix","doc","add","b","form","wildcard","snowball","string","token","zz","field","error","merge","positions","words","database","query","lock","sb","span","doc","token","prefix","size","scorer","norms","per","x","term","date","m","term","license","builder","buffer","task","query"
"2","name","field","cur","fragment","field","token","out","min","buffer","processing","matrix","index","pointer","body","pool","doc","search","doc","block","doc","system","end","date","name","tokens","hyphenation","min","syn","filter","cursor","query","null","data","sort","name","code","key","c","token","val","queries","info","stemmer","ct","writer","model","twos","xsl","modified","existing","buf","filter","u","fields","string","writer","offsets","stop","data","queries","file","buffer","query","score","retval","pattern","sorted","score","norm","hash","bits","code","resolution","distance","reader","under","query","length","run","boost"
"3","directory","document","kind","frag","freq","tokenizer","result","max","offset","filter","column","readers","level","name","block","data","document","payload","size","scorer","args","start","doc","tasks","stream","dictionary","max","prolog","doc","v","token","entry","license","doc","read","directory","object","letter","child","search","string","infos","filter","rv","state","table","u","template","handler","stemmer","synonyms","set","pos","value","message","policy","extension","word","key","clause","factory","string","spans","docs","expected","term","info","doc","segment","field","bit","lower","time","points","cache","apache","pp","position","data","field"
"4","gen","index","jj","highlight","vector","analysis","upto","side","end","keep","row","segment","levels","title","text","config","score","end","data","heap","index","text","dir","round","next","min","terms","already","set","lab","ntk","data","benchmark","comparator","trec","exception","html","output","io","type","name","segments","k","remove","thread","t","fours","fi","excl","ext","len","param","read","name","n","segments","tvf","e","cursor","string","dir","c","term","hits","parse","string","memory","weight","doc","postings","index","text","format","n","index","software","parser","len","stats","terms"
"5","files","instantiated","pos","score","store","stream","utf","size","length","duplicate","current","ioexception","parser","bytes","slice","task","searcher","match","offset","size","println","special","line","append","reusable","size","names","nums","bit","limit","consume","ramfile","apache","cache","benchmark","writer","node","x","stream","apache","parser","doc","exclusion","true","per","search","ones","compiled","build","tartarus","word","position","state","stream","exception","merges","position","o","txn","add","directory","r","field","hit","sequences","fuzzy","result","expl","reader","terms","word","upper","string","p","terms","distributed","element","size","benchmark","term"
"6","input","vector","state","fragments","prox","reader","p","token","start","name","size","docs","stream","code","writer","reader","td","more","positions","top","num","uid","document","string","analysis","subword","doc","lis","reader","r","la","entries","options","code","id","corrupt","map","e","dstream","value","q","commit","stoptable","r","flush","row","c","ate","tools","program","max","prefix","packed","document","append","commit","vectors","stemming","je","occur","name","length","weighted","searcher","constructor","text","debug","explanation","si","doc","wlen","field","hits","length","docs","org","org","read","perf","positions"
"7","read","name","nadd","max","info","standard","k","input","set","use","shingles","open","interval","vec","offset","benchmark","similarity","first","length","sub","out","type","body","sequence","null","longest","analyzer","hard","filters","false","parse","os","org","score","qq","font","simple","f","bufpos","lucene","sub","files","greek","value","num","string","pop","domsource","search","named","s","link","l","store","retval","max","mapper","n","jeindex","command","ioexception","delete","terms","search","append","similarity","entries","scorers","field","thread","set","include","cal","max","entry","foundation","apache","bytes","report","reader"
"8","index","information","x","color","write","lucene","length","n","increment","occurrence","permutation","directory","read","returns","buffers","feeds","lucene","start","payload","target","print","string","files","stok","apache","match","more","expand","iterator","slice","gen","put","standard","values","line","open","mutex","d","bufsize","src","parse","size","dutch","j","consumer","tag","x","configuration","str","qm","j","code","buffer","stored","lexical","segment","vector","t","transaction","queue","path","step","clauses","n","exception","score","list","match","vectors","state","num","range","hit","j","map","conditions","factory","start","stat","weight"
"9","ioexception","setting","states","num","output","apache","s","ngram","link","last","positioner","infos","doc","append","size","format","field","sub","position","j","store","kind","string","property","lucene","input","frequency","iterator","result","u","q","br","run","type","reader","ioexception","document","xe","java","values","exception","deletes","german","vowel","ram","list","tot","criteria","p","methodname","length","next","current","binary","hyphen","index","tvd","zone","ioexception","boost","instance","ends","near","filter","string","minimum","println","similarity","store","writer","td","null","code","good","field","implied","filter","pos","lucene","norm"
"10","output","number","check","scorer","last","filter","key","param","enumeration","te","tokens","n","current","boost","documents","javadoc","term","ch","n","pop","result","line","title","mem","ioexception","tree","docs","weak","index","b","exception","bytes","benchmarker","string","judge","document","tidy","acute","column","function","lucene","flush","french","string","free","analyzer","v","ser","excluded","stemmers","synonym","input","num","vector","cause","thread","tvx","hash","entry","apache","link","vowel","reader","weight","image","st","err","sum","fi","consumer","open","terms","set","d","next","warranties","xmlparser","b","params","buffer"
"11","stream","positions","jjmatched","string","vint","set","regex","label","text","km","codec","sub","max","document","pos","analyzer","link","false","target","priority","n","image","contents","perf","org","param","len","linked","open","call","term","util","dir","fields","logger","lock","attribute","xf","startline","org","r","delete","stemmed","term","field","column","eights","properties","last","listed","syns","stream","scanner","index","token","compound","store","result","blocks","list","fsdirectory","s","lucene","top","message","reader","next","query","deleted","fields","bucket","string","calendar","avg","close","www","lucene","input","apache","append"
"12","write","terms","jjnew","append","bytes","org","offset","unigrams","clone","df","settings","ensure","data","props","left","reset","q","true","unsupported","current","count","character","null","rate","sink","max","set","reference","disi","var","image","ramdirectory","args","index","format","analyzer","put","pos","startcolumn","non","add","write","table","length","id","parser","n","ical","wildcards","original","index","reusable","type","string","parser","optimize","offset","ending","db","index","open","search","search","max","error","regex","array","code","read","count","end","collator","collector","recall","iterator","copyright","phrase","ioexception","tasks","similarity"
"13","dir","documents","jjstate","hex","payload","name","len","filter","flags","pm","rows","close","number","string","buffer","unique","hits","cell","operation","adjust","format","details","println","count","list","base","percent","list","ioexception","del","field","file","lucene","reader","df","error","lst","b","bufline","javadoc","result","buffered","exclusions","preceded","documents","e","csa","ist","req","before","size","term","start","fieldable","state","p","terms","charset","jedirectory","searcher","locked","true","list","starts","special","matcher","tie","tf","corrupt","posting","th","enumerator","page","format","num","writing","e","offset","org","searcher"
"14","string","text","move","group","utf","acronym","code","grams","index","curr","character","freq","cache","lvr","mask","properties","boost","common","capacity","nr","lucene","position","config","run","util","token","num","refs","search","bra","fuzzy","each","field","order","newline","field","value","xc","input","see","list","pending","brazilian","null","abort","pipe","ntz","iti","character","maintains","res","caching","wikipedia","doc","line","exception","num","string","sleepycat","ii","obtain","source","iterator","collector","current","regexp","multiplier","max","dir","info","b","o","simple","num","null","licensed","domutils","chars","log","value"
"15","format","map","stream","fragmenter","omit","java","ch","generate","resources","fast","weight","commit","ioexception","fieldable","lo","simple","apache","current","tp","next","doc","begin","lucene","array","input","length","mlt","wordnet","apache","delete","true","output","system","locale","results","nbsp","handler","xd","encoding","li","array","stream","s","step","store","listener","low","ia","idx","fully","f","end","tokenizer","indexed","column","file","format","m","com","next","string","replace","apache","searchables","length","code","system","clauses","option","num","bitmask","h","parse","search","ioexception","required","attribute","current","out","add"
"16","generation","info","cnt","end","pointer","io","sc","ngrams","returns","reader","maximum","exception","child","buffer","start","non","big","last","arraycopy","matchers","docs","such","out","number","iterator","compound","fields","cogsci","chain","backward","clauses","illegal","println","sorted","li","link","element","lower","buffersize","sub","null","false","constant","ira","threads","summary","y","javax","ant","h","format","p","marked","null","sax","add","read","set","uuid","lucene","locks","ch","weight","hq","parser","match","disjuncts","explain","del","free","shift","compare","link","stats","key","governing","node","index","config","idf"
"17","count","string","nfa","background","length","replace","f","front","prototype","full","minimum","field","list","field","next","apache","factor","ordered","actual","object","exit","column","add","set","add","filter","see","syns","software","mark","goop","system","file","object","print","failed","nl","character","bufcolumn","string","operator","success","porter","replace","docs","quote","word","fast","classname","link","num","null","input","result","str","count","term","stopwords","output","spell","fslock","index","org","id","line","length","len","required","null","next","table","true","milliseconds","time","hash","limitations","analyzer","clone","name","string"
