"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85"
"1","task","term","l","text","merge","analyzer","tokenizer","regex","token","gram","field","tokenizes","commit","skip","thread","doc","block","val","spans","line","wildcard","span","word","token","filter","link","token","suffix","size","file","token","r","quality","occur","index","field","segment","model","task","token","shingle","file","term","query","scorer","line","words","doc","cache","add","buf","field","body","jj","prox","zz","field","bytes","sb","index","date","c","lock","searcher","bit","info","hyphenation","doc","query","matching","reader","query","b","term","doc","max","doc","license","min","positions","query","pp","buffer","system","dir"
"2","data","field","kind","fragment","writer","reader","token","begin","t","side","doc","io","directory","u","time","writer","data","score","span","cursor","pre","weighted","line","error","stop","method","offset","ct","merge","open","prefix","c","points","sub","font","sort","info","table","tasks","size","filter","output","lower","builder","scorers","cursor","word","id","entry","sink","snowball","source","maker","ntk","freq","u","fields","utf","buffer","ioexception","format","s","factory","score","bits","size","string","hit","term","truncated","term","weight","twos","next","flush","num","queue","under","length","term","span","phrase","length","println","norm"
"3","run","document","cur","frag","info","tokens","standard","token","tag","min","per","prhase","file","pointer","cache","per","database","src","payload","v","handler","color","reader","retval","set","returns","stream","rv","heap","ioexception","query","b","format","variants","writer","comparator","file","search","sb","dictionary","matrix","extension","code","parser","score","v","stop","tvf","map","ws","cur","org","config","consume","payload","pos","vector","read","r","directory","resolution","k","name","query","x","text","n","hits","field","zero","readers","expl","u","freq","deletes","tokens","top","apache","max","offsets","org","p","position","task","file"
"4","benchmark","index","jj","fragments","segment","token","acronym","dstream","image","size","info","thousands","segment","level","size","thread","directory","sub","end","limit","modified","position","index","append","words","boost","next","remove","j","set","term","step","stats","sqi","nbsp","type","count","row","string","min","tokens","write","upper","element","doc","lab","pattern","vectors","reader","elems","channel","cache","doc","la","skip","output","store","length","string","exception","zone","stemmer","directory","search","index","sorted","word","filter","terms","mantissa","docs","explanation","fours","ioexception","segment","used","list","software","freq","mapper","apache","positions","size","out","files"
"5","params","instantiated","state","highlight","policy","string","replace","bufpos","srnd","max","fields","attendu","infos","letter","resources","state","key","query","clauses","lab","search","score","println","expected","result","array","term","true","segment","input","fuzzy","s","logger","distance","color","fields","gen","list","append","match","column","index","text","name","nr","limit","string","term","term","entity","nr","search","string","gen","payloads","read","term","out","vowel","reader","stemming","stem","obtain","document","word","positions","hyphen","docs","queries","smallfloat","field","boost","ones","terms","buffered","index","last","distributed","similarity","position","lucene","position","len","report","doc"
"6","perf","setting","pos","token","segments","name","invalid","java","rtns","ngram","state","autres","files","levels","priority","postings","txn","custom","start","false","text","highlight","hits","string","e","next","reusable","r","level","filters","jj","eq","queries","operator","analyzer","score","segments","document","sequence","subword","size","segment","field","org","sub","u","synonyms","set","parser","h","wrap","doc","title","parse","length","state","name","x","delete","code","string","ch","ioexception","similarity","set","memory","exception","score","string","visit","segment","value","x","positions","num","ids","priority","org","array","vector","factory","pos","start","data","directory"
"7","lucene","information","nadd","num","merges","stream","stream","current","true","input","norms","avec","policy","x","map","hash","cursor","value","match","mark","end","max","out","special","stopwords","li","type","value","max","name","date","literal","num","clause","failed","code","format","analyzer","stok","max","current","store","include","document","sum","r","map","tvd","key","string","mmap","lucene","line","p","data","buffer","stream","write","c","corrupt","time","word","fsdirectory","link","wlen","terms","xml","collector","lucene","exponent","norms","norm","c","result","size","number","max","implied","size","current","queries","lo","offset","benchmark","docs"
"8","org","number","x","score","commit","analysis","reader","stream","pipe","n","document","celle","deletion","interval","ramfile","terms","je","search","exclude","r","apache","hex","string","line","o","names","start","j","factor","dir","goop","hop","name","sncf","obtain","values","name","string","stats","word","row","name","buffer","analyzer","required","false","len","position","command","tee","buffers","values","date","kind","vint","l","stored","result","length","document","ending","j","instance","td","td","debug","pattern","id","list","quoted","ioexception","similarity","tot","properties","store","tot","size","www","tf","offset","builder","key","read","stat","date"
"9","apache","terms","states","max","infos","map","streams","bufsize","error","label","processor","certaine","name","xe","ramdirectory","consumer","output","source","near","call","org","sb","args","message","reader","retrieve","set","term","segments","null","field","false","string","infix","max","doc","store","field","name","stream","shingles","directory","null","lucene","req","slice","syns","vector","string","arr","raf","apache","round","x","last","packed","value","upto","search","open","e","ends","locked","weight","open","len","cache","starts","org","simple","index","reader","pop","enumeration","ram","offset","first","copyright","distance","terms","search","first","index","run","null"
"10","log","vector","check","scorer","code","tmp","lucene","io","null","token","two","certaines","commits","acute","returns","upto","entry","scores","sub","b","last","background","system","image","analyzer","passed","input","string","compound","string","exception","limit","recall","op","lock","locale","input","selector","mem","output","permutation","last","o","child","match","var","hash","bit","object","x","avail","function","data","length","tf","current","offset","offset","step","link","cal","character","locks","docs","num","code","patterns","search","apache","unquoted","sub","scorer","v","doc","delete","queries","cell","conditions","target","info","xmlparser","tp","clone","stats","uid"
"11","step","text","jjmatched","fragmenter","index","java","analysis","column","meta","ngrams","consumer","certains","ref","ti","clean","field","jeindex","non","include","bra","post","min","ir","parse","apache","called","end","vowel","log","files","clauses","v","max","ignore","exception","string","compound","index","rate","input","positioner","fields","enumerator","e","next","b","synonym","vint","field","append","delegee","javadoc","name","scanpos","pointer","num","indexed","f","source","io","length","string","link","big","end","entries","values","top","reader","visitor","close","match","eights","freqs","wait","maximum","more","foundation","n","frequency","domutils","tree","pos","args","d"
"12","set","documents","jjnew","size","max","field","deprecated","sequences","next","front","one","ces","delete","xf","divisor","free","ioexception","strict","more","vowel","build","foreground","spell","column","standard","object","null","length","min","id","image","line","good","variant","modifier","order","infos","searcher","perf","longest","codec","names","string","exception","similarity","call","param","tvx","ii","s","access","see","append","q","code","c","index","input","suffix","b","parse","w","fslock","hq","bitmask","err","transformer","searchables","code","exp","open","set","csa","current","success","random","pop","warranties","f","ignoring","clause","sc","input","reported","path"
"13","maker","name","jjstate","string","lock","reusable","org","re","q","edge","array","cette","read","d","exc","documents","blocks","lucene","query","suffix","tools","append","num","lexical","builds","ignored","analysis","preceded","num","exists","parse","test","relevant","parameter","create","reader","del","column","run","hyphenation","settings","vectors","range","node","coord","del","stream","store","java","encoder","fsdirectory","reader","val","jjcalls","omit","wikipedia","binary","format","term","close","calendar","l","path","n","shift","array","chars","total","search","br","freq","buffer","n","transform","stream","speed","time","writing","frequency","store","element","offset","ioexception","apache","separate"
"14","tasks","map","move","end","count","ioexception","see","regexp","arg","generate","fp","combien","segments","stream","sleep","fields","transaction","param","collection","s","ant","weight","page","constructor","lucene","see","link","replace","mb","contents","operator","true","trec","make","illegal","value","generation","hits","count","filter","maximum","pointer","collator","factory","prohibited","delete","j","field","array","sup","printf","non","html","exception","delta","scanner","document","b","ends","lucene","buffer","russian","string","li","th","main","sax","time","fields","decode","doc","searcher","y","templates","flushed","possible","ioexception","licenses","minimum","target","boost","pq","b","lucene","false"
"15","config","doc","cnt","offset","optimize","standard","true","line","jj","grams","hash","contre","index","c","enumerator","num","db","q","ioexception","l","tag","caching","close","ch","analysis","interesting","lucene","o","deletions","path","wildcard","e","results","object","buffered","fieldname","check","td","elapsed","param","rows","files","equals","attribute","bucket","p","s","size","value","j","sizes","parser","props","true","df","input","fi","code","replace","writer","endings","d","create","term","arr","iter","parser","collect","q","unlimited","ensure","clause","base","iterator","pending","returned","next","result","j","param","mode","eq","current","org","yes"
"16","count","reader","stream","start","exception","hash","issues","startline","label","tokenizer","fieldable","dedans","size","xc","memory","block","jedirectory","part","slop","u","overwrite","string","text","sequences","make","iterator","text","step","use","java","clause","m","time","vals","state","index","read","changed","data","tree","list","infos","terms","apache","skip","e","group","num","ret","hr","nio","index","properties","false","out","tokenizer","info","start","set","p","set","common","locking","p","words","lucene","res","weight","boost","mask","si","result","ntz","form","auto","before","match","licensed","terms","index","w","hi","end","name","working"
"17","true","string","nfa","encoder","set","whitespace","acronyms","startcolumn","oprt","given","count","dehors","point","xd","threads","count","com","apache","o","backward","character","param","lucene","kind","hash","sets","filter","lenght","object","result","parser","stemmed","n","fuzzy","file","p","names","listener","stat","set","token","writer","compare","xmlparser","current","g","list","last","docs","cap","exception","string","reader","position","p","start","norms","s","true","org","soft","true","wait","norm","f","pos","saxexception","mid","add","f","max","append","low","actual","files","implement","add","law","num","seek","e","start","bytes","p","create"
"18","value","norms","active","analyzer","message","loader","max","j","parser","back","name","dã©sormais","write","number","ensure","pool","sleepycat","override","false","ket","idx","total","ng","parser","t","lst","org","null","info","directory","c","al","benchmark","qf","assure","sorting","version","searching","repetitions","compound","character","compound","append","parse","disjunction","backward","analyzer","read","parse","decoder","bb","cached","java","escape","stream","error","omit","string","prefix","error","code","o","failed","org","start","map","element","resolution","array","mtv","deleted","detail","ln","iter","true","per","array","required","prefix","null","parser","node","arraycopy","print","lucene"
"19","p","associated","literal","frags","p","stem","browse","buffer","queries","filter","apache","donc","list","b","used","posting","name","whose","ordered","ar","regex","filter","suggest","state","exclusion","added","apache","iras","k","chain","range","ate","qq","st","corrupt","param","n","fieldable","op","length","iterator","string","reader","dom","counting","bra","ignore","docs","sorted","map","tartarus","code","sb","source","read","action","true","unicode","rv","low","ia","result","access","lucene","l","stride","ex","greedy","clause","jvms","corrupt","doc","bit","template","length","clear","document","limitations","fuzzy","entry","node","len","buffers","prefix","src"
"20","document","set","starts","group","scheduler","tokenizer","length","object","distance","pos","left","dã¨s","current","child","hard","list","status","length","next","stem","searcher","fg","sug","str","exclusionlist","list","length","e","spec","delete","next","ize","param","leq","set","reverse","string","data","parallel","analysis","weight","extensions","hash","text","first","ket","f","index","hash","frac","program","hash","property","endpos","enable","tok","result","output","false","returns","m","charset","prefix","nbsp","array","object","source","length","name","smallest","null","clauses","f","lucene","bytes","match","less","applicable","term","pos","basic","arrays","system","stack","add"
