"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1","token","l","scorer","line","filter","jj","query","merge","field"
"2","task","cur","term","cursor","word","query","field","writer","term"
"3","buffer","pos","license","v","words","token","term","doc","file"
"4","data","kind","document","lab","token","date","span","segment","index"
"5","run","state","min","limit","stop","parse","search","thread","reader"
"6","benchmark","jj","score","r","u","ntk","score","index","doc"
"7","input","x","doc","u","bit","string","spans","commit","store"
"8","offset","zz","similarity","slice","analyzer","add","terms","directory","fields"
"9","shingle","token","instantiated","false","lower","q","lock","segments","vector"
"10","text","states","max","suffix","builder","exception","reader","info","name"
"11","size","nadd","size","ct","twos","format","doc","per","norms"
"12","stream","error","scorers","var","c","parser","weight","infos","info"
"13","start","upto","positions","call","bits","resolution","searcher","state","directory"
"14","tokens","u","match","delete","set","consume","cache","flush","skip"
"15","system","jjmatched","under","b","b","fuzzy","boost","policy","freq"
"16","stats","jjnew","software","bra","upper","la","sort","corrupt","read"
"17","len","jjstate","value","del","analysis","body","code","postings","ioexception"
"18","maker","start","queue","backward","letter","title","index","lock","document"
"19","length","model","apache","ket","fours","pattern","lucene","count","pointer"
"20","perf","move","freq","c","ones","image","source","write","segment"
