"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90"
"1","data","term","prefix","text","task","text","token","merge","pattern","column","field","l","field","utf","b","t","per","token","score","string","grouping","token","enumeration","color","index","system","task","stop","word","suffix","lock","filters","date","points","synonyms","cache","field","field","license","model","td","field","line","segment","term","doc","skip","filter","scorer","token","data","term","similarity","c","add","doc","buffer","thread","span","vector","source","doc","point","file","u","zz","index","merge","bit","query","words","resolution","error","tf","sub","query","block","offset","doc","command","doc","queue","hit","terms","reader","query","term","jj","node","file"
"2","task","document","p","fragment","stats","code","tokenizer","segments","n","matrix","norms","kind","doc","x","twos","tag","writer","min","query","sb","s","analyzer","actual","string","font","file","string","words","words","ct","factory","occur","format","begin","map","filter","reader","sort","under","table","big","name","cursor","directory","x","id","pointer","set","scorers","shingle","directory","entry","min","r","sink","maker","size","system","spans","field","values","docs","handler","extension","e","u","body","writer","bits","builder","stop","set","token","similarity","starts","weight","si","index","comparator","bucket","num","top","iterator","freq","term","term","offset","token","eq","dir"
"3","run","instantiated","k","frag","quality","wildcard","stop","segment","exception","distance","doc","jj","per","write","u","arg","postings","gram","val","length","cursor","tokens","pre","append","writer","format","name","analyzer","num","rv","ioexception","chain","string","dstream","c","map","index","fields","apache","row","nbsp","result","v","file","lower","match","output","result","nr","stream","file","cache","less","buffer","common","config","len","hits","query","store","function","score","modified","store","letter","pos","title","code","index","parser","word","link","retval","score","cache","expl","ws","term","score","ii","flush","size","sorted","term","index","field","buffer","query","details","name"
"4","file","index","tree","highlight","report","part","analyzer","size","chars","row","norm","cur","fields","bytes","fours","stream","thread","max","src","word","l","stream","idx","sb","directory","println","tasks","stopwords","dictionary","remove","obtain","disi","parse","bufpos","syns","cached","org","type","positions","search","document","fields","lab","infos","upper","matching","prox","id","score","next","ioexception","key","distances","step","w","file","length","out","payload","term","search","top","deletable","vectors","stemming","read","document","policy","set","org","max","time","parse","max","length","boost","elems","stream","hit","software","bytes","priority","next","num","docs","terms","text","ntk","root","directory"
"5","benchmark","setting","key","token","benchmark","character","standard","info","v","current","name","pos","state","out","ones","title","doc","input","sub","search","snowball","special","compare","hex","exception","args","round","t","wlen","true","path","logic","tools","good","synonym","hash","lucene","code","distributed","list","norm","analyzer","limit","index","buffer","iterator","level","reader","sum","tokens","entry","docs","pointing","ends","entity","data","read","time","weighted","name","see","hits","build","tvf","charset","l","string","index","open","element","min","code","string","min","multi","explanation","position","fields","reader","mask","ram","positions","link","doc","field","lucene","pp","la","keys","norm"
"6","params","information","sc","fragments","run","p","analysis","max","sax","permutation","fi","state","consumer","result","c","pipe","hash","size","search","character","stem","value","filtered","max","document","out","append","o","size","r","link","clause","java","recall","stemmer","clean","cache","values","software","analyzer","link","document","r","commit","range","size","payload","doc","required","reusable","database","object","grow","delete","j","line","position","println","clauses","indexed","doc","heap","inc","doc","zone","state","spell","merges","x","factory","analyzer","param","message","fuzzy","mid","value","pos","read","hits","table","size","pop","list","info","readers","org","upto","consume","arrays","ioexception"
"7","org","documents","lo","num","name","end","stream","compound","consumer","minimum","term","nadd","info","upto","x","meta","state","side","scorer","param","ar","child","enumerating","background","corrupt","msg","sb","reader","subword","value","locked","dis","simple","bufsize","character","size","apache","value","offsets","string","similarity","sorted","false","segments","include","max","last","ioexception","sub","filter","offset","parser","full","vowel","replace","body","input","args","doc","stored","javadoc","searcher","util","segment","ending","packed","word","exception","array","lucene","len","string","append","f","old","clause","buffer","field","fieldname","string","docs","local","id","list","ioexception","apache","start","parse","system","null"
"8","lucene","number","values","max","stat","entries","words","level","xml","positioner","mode","x","thread","length","pop","summary","free","n","value","source","bra","field","enumerations","min","code","n","sequence","analysis","hyphenation","j","instance","res","input","avg","prolog","manager","string","string","except","column","br","selector","u","info","collator","java","interval","hash","req","input","stream","map","init","s","diff","task","buf","searcher","near","true","non","size","reference","gen","k","buffer","html","max","arr","apache","more","cal","exception","st","hi","similarity","h","positions","collector","index","state","initialize","last","prox","open","search","end","gen","key","input"
"9","perf","text","kv","score","data","pattern","set","log","element","codec","e","check","writer","f","tot","equals","consumer","stream","custom","hyphen","ch","null","precede","foreground","nbsp","checksum","res","hash","td","vowel","locks","list","text","format","groups","remote","code","doc","licenses","decorated","align","size","slice","files","null","non","freq","lucene","coord","analysis","length","value","already","length","s","document","array","start","end","value","apache","n","overwrite","tvd","russian","current","contents","lock","disi","xmlparser","names","payload","expected","df","ref","clauses","capacity","position","index","name","deletes","doc","documents","iterator","close","queries","pool","q","freenode","string"
"10","apache","associated","res","scorer","queries","set","type","path","list","length","info","states","processor","code","v","quote","terms","ngram","li","letter","suffix","string","difference","group","color","main","stok","file","longest","term","fslock","append","f","io","nums","util","regex","param","warranties","index","factor","string","call","name","enumerator","next","levels","apache","match","null","output","ret","compared","b","string","benchmark","start","search","start","omit","org","search","java","compound","o","num","text","commit","code","filter","set","li","str","prefix","t","norm","aux","info","collect","message","thread","searchable","enable","p","norms","phrase","position","exception","na","open"
