"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95"
"1","file","term","date","b","quality","prefix","stop","gram","replace","setting","term","doc","l","si","u","id","thread","upto","field","val","suffix","line","color","term","begin","text","error","task","token","term","min","filters","ch","read","e","line","readers","filter","td","sort","payload","merge","code","document","highlight","pointer","system","term","bit","store","match","buf","x","model","string","tag","u","doc","doc","tokens","merge","query","zz","store","sb","segment","reader","jj","buffer","field","spans","lock","terms","query","index","shingle","query","zero","field","table","scorer","word","doc","buffer","size","queue","query","term","doc","license","pp","postings","builder","spans","norm"
"2","shingle","document","format","twos","name","type","analyzer","n","acronym","field","positions","field","kind","d","letter","greek","consumer","utf","name","doc","ct","cursor","hex","reader","dstream","token","font","run","next","offset","dictionary","set","s","input","r","cursor","sub","cache","cache","field","payloads","segment","index","link","fields","skip","println","lower","bits","output","similarity","cur","add","search","length","t","line","score","maker","token","thread","span","u","vector","string","file","index","token","c","source","clauses","file","freq","lucene","commit","points","weight","smallfloat","load","position","doc","index","per","position","array","max","term","df","num","apache","phrase","wlen","parser","sub","doc"
"3","gen","field","resolution","u","round","li","words","size","invalid","store","vector","per","jj","delete","acute","judgements","time","out","fields","src","rv","v","append","field","bufpos","fragment","retval","data","stream","buffer","match","id","current","file","o","lab","reader","caching","big","comparator","data","writer","exception","p","retrieve","vint","args","upper","skip","field","required","len","f","row","p","stream","v","hits","file","synonyms","count","terms","pos","result","r","segments","doc","ntk","length","values","query","directory","sorted","queries","directory","max","expl","mantissa","frequency","enable","scorers","words","field","length","start","top","field","mode","bytes","under","p","pool","element","doc","norms"
"4","matrix","instantiated","string","fours","string","regexp","set","heap","standard","indexed","terms","state","cur","del","xe","p","processor","result","value","score","remove","limit","background","index","bufsize","frag","token","perf","reusable","type","word","doc","common","ioexception","b","v","starts","wrapper","nbsp","fields","prox","info","corrupt","returns","splits","tvf","out","code","set","fi","sum","size","shift","list","res","title","cursor","docs","data","param","priority","term","read","format","delete","infos","term","la","stemming","apache","queue","name","info","apache","corrupt","recall","boost","brazilian","percent","increments","next","map","writer","start","offset","code","code","name","flush","span","key","start","exception","max","del"
"5","column","index","time","ones","sb","numeric","filter","min","true","vector","field","document","pos","counts","xf","pattern","state","offset","stream","value","true","lab","foreground","docs","io","fragments","nbsp","tasks","input","end","size","disi","w","stream","s","r","ensure","cached","align","doc","skip","segments","open","boost","traversal","freq","lucene","text","level","infos","coord","buffers","entity","command","j","pattern","e","search","config","synonym","threads","weighted","state","stored","length","directory","field","consume","zone","lucene","clause","dir","num","org","deletion","avg","explanation","exponent","words","value","nr","num","terms","block","length","score","fuzzy","ignore","size","distributed","tree","pos","node","end","position"
"6","dir","information","cal","c","format","re","token","pattern","issues","settings","offsets","writer","state","deleted","c","fast","inverter","write","string","sub","r","r","min","entry","java","start","color","benchmark","tokenizer","link","subword","reader","bra","index","k","slice","docs","benchmarker","table","score","selector","commit","stream","code","ir","last","index","field","index","vector","prohibited","max","ff","string","f","arg","lab","filter","benchmark","child","num","field","packed","fix","search","info","segment","parse","ends","search","span","ioexception","field","span","b","stats","similarity","br","similarity","ignore","skip","spell","state","len","entries","tf","clauses","processing","ram","software","sc","hash","factory","disjunction","null"
"7","current","documents","parse","x","reader","ul","reader","distance","length","omit","info","fields","nadd","inc","xc","ts","abort","bytes","data","custom","value","false","score","ioexception","line","end","expected","stats","analysis","token","longest","filter","snowball","buffer","n","false","segment","options","key","type","positions","policy","failed","param","traverse","tvd","java","null","levels","size","score","nr","array","analyzer","s","meta","var","searcher","dir","codec","instances","name","l","msg","vowel","commit","ioexception","image","ending","org","payload","factory","len","search","checksum","good","value","jvms","mlt","array","first","len","hash","b","n","min","wildcard","doc","deletes","org","lo","p","xml","start","positions"
"8","compound","number","tools","pop","line","consumes","analysis","hyphenation","acronyms","payloads","position","norms","x","t","charset","missing","threads","code","binary","lucene","j","mark","max","parser","startline","string","append","name","null","payload","hyphenation","open","ket","clone","m","var","old","clean","li","code","load","infos","create","method","contiguous","write","string","string","doc","norms","optional","index","arr","index","m","htmlparser","limit","hit","body","shingles","exceptions","reader","current","info","source","name","docs","gen","word","cache","more","path","map","term","write","size","field","exp","link","results","ioexception","enumerator","thread","size","system","minimum","clause","terms","delete","spans","eq","size","attribute","disjuncts","tp"
"9","row","text","set","tot","property","jakarta","stream","side","browse","true","index","info","states","s","xd","h","map","length","null","non","vowel","b","string","string","startcolumn","num","string","report","filter","length","param","bit","j","id","t","call","n","map","small","values","position","max","documents","term","search","format","file","include","open","name","bucket","input","character","lucene","values","pipe","p","ioexception","index","group","j","position","buffer","true","buffer","files","vectors","next","character","function","next","instance","println","field","link","n","terms","fzero","fields","state","score","suggest","postings","pos","code","f","analyzer","keep","buffered","reader","node","block","xmlparser","match","next"
"10","size","vector","local","v","java","match","lucene","word","deprecated","name","offset","stored","check","ref","lower","tfv","end","slice","map","search","term","s","highlight","cache","stream","special","message","params","lucene","set","max","result","c","bytes","c","del","multi","up","factor","locale","length","index","link","score","highlighter","length","apache","range","td","count","counting","channel","characters","add","format","summary","delete","id","line","suffix","min","lucene","num","check","s","count","directory","exception","e","see","terms","open","memory","parser","exception","j","norm","smallest","selector","reset","current","ng","fields","bytes","target","priority","range","source","docs","result","insert","lo","string","multiplier","list"
"11","permutation","terms","calendar","pos","trec","generator","stopwords","j","jira","hash","mapper","id","jjmatched","error","b","pairs","array","buffers","array","apache","string","eq","fg","object","column","tokens","sequences","string","tokens","increment","length","chain","method","offset","l","limit","ioexception","set","ndash","order","delta","doc","document","fieldable","p","prox","ii","collator","id","info","min","mmap","y","field","digits","input","b","reader","files","syns","list","weight","scanner","status","replace","index","open","true","stemmer","parser","match","fsdirectory","names","q","policy","format","reader","doing","documents","integer","target","cache","free","ioexception","debug","base","string","duplicate","block","lucene","len","end","dom","first","phrase"
"12","positioner","map","simple","eights","vals","visit","standard","hyphen","max","factories","null","local","jjnew","referenced","f","tpv","java","unicode","compressed","param","null","call","bg","null","bufline","scorer","line","lucene","org","position","tree","index","size","pointer","charset","g","field","object","center","string","lazy","merges","length","result","warm","tvx","org","o","num","fields","mask","raf","numbers","name","d","quote","slice","query","task","maximum","used","map","start","indexed","step","commits","null","goop","string","javadoc","occur","string","object","string","error","num","searcher","values","result","behavior","req","sug","count","current","len","param","slop","ignored","store","required","repeats","mask","child","tie","freq"
"13","files","associated","millisecond","csa","read","matching","apache","max","see","analyzer","false","docs","jjstate","bit","diaeresis","qrel","set","end","key","source","length","backward","original","ret","encoding","null","constructor","stat","apache","param","compound","software","result","string","y","bra","norms","digester","implementation","fieldname","count","flush","see","searcher","trav","bytes","usage","query","x","offset","fuzzy","avail","val","hits","k","matcher","false","index","org","string","exc","param","wikipedia","omit","strings","generation","file","kind","stem","non","list","obtain","j","boost","version","unigrams","append","prebuilding","set","set","more","syns","num","index","index","see","parser","filter","state","conditions","kv","text","e","breaker","pq"
"14","format","set","gmt","n","append","truncator","word","ngram","mischaracterized","offset","lucene","ioexception","move","docid","russian","judgement","fp","ch","index","org","ira","literal","text","close","system","offset","lexical","apache","ioexception","flags","input","logic","diff","length","russian","delete","cache","hash","b","param","document","write","b","search","frags","utf","document","buffer","pointer","write","minimum","sizes","bitlist","column","minimum","text","del","n","null","buf","concurrent","highlight","input","analyzed","cause","null","corrupt","q","false","string","cell","files","string","domutils","operation","output","buffer","anywhere","param","decorate","sub","hash","documents","write","end","size","parse","ir","blocks","licenses","ternary","left","filter","slop","bytes"
"15","iterator","current","second","f","array","expanded","org","string","https","info","entry","thread","stream","fake","d","locale","infos","s","length","vec","preceded","suffix","pre","value","buffersize","stream","state","sequence","reader","string","j","iterator","program","format","v","golab","mid","id","object","sorted","stores","size","count","norm","traversed","position","io","enumerator","th","input","opt","nio","c","document","number","comment","find","weight","title","columns","max","apache","tokenizer","tokenized","message","ref","close","null","true","reader","ioexception","null","document","list","snapshot","time","add","decoding","names","valid","document","f","consumer","offset","next","number","exception","use","id","limitations","cur","right","name","same","tps"
"16","single","apache","text","ntz","next","handle","stemmer","str","valid","put","set","lucene","cnt","increment","letters","curr","inverted","text","reader","strict","o","c","regex","next","bufcolumn","score","ch","step","type","prototype","stream","dis","max","handler","ch","ket","close","manager","mutex","value","selections","compound","buffered","lucene","otherwise","ti","html","regex","bitmask","segment","c","clone","ffff","query","param","equals","g","collector","exception","null","testing","search","error","del","lang","policy","extension","x","endings","cached","string","link","tokens","clause","ioexception","searchables","set","little","identified","list","size","size","posting","end","err","pop","q","set","thread","implied","start","hi","org","ordered","ref"
"17","input","factory","props","low","number","common","hash","chars","removed","similarity","apache","pointer","nfa","constructor","upsilon","content","child","writer","entry","scores","iras","slice","group","iter","buffer","max","exception","log","buffer","use","hyphenator","place","printf","exception","j","p","freq","items","valign","sorting","ret","optimize","writer","tr","true","output","writer","equals","d","omit","allow","ioe","variable","decorated","num","name","backward","lucene","reader","sentence","pri","org","action","tot","param","delete","read","c","len","index","reader","close","analyzer","factory","io","relevant","string","largest","sim","improvement","time","util","next","arraycopy","o","length","prefix","freq","segment","include","root","mid","builders","false","pos"
"18","name","e","exception","y","props","useful","string","param","remove","tf","store","hit","active","last","e","qrj","doc","documents","exception","see","replace","true","substring","key","init","fragmenter","column","org","java","li","set","array","czech","contents","step","replab","open","entry","t","reverse","lazily","message","analyzer","see","max","interval","print","terms","number","indexed","order","wrap","encoding","apache","c","e","golab","top","set","underlying","suppress","token","tok","stat","ends","n","exception","scanpos","find","code","min","exception","more","analyzer","main","p","result","xff","max","filtering","explanation","resources","info","seek","block","used","terms","interesting","wait","writing","out","tmp","null","last","first"
"19","settings","name","minute","word","n","mtv","java","pre","matches","string","freq","upto","literal","n","accented","eq","ioexception","buffer","database","whose","step","y","formatter","uid","re","param","method","count","io","instead","mi","list","k","buffered","d","true","length","filters","value","auto","current","auto","p","values","li","add","message","append","last","stream","details","method","e","help","count","truncated","snowball","link","apache","tmp","merging","positions","type","tool","term","stream","names","operator","set","doc","boost","code","text","name","low","shingles","queries","lookup","similar","skipped","matching","b","list","output","capacity","reusable","str","occurrence","buffer","governing","hi","array","document","prev","clear"
"20","rows","lucene","month","bit","logger","interpreted","tokenizer","element","host","bits","freqs","consumer","token","ensure","iota","unsorted","util","uni","list","length","lenght","bra","total","terms","available","kind","str","stok","link","source","threshold","max","tartarus","close","w","b","parallel","time","similarity","cache","result","use","false","freq","size","start","length","name","list","add","out","access","encoder","listener","padd","re","grouping","apache","lucene","number","run","filter","marked","seg","prefix","size","freq","phrase","letter","description","variants","exists","boost","e","unsupported","logger","phrase","value","considered","constructed","matchers","add","id","system","data","similarity","multi","te","waiting","copyright","k","code","c","root","src"
