file,bug,loc,bf,hcm
org::eclipse::mylyn::internal::trac::core::util::TracUtil,0,42,6,3.08906
org::eclipse::mylyn::internal::sandbox::bridge::bugs::ProgressQueryHitCollector,0,60,12,8.02984
org::eclipse::mylyn::internal::jira::core::model::filter::DateRangeFilter,0,13,6,6.56833
org::eclipse::mylyn::internal::wikitext::textile::core::phrase::EscapeTextilePhraseModifier,0,12,3,1.49003
org::eclipse::mylyn::internal::java::ui::search::JavaImplementorsProvider,0,12,3,3.17351
org::eclipse::mylyn::internal::jira::core::wsdl::beans::RemoteVersion,0,78,7,5.94514
org::eclipse::mylyn::tasklist::tests::Person,0,57,2,1.39346
org::eclipse::mylyn::internal::bugzilla::ui::actions::ViewFavoriteAction,0,16,1,0
org::eclipse::mylyn::internal::tasks::ui::actions::SynchronizeSelectedAction,0,95,29,17.9092
org::eclipse::mylyn::internal::jira::core::model::Subtask,0,10,4,4.58293
org::eclipse::mylyn::internal::tasks::core::TaskComment,0,53,3,3.39209
org::eclipse::mylyn::internal::tasks::core::TaskDataStorageManager,0,211,7,6.31013
org::eclipse::mylyn::internal::hypertext::ui::editors::WebResourceContentProvider,0,56,1,0
org::eclipse::mylyn::internal::team::ccvs::CvsActiveChangeSetProvider,0,6,3,2.8654
org::eclipse::mylyn::internal::monitor::ui::ShellLifecycleListener,0,40,7,7.50839
org::eclipse::mylyn::internal::bugzilla::core::MultiBugReportFactory,0,26,14,12.5709
org::eclipse::mylyn::internal::sandbox::ui::commands::ContextCapturePauseHandler,0,38,2,1.84703
org::eclipse::mylyn::internal::tasks::ui::editors::RepositoryTaskOutlinePage,0,81,26,22.6267
org::eclipse::mylyn::ide::ui::AbstractFocusMarkerViewAction,0,50,6,4.83045
org::eclipse::mylyn::wikitext::core::parser::markup::token::EntityReferenceReplacementToken,0,3,4,1.49003
org::eclipse::mylyn::internal::tasks::ui::editors::TaskListChangeAdapter,0,2,4,4.17741
org::eclipse::mylyn::internal::wikitext::tasks::ui::WikiTextContextStructureBridge,0,214,2,0
org::eclipse::mylyn::internal::wikitext::ui::util::css::CssParser,0,115,2,0
org::eclipse::mylyn::internal::tasks::ui::views::TaskRepositoryLabelProvider,0,57,18,14.7305
org::eclipse::mylyn::internal::bugzilla::core::BugzillaFlagMapper,0,83,4,0
org::eclipse::mylyn::internal::bugzilla::ui::editor::BugzillaPeoplePart,0,84,8,5.39677
org::eclipse::mylyn::internal::tasks::bugs::TasksBugsPlugin,0,19,8,4.83045
org::eclipse::mylyn::internal::xplanner::ui::wizard::XPlannerTaskMapping,0,6,1,0
org::eclipse::mylyn::tasks::tests::connector::MockTask,0,23,3,3.39209
org::eclipse::mylyn::internal::commons::ui::NotificationPopupColors,0,122,3,1.84703
org::eclipse::mylyn::internal::jira::core::service::web::rss::JiraRssSessionCallback,1,91,5,3.05536
org::eclipse::mylyn::zest::tests::swt::LayoutExample,0,48,2,0.903836
org::xplanner::soap::XPlanner::XPlannerHttpSender,0,14,5,5.14521
org::eclipse::mylyn::internal::pde::ui::Messages,0,3,2,0
org::eclipse::mylyn::internal::bugzilla::ui::search::BugzillaSeveritySearchSorter,0,36,5,5.5048
org::eclipse::mylyn::internal::sandbox::ui::planner::TaskActivityLabelProvider,0,115,5,4.17741
org::eclipse::mylyn::internal::tasks::core::sync::SynchronizeRepositoriesJob,0,109,16,7.5628
org::eclipse::mylyn::internal::wikitext::ui::util::OutlineItemAdapterFactory,0,9,2,0
org::eclipse::mylyn::internal::wikitext::ui::util::css::editor::CssScanner,0,6,1,0
org::eclipse::mylyn::internal::wikitext::textile::core::token::FootnoteReferenceReplacementToken,0,9,5,2.38141
org::eclipse::mylyn::internal::xplanner::ui::XPlannerClientFacade,1,146,1,0
org::eclipse::mylyn::internal::tasks::ui::dialogs::UiLegendControl,0,483,3,1.84703
org::eclipse::mylyn::internal::tasks::bugs::TaskContributorManager,0,89,9,5.63443
org::eclipse::mylyn::wikitext::confluence::core::Main,0,12,2,1.49003
org::eclipse::mylyn::internal::tasks::core::sync::Messages,0,3,2,0
org::eclipse::mylyn::internal::trac::core::TracWikiHandler,0,69,10,9.71828
org::eclipse::mylyn::internal::bugzilla::core::SaxConfigurationContentHandler,1,373,11,9.70413
org::eclipse::mylyn::internal::team::ccvs::CvsCommitWorkflowProvider,0,26,3,2.8654
org::eclipse::mylyn::examples::monitor::study::SubmitFeedbackPage,0,313,8,10.1692
org::eclipse::mylyn::internal::sandbox::bridge::bugs::BugzillaMylynSearchJob,0,57,5,4.66839
org::eclipse::mylyn::context::core::InterestComparator,0,15,7,5.99636
org::eclipse::mylyn::internal::context::ui::ContextEditorManager,1,303,14,4.88878
org::eclipse::mylyn::internal::tasks::ui::TaskHyperlink,0,27,3,1.84703
org::eclipse::mylyn::internal::wikitext::confluence::core::phrase::SimplePhraseModifier,0,3,2,1.49003
org::eclipse::mylyn::internal::sandbox::ui::planner::TaskActivityContentProvider,0,46,4,4.17741
org::eclipse::mylyn::internal::monitor::ui::CheckActivityJob,0,72,2,0
org::eclipse::mylyn::tasks::ui::TaskHyperlinkPresenter,1,89,1,0
org::eclipse::mylyn::internal::trac::core::TracClientFactory,0,27,10,11.1128
