file,V1,V2,V3,V4,V5,bug,loc,bf,hcm
org::eclipse::mylyn::internal::trac::core::client::TracXmlRpcClient,5.209486153,1.098612289,5.837730447,0,8.253488028,3,6.562444094,9,3.83471
org::eclipse::mylyn::commons::net::HtmlStreamTokenizer,0,2.302585093,0,0,7.982074875,0,5.686975356,1,0
org::eclipse::mylyn::internal::trac::core::client::TracWebClient,0,3.33220451,4.875197323,0,7.981391582,0,6.317164687,8,3.83471
org::eclipse::mylyn::internal::bugzilla::ui::search::BugzillaSearchPage,2.079441542,6.419994928,6.386879319,8.534640105,7.650644551,2,7.278628942,87,38.7367
org::eclipse::mylyn::internal::provisional::commons::soap::CommonsHttpSender,6.66440902,0,5.446737372,0,7.635786861,0,6.338594078,1,0
org::eclipse::mylyn::internal::bugzilla::core::SaxConfigurationContentHandler,1.791759469,0,0,0,7.593877845,1,5.924255797,11,9.70413
org::eclipse::mylyn::commons::net::WebUtil,4.919980926,0,6.617402978,0,7.432483808,0,5.966146739,1,0
org::eclipse::mylyn::commons::net::HtmlTag,0,2.197224577,0,3.044522438,7.205635176,0,5.023880521,1,0
org::eclipse::mylyn::internal::trac::ui::TracHyperlinkUtil,0,1.609437912,3.526360525,2.63905733,7.094234846,0,5.342334252,20,16.1305
org::eclipse::mylyn::internal::provisional::commons::ui::CommonImages,0,4.077537444,2.890371758,5.521460918,7.075808864,2,4.804021045,9,8.12841
org::eclipse::mylyn::internal::tasks::ui::util::TasksUiExtensionReader,5.783825182,3.912023005,6.177944114,4.890349128,6.963189986,1,5.683579767,46,27.4251
org::eclipse::mylyn::internal::trac::core::TracTaskDataHandler,0,7.240649694,5.846438775,2.48490665,6.955592608,2,5.991464547,52,25.5639
org::eclipse::mylyn::internal::bugzilla::ui::tasklist::StackTrace,0,0,1.098612289,0,6.942156706,0,4.905274778,6,6.86328
org::eclipse::mylyn::internal::bugzilla::core::BugzillaCorePlugin,4.248495242,2.995732274,5.568344504,0,6.881411304,3,5.552959585,31,22.1164
org::eclipse::mylyn::internal::monitor::usage::wizards::UsageSubmissionWizard,5.33753808,0,7.068172,5.686975356,6.752270376,0,6.269096284,16,13.8586
org::eclipse::mylyn::internal::web::tasks::WebRepositoryConnector,0,4.060443011,7.428927195,0,6.701960366,0,6.126869184,44,14.6318
org::eclipse::mylyn::internal::monitor::usage::InteractionEventLogger,6.11146734,0.693147181,1.791759469,0,6.65415252,0,5.517452896,22,18.8024
org::eclipse::mylyn::internal::trac::core::util::TracHttpClientTransportFactory,3.871201011,0,2.63905733,0,6.647688374,0,2.995732274,22,18.8264
org::eclipse::mylyn::internal::trac::core::TracRepositoryConnector,0.693147181,5.883322388,6.875232087,0,6.59441346,1,6.115892125,75,31.8183
org::eclipse::mylyn::internal::commons::core::ZipFileUtil,2.079441542,0,0,0,6.579251212,1,4.927253685,6,3.32672
org::eclipse::mylyn::internal::trac::core::client::AbstractTracClient,1.609437912,0,4.521788577,0,6.525029658,1,4.672828834,6,3.08906
org::eclipse::mylyn::internal::tasks::core::externalization::TaskListExternalizer,5.18178355,0,5.948034989,0,6.516193076,0,5.365976015,19,6.31013
org::eclipse::mylyn::internal::commons::net::TimeoutInputStream,4.983606622,1.609437912,0,2.708050201,6.50578406,0,5.327876169,1,0
org::eclipse::mylyn::internal::context::core::SaxContextWriter,5.805134969,0,0,0,6.469250317,1,4.094344562,18,16.189
org::eclipse::mylyn::internal::bugzilla::core::SaxMultiBugReportContentHandler,0,7.224753406,4.691347882,0,6.456769656,1,6.261491684,35,15.5602
org::eclipse::mylyn::internal::bugzilla::core::BugzillaRepositoryConnector,1.791759469,6.255750042,7.013915475,0,6.418364936,0,6.035481433,108,32.9492
org::eclipse::mylyn::internal::bugzilla::core::history::BugzillaTaskHistoryParser,2.079441542,4.442651256,2.197224577,0,6.415096959,0,5.093750201,10,11.1987
org::eclipse::mylyn::context::tests::support::FileTool,2.708050201,0,0,0,6.415096959,0,4.86753445,4,3.40309
org::eclipse::mylyn::internal::context::ui::HighlighterImageDescriptor,0,0,0,5.814130532,6.411818268,0,5.062595033,5,5.25012
org::eclipse::mylyn::tasks::ui::TasksUiImages,3.583518938,0,4.394449155,5.501258211,6.411818268,0,3.871201011,10,5.59876
org::eclipse::mylyn::tasks::ui::TasksUi,3.583518938,0,4.521788577,5.455321115,6.411818268,0,3.091042453,20,6.99647
org::eclipse::mylyn::monitor::reports::tests::FileTool,2.890371758,0,0,0,6.410174882,0,4.852030264,6,7.71893
org::eclipse::mylyn::internal::bugzilla::core::history::AttachmentEvent,2.397895273,2.772588722,0,0,6.401917197,0,4.795790546,6,8.32124
