"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","bug","loc","bf","hcm"
"1",0,0,4.74493212836325,0,0,0,0,4.12713438504509,2.07944154167984,2.30258509299405,0,0,0,0,0,0,0,3.78418963391826,0,0,0,0,0,0,0,0.693147180559945,0,2.83321334405622,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19722457733622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,1.09861228866811,0,0,0,3.76120011569356,6,3.08906
"2",0,0,0,2.70805020110221,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0.693147180559945,1.38629436111989,0,0,1.09861228866811,0.693147180559945,0,0,4.02535169073515,0,0,2.56494935746154,3,3.17351
"3",0,0,3.43398720448515,0,0,4.71849887129509,0,0,0,0,0,0,0,0.693147180559945,1.6094379124341,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,1.38629436111989,3.61091791264422,0,0,0,0,0,0,0,0,0,1.09861228866811,1.38629436111989,4.77912349311153,5.65948221575962,2.07944154167984,0,0,1.79175946922805,0,0,1.6094379124341,1.09861228866811,0,0,0,0,0,1.6094379124341,0,4.56434819146784,29,17.9092
"4",0,0,1.09861228866811,0,0,1.09861228866811,4.4188406077966,0,0,3.43398720448515,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23410650459726,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09861228866811,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,3.98898404656427,3,3.39209
"5",0,0,0,0,0,0,0,0.693147180559945,0,2.484906649788,0,0,4.29045944114839,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,1.94591014905531,3,2.8654
"6",1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,2.56494935746154,0,0,0.693147180559945,0,0,0,0,1.09861228866811,0,0.693147180559945,2.07944154167984,0,0,2.484906649788,0,0,0,0,3.73766961828337,0,4.77068462446567,0,0,0,0,2.99573227355399,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,3.71357206670431,7,7.50839
"7",0,0,3.98898404656427,0,2.39789527279837,0,1.94591014905531,0.693147180559945,0,0,4.14313472639153,0,0,0,3.95124371858143,0,0,0,0,0,0,0,0,0,0,0.693147180559945,3.93182563272433,0,0,0,0,0,0,0,0,0,0,2.19722457733622,0,0,0.693147180559945,0,1.09861228866811,0,0,0,0,2.30258509299405,1.6094379124341,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,3.29583686600433,14,12.5709
"8",0,0,0,0,0,0,0.693147180559945,0,0,3.49650756146648,0,0,0,0,1.09861228866811,0,0,0,0,0.693147180559945,0,0,0,1.38629436111989,0,0,0,0,0,0,0,4.45434729625351,0,4.7361984483945,0,0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77258872223978,0,0,0,0,0,0,0,0,2.07944154167984,0,3.66356164612965,2,1.84703
"9",0,0,0.693147180559945,4.11087386417331,0.693147180559945,3.80666248977032,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63905732961526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38629436111989,0,1.38629436111989,0,5.03043792139244,0,0,0.693147180559945,0,0,0.693147180559945,0,0,0,0,4.59511985013459,0,0,0,0,0,0,0,0,0,0,3.93182563272433,6,4.83045
"10",1.09861228866811,0,0,0,0,0,0,0,0,2.484906649788,0,0,1.6094379124341,0,0.693147180559945,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79175946922805,0,0,0,0,0.693147180559945,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,2.89037175789616,0,1.09861228866811,4,4.17741
"11",0.693147180559945,0,1.38629436111989,0,1.6094379124341,2.484906649788,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,2.07944154167984,0,0,0,1.79175946922805,0,1.6094379124341,0,0,3.93182563272433,0.693147180559945,0,0,0,0,0,4.43081679884331,0,0,0,0,0,0,0,0,0,0,0,0,1.79175946922805,0,0,0,0,3.89182029811063,0,0,0,1.6094379124341,0,0,1.09861228866811,0,0,0,4.06044301054642,18,14.7305
"12",0,0,0,0,0,0,5.46383180502561,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09104245335832,0,0,0,0,0,3.61091791264422,0,0,1.09861228866811,0,0,0,0,0,0,0,2.83321334405622,0,0,3.17805383034795,0,0.693147180559945,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,3.85014760171006,0,0,1.79175946922805,0,0,0,0,0,0,4.43081679884331,4,0
