"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","bug","loc","bf","hcm"
"1",0,0,0,0,0,0,0,2.99573227355399,0,0,0,0,0,0.693147180559945,0,1.09861228866811,0,0,0,0,0,0,0,1.94591014905531,0,0,0,0,0,0,0,0,0,1.6094379124341,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76120011569356,0.693147180559945,3.68887945411394,0,0,0,4.45434729625351,2.63905732961526,0,0,3.13549421592915,0,0,0,0,0.693147180559945,3.13549421592915,1.94591014905531,0,0,0,3.76120011569356,6,3.08906
"2",0,0,0,0,4.18965474202643,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,2.30258509299405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09861228866811,0,0,0,0.693147180559945,0,0.693147180559945,0,0,0,2.56494935746154,3,3.17351
"3",0,0,0,0.693147180559945,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,3.73766961828337,0,0,0,0,0,0,0,3.8286413964891,0,0,3.71357206670431,0,0,2.63905732961526,0,0,0,0,2.19722457733622,0,4.20469261939097,0,0,0.693147180559945,0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,5.92958914338989,2.07944154167984,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0.693147180559945,0,2.70805020110221,0,4.56434819146784,29,17.9092
"4",0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,1.09861228866811,2.484906649788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,4.48863636973214,0,0,0,0,0,0,0,0,0,0,0,4.44265125649032,0,0,0,0,0,0,3.98898404656427,3,3.39209
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.43081679884331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79175946922805,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,1.94591014905531,3,2.8654
"6",1.09861228866811,0,0,0,0,0.693147180559945,0,0,0,0,1.6094379124341,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,4.74493212836325,0,0,0,0,0,0,0,0,0,3.29583686600433,0,0,0,0,4.17438726989564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09861228866811,0,0,3.71357206670431,7,7.50839
"7",0,0,0,1.09861228866811,0,0,0,0.693147180559945,0,0.693147180559945,3.93182563272433,0,0,0,0,0,0,0,0,0,0,0,1.94591014905531,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3322045101752,0,0,0,0,0,0,3.8286413964891,2.63905732961526,0,3.25809653802148,0,0,2.19722457733622,0,0,4.23410650459726,0.693147180559945,2.56494935746154,0,3.29583686600433,14,12.5709
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,1.09861228866811,0,0,0,1.09861228866811,4.52178857704904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09104245335832,0,0,1.94591014905531,0,0,0,1.09861228866811,0,0,0,2.07944154167984,0,0,0,0,0,0,0,0,0,4.86753445045558,0,3.66356164612965,2,1.84703
"9",0,0.693147180559945,0,0.693147180559945,3.52636052461616,0,0,0,0,0,0,5.11799381241676,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17438726989564,0,0,0,0.693147180559945,0,1.94591014905531,0,4.48863636973214,1.09861228866811,0.693147180559945,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,2.56494935746154,0,0,0,0,0,0,0,0,0,0,0,3.93182563272433,6,4.83045
"10",1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,3.13549421592915,0,0,0,0.693147180559945,0,1.38629436111989,0,0,0,0,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6094379124341,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,1.94591014905531,0,0,0,0,0,0,0,0,0,1.09861228866811,4,4.17741
