"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","bug","loc","bf","hcm"
"1",0,0,0,0,0,0,0,0,4.58496747867057,0,0,0,0,0,0,0,4.06044301054642,0,0,0,0,0,0,0,1.09861228866811,0,0,0,0,4.00733318523247,0,0,0,0,0,2.39789527279837,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,2.99573227355399,0.693147180559945,0,0,0,0,0,0,0,0.693147180559945,2.99573227355399,0,0,0,0,3.76120011569356,6,3.08906
"2",0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07944154167984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13549421592915,0,0,1.94591014905531,0,0,0,0,1.94591014905531,0,0,0,0,0,0,3.55534806148941,0,0,0,0,1.38629436111989,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0,0,2.56494935746154,3,3.17351
"3",0,0,0,0,0,0,0,0,2.63905732961526,0,0,0,0,1.94591014905531,2.77258872223978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,1.09861228866811,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,5.04342511691925,5.61312810638807,0.693147180559945,1.79175946922805,0,0,0,0,0,0,0,0,1.09861228866811,0,0,0,0.693147180559945,0,1.38629436111989,0,4.94875989037817,0,4.56434819146784,29,17.9092
"4",0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85014760171006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,4.02535169073515,4.40671924726425,1.6094379124341,0,0,0,0,0,0,0,0,0,0,3.98898404656427,3,3.39209
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39444915467244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0.693147180559945,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6094379124341,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,1.94591014905531,3,2.8654
"6",0.693147180559945,0,0,0,4.53259949315326,0,0,1.09861228866811,0,2.99573227355399,3.80666248977032,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,3.55534806148941,0,2.19722457733622,0.693147180559945,0,0,0,0,0,2.39789527279837,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71357206670431,7,7.50839
"7",0,0,3.13549421592915,0,0,0,0,0,0,0,0,0,0,1.09861228866811,0.693147180559945,0,3.93182563272433,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,4.48863636973214,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79175946922805,0,0,0,2.99573227355399,0,0,0,0,1.79175946922805,0,0,0,0,0.693147180559945,0,1.38629436111989,0,0,0,0,0,4.11087386417331,0,0,0,3.29583686600433,14,12.5709
"8",0,0,1.38629436111989,0,3.13549421592915,0,0,0,0,0,0,0,0,0,0,4.68213122712422,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,1.09861228866811,0,0,0,0.693147180559945,1.79175946922805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04452243772342,4.34380542185368,0,1.38629436111989,0,0,0,0,3.04452243772342,0,3.66356164612965,2,1.84703
"9",0,0,0,0,0,4.46590811865458,0,0,0,0,1.94591014905531,0,2.83321334405622,0,1.94591014905531,0,1.6094379124341,0,0,0,0.693147180559945,0,0,0,0,1.79175946922805,2.94443897916644,0,0,0,1.09861228866811,0,0,0,0,0.693147180559945,0,0,0,0,0,5.34710753071747,0,0,0.693147180559945,0,0,1.94591014905531,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,2.56494935746154,0,3.93182563272433,6,4.83045
"10",0.693147180559945,0,0,0,0,0,0,0,0.693147180559945,0,0,0,1.6094379124341,0,0,1.79175946922805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77258872223978,0,0,0,0,2.89037175789616,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09861228866811,4,4.17741
"11",0.693147180559945,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,2.484906649788,0,0,0,0,0,3.40119738166216,0,0,1.38629436111989,0,0,1.09861228866811,0,0,0,0,0.693147180559945,0,0,0,0,0,0,4.27666611901606,0,0,0,3.13549421592915,3.58351893845611,0,0,0,0,0,0,1.38629436111989,0,0,1.6094379124341,0,0,2.94443897916644,0,0,0,1.38629436111989,0,0,0,0,0,0,0.693147180559945,0,0.693147180559945,0,0,0,2.30258509299405,0,0,0,0,0,0,2.70805020110221,0,4.06044301054642,18,14.7305
"12",0,0,0,3.76120011569356,0,0,0,0,3.04452243772342,0,0,0.693147180559945,0,0,0,0,0,0,0,0,3.36729582998647,0,0,0,0,1.09861228866811,0,1.09861228866811,0,0,0,3.58351893845611,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0.693147180559945,0,0,0,0,1.38629436111989,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0,3.52636052461616,5.37063802812766,0,0,0,0,0,0,0,0,0,0,0,4.43081679884331,4,0
"13",1.09861228866811,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,1.38629436111989,0,0,0,0,0,6.72383244082121,3.49650756146648,0,0,0,0,1.79175946922805,0.693147180559945,0,0,0,3.61091791264422,0,0,0,0.693147180559945,0.693147180559945,3.2188758248682,0,0,0,0,0,0,0,0,0,0,1.09861228866811,0,0,1.09861228866811,0,0.693147180559945,0,0,0,2.77258872223978,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0.693147180559945,1.94591014905531,0,0,0,0,0,4.44265125649032,8,5.39677
"14",0,0,0,0,0,0,0,2.07944154167984,0.693147180559945,0,3.98898404656427,0,0,0,0,0,0,0,0,0,2.30258509299405,0,0,0,0,3.40119738166216,0,3.63758615972639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38629436111989,0,0,0,0,0,0,0,3.52636052461616,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99573227355399,8,4.83045
