"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","bug","loc","bf","hcm"
"1",0,0,0,0,0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,1.6094379124341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78418963391826,0,0,2.89037175789616,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3322045101752,0,0,0,0,1.6094379124341,4.98360662170834,2.19722457733622,0,2.30258509299405,0,0,0,0,0,1.38629436111989,0,0.693147180559945,0,0,0,3.76120011569356,6,3.08906
"2",0,0,0,0.693147180559945,3.61091791264422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39789527279837,0,0,0,0,0,0,0,1.94591014905531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94443897916644,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19722457733622,0,0,0,0,0,0.693147180559945,0,0,0,0,2.56494935746154,3,3.17351
"3",0,0,4.83628190695148,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0.693147180559945,0,0,0,0,0,0,0.693147180559945,0,0,3.58351893845611,0,0,0,0,0,0,0,0,0,0,0,1.09861228866811,1.09861228866811,0,2.07944154167984,0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,3.52636052461616,0,0,3.13549421592915,5.52545293913178,4.61512051684126,2.99573227355399,0,0,0,0.693147180559945,0,2.56494935746154,0,0,0,0,0.693147180559945,0.693147180559945,0,0,0.693147180559945,0,0.693147180559945,0,0,0,4.56434819146784,29,17.9092
"4",0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,3.66356164612965,0.693147180559945,0,0.693147180559945,0,0,0,0,0,0,0,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,1.09861228866811,0,0.693147180559945,0.693147180559945,0,0,0,0.693147180559945,4.35670882668959,0,1.79175946922805,0,0,2.89037175789616,0,0,0,0,3.68887945411394,0,0,0,0,0,0,0,0,0,0,0,0,3.98898404656427,3,3.39209
"5",0,0,2.484906649788,0,0,0,0,2.19722457733622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04452243772342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91202300542815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,1.94591014905531,3,2.8654
"6",1.09861228866811,4.67282883446191,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,1.6094379124341,0,0,2.19722457733622,0,0,0.693147180559945,1.94591014905531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66356164612965,0.693147180559945,0,0,0,0,0,0,0,0,0,3.66356164612965,0,0,0,1.79175946922805,1.94591014905531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71357206670431,7,7.50839
"7",2.70805020110221,0,0,1.94591014905531,0,0.693147180559945,3.95124371858143,0.693147180559945,0,0,0,0,0,0,0,1.09861228866811,0,2.83321334405622,0,3.09104245335832,0,3.66356164612965,0,0,1.6094379124341,0,0,0,0,0,0,0,0,0,0,2.39789527279837,0,0,0,0,1.79175946922805,0,0,0,0,0,0,0.693147180559945,0,0.693147180559945,0.693147180559945,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,1.38629436111989,0,0,0,0,0,0,0,2.484906649788,3.89182029811063,0,0,0,1.6094379124341,0,0,0,0.693147180559945,0,3.04452243772342,0,0,0,3.29583686600433,14,12.5709
"8",0,0,1.09861228866811,0,0,4.66343909411207,0,0,0,0,0,0,0,0,0.693147180559945,1.38629436111989,0,0,0,0,0,0,0,3.8286413964891,2.484906649788,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,4.24849524204936,0,1.09861228866811,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,2.07944154167984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.70805020110221,0,3.66356164612965,2,1.84703
"9",1.38629436111989,0,0,0,2.30258509299405,4.64439089914137,0,1.09861228866811,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,4.74493212836325,0,0,2.83321334405622,0,0,0,0,0,0,0.693147180559945,3.04452243772342,0,3.09104245335832,0,0,0,0,0,0,2.39789527279837,0,4.15888308335967,0,0,0,0,0,0,1.6094379124341,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94591014905531,0,1.6094379124341,0,0,0,0,0,0,0,0,0,3.93182563272433,6,4.83045
"10",1.09861228866811,0,0,0,0,0,0,1.09861228866811,0,0.693147180559945,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,2.19722457733622,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30258509299405,0,0,0,0,0,0,0,0,1.09861228866811,0,0,2.07944154167984,1.38629436111989,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,2.07944154167984,0,1.09861228866811,4,4.17741
"11",0,0.693147180559945,3.25809653802148,0,0,0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,0,4.38202663467388,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,2.07944154167984,0,0,0,1.38629436111989,1.09861228866811,3.68887945411394,0,0,0,0,0,0,0,0,0,0,0,0,1.09861228866811,0,1.6094379124341,0,0,0,0,0,0,0,0,3.55534806148941,0,3.40119738166216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,4.06044301054642,18,14.7305
"12",0,0,0,2.63905732961526,0,0,0,0,0,0,0,0,0,0,0,0,0,5.52146091786225,0,1.09861228866811,0,4.18965474202643,0,0,0,0,1.09861228866811,0,0,0.693147180559945,1.94591014905531,0,0.693147180559945,0.693147180559945,0,0,0,0,0,0,2.30258509299405,0,0,0,0,0,0,2.99573227355399,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,2.56494935746154,0,0,0,0,0,0,0,0,0,0,1.79175946922805,0,0,0,0,0,0,0,0,0,0,0,4.43081679884331,4,0
"13",0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,3.68887945411394,0,0,0,0,4.04305126783455,4.29045944114839,0,0,1.09861228866811,0,0,0,1.09861228866811,3.17805383034795,0,0,4.83628190695148,0,0.693147180559945,0,0,0,0,0,0.693147180559945,0,0,0,3.17805383034795,5.8171111599632,5.5683445037611,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,2.484906649788,0,0,0,0,2.39789527279837,0,0,0,0,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.44265125649032,8,5.39677
"14",0,0,3.71357206670431,0,0.693147180559945,0,0,1.09861228866811,0,3.09104245335832,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,3.09104245335832,1.6094379124341,0.693147180559945,0,0,2.30258509299405,1.09861228866811,0,0,0,0,0.693147180559945,0,0,0,1.09861228866811,0,0,0,0,2.56494935746154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85014760171006,0,0,2.19722457733622,0,0,0,0,0,0,0,0,0,0,2.99573227355399,8,4.83045
"15",0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,1.09861228866811,0,0,0,0,0,2.07944154167984,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,3.04452243772342,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0.693147180559945,0,3.87120101090789,0,1.94591014905531,0,0,0,0,0,0.693147180559945,2.39789527279837,0,0,0,0,0,0,0,0,0,0,0,0,3.17805383034795,3,3.39209
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0.693147180559945,1.79175946922805,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,4.55387689160054,0,0,0,6.18208490671663,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.81218435537242,3,1.84703
