"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1","action","trac","editor","task","repository","context","swt","task","file","element"
"2","viewer","monitor","viewer","attribute","task","event","layout","tasks","nls","context"
"3","ui","client","part","date","url","interaction","composite","ui","1","node"
"4","filter","ticket","ui","data","connector","listener","grid","itask","non","bridge"
"5","view","exception","selection","bugzilla","string","monitor","button","repository","stream","object"
"6","text","http","action","value","page","usage","label","action","image","provider"
"7","target","iprogress","page","calendar","query","working","text","container","tag","handle"
"8","messages","stream","listener","time","bugzilla","handle","data","category","string","core"
"9","backup","version","event","itask","tasks","user","selection","list","token","extension"
"10","preference","wiki","tree","comment","proposal","delta","set","connector","state","resource"
"11","descriptor","method","org","mapper","template","activity","color","manager","line","iinteraction"
"12","hyperlink","ioexception","refresh","string","kind","kind","control","eclipse","zip","resources"
"13","file","request","control","repository","proxy","change","table","menu","url","project"
"14","directory","host","eclipse","attributes","settings","id","dialog","core","offset","search"
"15","eclipse","core","viewers","week","editor","interest","width","org","descriptor","ui"
"16","jface","configuration","form","element","password","events","widgets","view","output","plugin"
"17","source","apache","menu","day","property","file","image","mylyn","name","iresource"
"18","delete","error","input","range","web","active","fill","job","xml","java"
"19","selection","result","iworkbench","meta","id","num","toolkit","selection","buffer","structure"
"20","item","e","jface","end","credentials","window","group","working","attachment","elements"
