"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1","context","search","part","attribute","action","editor","string","page","event","layout","color","task","file","trac","viewer"
"2","element","query","perspective","task","selection","task","nls","wizard","working","swt","proposal","repository","image","client","provider"
"3","node","collector","view","data","date","attribute","bugzilla","job","interaction","composite","image","tasks","stream","repository","tree"
"4","bridge","user","window","element","menu","toolkit","non","ui","listener","grid","bounds","connector","descriptor","http","element"
"5","handle","summary","ioexception","handler","activity","date","1","attachment","context","button","shell","itask","zip","ticket","filter"
"6","ui","id","execution","attributes","calendar","form","tag","dialog","change","data","highlighter","query","hyperlink","proxy","object"
"7","editor","report","exception","mapper","task","composite","sb","monitor","handle","text","swt","container","offset","url","viewers"
"8","iinteraction","field","stream","value","ui","comment","append","browser","set","label","y","core","non","credentials","view"
"9","object","usage","action","meta","range","section","extension","eclipse","delta","set","gc","url","output","password","jface"
"10","core","num","delete","bugzilla","time","part","value","open","kind","selection","width","mylyn","nls","monitor","sort"
"11","plugin","list","monitor","repository","week","control","put","usage","activity","dialog","x","ui","1","string","refresh"
"12","part","filter","service","key","tasks","data","character","org","sets","table","display","data","line","exception","menu"
"13","structure","group","method","attachment","scheduled","tasks","name","file","events","page","height","category","entry","type","eclipse"
"14","java","integer","handler","string","day","priority","token","editor","manager","control","point","kind","url","auth","resources"
"15","interest","string","bytes","template","manager","editors","state","selection","date","fill","notification","irepository","text","host","sorter"
"16","type","view","item","constants","active","attachment","type","wiki","interest","widgets","size","eclipse","gif","authentication","project"
"17","eclipse","map","iworkbench","name","set","value","comment","window","iworking","combo","current","list","region","version","column"
"18","ijava","selections","interrupted","itask","jface","model","language","shell","history","parent","rgb","manager","io","request","parent"
"19","store","test","close","type","start","create","prefix","source","active","container","gradient","internal","create","method","ui"
"20","jdt","name","header","root","actions","summary","bundle","status","listeners","selected","0","org","m","property","label"
