"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1","image","proxy","search","working","editor","action","file","editor","non","repository","user","context","swt","swt","date","task","hyperlink","attribute","trac","element"
"2","descriptor","http","java","viewer","page","menu","stream","composite","1","task","usage","event","layout","color","task","tasks","text","task","string","object"
"3","attachment","property","proposal","action","part","task","monitor","layout","nls","connector","event","interaction","grid","image","container","ui","offset","data","extension","context"
"4","non","credentials","context","set","ui","selection","zip","toolkit","sb","tasks","highlighter","handle","button","shell","activity","action","url","value","page","node"
"5","images","password","provider","filter","change","view","ioexception","swt","tag","url","num","listener","composite","width","calendar","selection","line","date","ticket","bridge"
"6","nls","method","ui","view","monitor","viewer","output","table","client","data","interaction","element","data","bounds","time","itask","region","attributes","name","provider"
"7","1","auth","ijava","part","input","manager","input","text","append","core","id","kind","selection","y","scheduled","eclipse","m","element","wiki","viewer"
"8","gif","request","jdt","sets","team","tree","xml","section","value","job","collector","iinteraction","text","display","tasks","dialog","pattern","string","type","handle"
"9","create","host","element","perspective","plugin","drop","io","grid","token","query","integer","interest","page","height","itask","org","matcher","mapper","search","resources"
"10","common","authentication","result","workbench","preference","list","error","form","string","kind","report","node","dialog","gc","week","open","ihyperlink","bugzilla","core","core"
"11","overlay","message","type","listener","ieditor","event","exception","control","put","monitor","summary","activity","set","mouse","end","internal","task","key","extensions","tree"
"12","tool","url","content","ui","bugzilla","tasks","write","data","version","repositories","color","core","label","point","range","window","hyperlinks","state","client","resource"
"13","name","repository","plugin","iworking","task","item","e","label","character","status","view","structure","settings","x","day","jface","viewer","meta","exception","project"
"14","registry","apache","bridge","selection","template","sort","read","column","monitor","itask","map","identifier","search","data","start","mylyn","prefix","comment","result","iinteraction"
"15","t","user","notification","window","editors","refresh","entry","viewer","html","page","selections","listeners","combo","composite","delta","category","resource","attachment","bundle","iresource"
"16","context","login","eclipse","id","iworkbench","jface","files","create","tokenizer","manager","history","delta","selected","layout","hour","query","length","itask","point","viewers"
"17","icon","encoding","core","active","active","swt","writer","set","configuration","exception","events","monitor","wizard","selection","cal","object","repository","name","messages","eclipse"
"18","target","socket","group","focus","window","listener","close","browser","length","istatus","users","scaling","group","area","set","shell","jface","type","iextension","structure"
"19","url","port","org","iworkbench","workbench","category","path","hyperlink","bugzilla","runtime","count","manager","query","action","format","list","c","handler","id","parent"
"20","base","string","store","manager","eclipse","selected","bytes","task","s","error","list","window","container","size","elapsed","view","start","repository","iconfiguration","plugin"
