"","V1","V2","V3","V4"
"1","context","task","swt","task"
"2","file","tasks","layout","attribute"
"3","interaction","editor","composite","repository"
"4","handle","action","grid","string"
"5","monitor","ui","button","data"
"6","node","itask","page","url"
"7","ui","date","selection","trac"
"8","bridge","toolkit","set","nls"
"9","core","container","table","non"
"10","iinteraction","menu","working","bugzilla"
"11","exception","repository","dialog","1"
"12","event","calendar","data","connector"
"13","stream","category","label","query"
"14","part","attribute","wizard","attributes"
"15","interest","activity","text","version"
"16","element","org","shell","exception"
"17","listener","selection","color","value"
"18","structure","part","filter","attachment"
"19","java","scheduled","widgets","ticket"
"20","object","eclipse","search","type"
