"","V1","V2","V3","V4","V5"
"1","context","task","task","swt","trac"
"2","ui","attribute","repository","action","file"
"3","element","date","tasks","selection","nls"
"4","handle","editor","connector","layout","non"
"5","node","data","url","ui","1"
"6","interaction","toolkit","query","composite","stream"
"7","bridge","comment","monitor","grid","string"
"8","viewer","activity","user","dialog","bugzilla"
"9","part","calendar","data","button","ticket"
"10","iinteraction","itask","itask","menu","client"
"11","event","composite","core","viewer","name"
"12","object","tasks","proxy","tasks","version"
"13","interest","time","job","task","exception"
"14","listener","value","usage","wizard","tag"
"15","provider","scheduled","kind","set","zip"
"16","core","bugzilla","collector","jface","ioexception"
"17","structure","form","container","text","append"
"18","eclipse","week","summary","image","xml"
"19","org","range","string","control","attribute"
"20","plugin","day","property","label","output"
