"","V1","V2","V3","V4","V5","V6"
"1","context","action","attribute","swt","task","file"
"2","element","working","task","layout","repository","trac"
"3","node","listener","editor","composite","tasks","non"
"4","handle","activity","data","grid","itask","nls"
"5","object","ui","repository","button","connector","stream"
"6","bridge","event","bugzilla","selection","ui","1"
"7","viewer","selection","toolkit","label","container","string"
"8","interaction","date","comment","table","action","url"
"9","ui","preference","attachment","color","core","exception"
"10","part","time","value","text","category","name"
"11","iinteraction","calendar","form","set","query","repository"
"12","core","set","mapper","data","mylyn","http"
"13","interest","window","string","widgets","eclipse","ticket"
"14","view","active","attributes","dialog","url","proxy"
"15","event","change","date","settings","job","tag"
"16","structure","dialog","tasks","fill","scheduled","type"
"17","provider","workbench","type","column","internal","client"
"18","editor","end","composite","control","irepository","ioexception"
"19","resources","week","meta","width","org","version"
"20","eclipse","day","connector","group","view","credentials"
