"","V1","V2","V3","V4","V5","V6","V7"
"1","viewer","file","attribute","swt","context","task","trac"
"2","context","monitor","task","layout","interaction","repository","string"
"3","ui","stream","editor","composite","event","tasks","nls"
"4","action","job","data","selection","listener","connector","non"
"5","object","usage","date","grid","preference","itask","1"
"6","element","exception","comment","action","color","url","url"
"7","part","zip","bugzilla","text","window","container","client"
"8","bridge","core","value","button","element","query","name"
"9","org","event","toolkit","dialog","iinteraction","ui","http"
"10","search","error","mapper","set","store","core","repository"
"11","eclipse","output","calendar","page","handle","date","ticket"
"12","editor","handler","attachment","menu","proposal","category","type"
"13","provider","path","attributes","control","interest","manager","proxy"
"14","filter","ioexception","meta","label","image","irepository","value"
"15","view","collector","time","viewer","activity","kind","version"
"16","node","user","day","widgets","highlighter","scheduled","tag"
"17","selection","write","form","ui","delta","data","token"
"18","resource","io","type","wizard","point","mylyn","credentials"
"19","core","status","string","table","manager","activity","bugzilla"
"20","viewers","writer","handler","working","kind","eclipse","sb"
