"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70"
"1","group","event","repository","preference","selection","repository","date","trac","page","host","container","node","action","toolkit","context","task","comment","name","viewer","time","context","user","selection","browser","selection","task","swt","column","bugzilla","tag","monitor","editor","image","job","viewer","http","file","shell","attribute","sort","monitor","context","working","degree","layout","extension","color","window","project","context","proposal","date","file","repository","action","task","data","non","hyperlink","ioexception","task","proxy","ui","provider","string","editor","query","file","search","element"
"2","parent","interaction","task","ui","part","page","key","ticket","highlighter","socket","task","object","selection","table","handler","monitor","group","bugzilla","text","date","object","usage","index","preview","image","category","grid","table","pattern","nls","code","task","descriptor","attachment","tree","method","stream","swt","data","priority","team","element","set","separation","composite","element","width","monitor","property","listener","java","calendar","stack","task","view","tasks","task","nls","offset","bytes","attribute","credentials","attachment","status","messages","part","url","files","result","resource"
"3","provider","kind","bugzilla","context","ui","query","format","client","perspective","sb","mapping","handle","menu","swt","xml","core","sb","flag","control","tip","element","id","value","dialog","x","tasks","layout","backup","string","non","method","repository","images","ui","refresh","header","output","notification","task","compare","resources","handle","change","clipboard","label","extensions","bounds","workbench","notification","activity","jdt","activity","trace","connector","task","itask","state","string","text","stream","date","repository","eclipse","service","name","form","web","monitor","query","resources"
"4","filter","events","url","store","editor","wizard","attribute","wiki","id","factory","delete","marker","manager","layout","string","data","comments","string","source","estimated","bridge","num","selected","page","action","ui","button","group","list","token","html","page","nls","core","filter","request","zip","color","value","0","usage","iinteraction","sets","job","grid","string","height","listener","properties","manager","ijava","start","s","url","ui","element","synchronization","1","region","buffer","priority","password","tasks","manager","nls","toolkit","string","name","order","iresource"
"5","dialog","structure","data","plugin","element","ui","value","exception","ui","append","itask","file","workbench","editor","externalizer","repository","text","state","editor","activity","type","collector","text","string","y","list","text","tasks","keywords","1","0","connector","non","status","listener","cookie","input","close","attributes","task","commit","node","iworking","listener","swt","point","gc","iworkbench","descriptor","active","completion","time","path","kind","menu","container","itask","id","line","interrupted","attachment","string","org","istatus","bundle","section","repository","usage","element","elements"
"6","swt","delta","client","editor","eclipse","tasks","string","page","view","port","delta","element","actions","set","element","tasks","person","element","content","progress","provider","event","label","url","cursor","itask","selection","directory","nls","value","exception","ui","create","tasks","part","apache","io","display","meta","3","monitoring","interest","active","transfer","data","nls","data","platform","core","listeners","computer","end","given","query","list","mylyn","file","contribution","m","close","data","http","core","link","test","composite","sb","error","java","object"
"7","text","origin","core","auto","viewers","connector","creation","field","highlighters","commons","element","path","ui","grid","nls","manager","task","current","preview","tool","content","summary","values","dir","point","container","data","viewers","non","put","3","tasks","gif","eclipse","viewers","message","ioexception","layout","mapper","comparator","plugin","interaction","manager","jobs","set","non","size","part","java","event","assist","range","param","string","tasks","core","changed","description","url","read","changed","url","handler","error","message","page","params","upload","scope","children"
"8","viewer","date","status","group","org","settings","non","monitor","active","error","irepository","plugin","selected","viewer","attributes","exception","append","local","swt","text","core","interaction","string","wizard","bounds","internal","set","constants","email","character","request","url","1","data","action","context","entry","title","handler","direction","template","core","edit","change","create","plugin","x","ui","eclipse","history","folding","week","compare","set","selection","list","event","result","ihyperlink","src","description","auth","mylyn","plugin","reload","task","append","zip","match","core"
"9","jface","navigation","error","value","viewer","search","set","version","preference","timeout","tasks","string","id","selection","template","list","size","custom","jface","total","structure","report","list","settings","scaled","summary","composite","label","configuration","tokenizer","1","id","common","monitor","structured","idx","exception","popup","type","index","preference","identifier","team","event","combo","iextension","0","plugin","id","meta","position","task","zip","status","drop","ui","core","attachment","hyperlinks","timeout","level","authentication","task","log","page","control","text","backup","ijava","iadaptable"
"10","item","id","language","bundle","ieditor","task","1","core","plugin","connection","category","ant","copy","composite","document","status","itask","equals","composite","td","ui","integer","old","location","gc","active","page","hour","1","entities","attribute","input","tool","org","manager","msg","e","rgb","child","memento","resource","landmark","history","plugin","control","name","swt","core","provider","previous","proposals","day","object","id","eclipse","manager","path","list","pattern","attempts","model","type","execution","providers","initialize","create","property","pair","removed","adapter"
