"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1","bugzilla","context","action","attribute","layout","file","task","string","context"
"2","search","monitor","viewer","date","swt","preference","repository","attribute","element"
"3","string","stream","ui","task","composite","usage","tasks","non","handle"
"4","repository","exception","selection","trac","grid","monitor","itask","nls","node"
"5","attachment","xml","part","data","text","data","connector","url","bridge"
"6","id","plugin","view","time","button","store","query","1","object"
"7","query","page","menu","client","label","zip","container","image","iinteraction"
"8","field","window","task","calendar","data","event","core","element","provider"
"9","trac","core","working","ticket","toolkit","listener","data","repository","structure"
"10","name","input","editor","value","editor","directory","ui","descriptor","interest"
"11","flag","editor","manager","tag","selection","backup","url","attributes","extension"
"12","type","ui","eclipse","type","control","page","manager","sb","core"
"13","product","ioexception","set","http","set","events","eclipse","data","resource"
"14","user","file","org","week","table","plugin","mylyn","value","resources"
"15","nls","output","tree","range","widgets","files","category","name","point"
"16","page","e","viewers","key","color","wizard","irepository","comment","project"
"17","collector","wiki","tasks","mapper","section","ui","job","state","tree"
"18","messages","interaction","jface","day","width","constants","kind","append","interaction"
"19","source","error","listener","end","fill","attachment","org","offset","java"
"20","num","status","active","start","dialog","job","element","line","content"
