"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","bug","loc","bf","hcm"
"1",0,0,2.30258509299405,3.85014760171006,2.19722457733622,4.56434819146784,0,0.693147180559945,0,0,0,3.17805383034795,0,3.71677
"2",0,0,3.52636052461616,2.39789527279837,0,3.17805383034795,1.38629436111989,0,0,0,0,2.19722457733622,0,6.41569
"3",0,1.09861228866811,0,5.23110861685459,1.09861228866811,1.6094379124341,0,0,2.30258509299405,0,0,3.36729582998647,1,1.76682
"4",0,4.4188406077966,0,3.8286413964891,4.40671924726425,0,0,0,1.09861228866811,0,0,3.61091791264422,1,1.76682
"5",0,0,3.13549421592915,0,0,0,4.4188406077966,2.39789527279837,3.43398720448515,4.00733318523247,0,3.49650756146648,0,6.01575
"6",0,0,0.693147180559945,0,0.693147180559945,3.46573590279973,3.2188758248682,3.40119738166216,0,0,0,2.19722457733622,8,21.9852
"7",6.5191472879404,4.02535169073515,5.79605775076537,6.31173480915291,7.27655640271871,2.70805020110221,8.93115542977835,6.11809719804135,7.11882624906208,4.23410650459726,28,0,232,58.1518
"8",0,0,0,0,0,1.79175946922805,4.58496747867057,0,0,0,0,2.77258872223978,1,7.72196
"9",3.87120101090789,0,0,2.39789527279837,0,2.77258872223978,0,0,0,0,0,2.56494935746154,1,6.4354
"10",1.38629436111989,0,0,0,0,4.04305126783455,3.8286413964891,0,0,0,0,2.77258872223978,3,4.51037
"11",3.98898404656427,6.01615715969835,0.693147180559945,6.16331480403464,1.09861228866811,0,2.70805020110221,2.56494935746154,3.29583686600433,0,1,5.06890420222023,3,7.63864
"12",4.17438726989564,0,3.91202300542815,0,2.83321334405622,0,0,1.09861228866811,0,6.61873898351722,0,5.15329159449778,5,10.3932
"13",0,0,0,5.94803498918065,0,0,0,2.484906649788,0,3.29583686600433,0,3.95124371858143,2,6.12275
"14",0,2.484906649788,3.78418963391826,2.07944154167984,0,3.17805383034795,0,3.98898404656427,6.39859493453521,0,0,4.87519732320115,2,8.98492
"15",0,0,6.73101810048208,0,0,0,0,0,0,5.85507192220243,0,5.35185813347607,1,4.87416
"16",1.38629436111989,0,0,0,3.13549421592915,4.59511985013459,3.43398720448515,0,0,0,0,2.94443897916644,4,5.85726
"17",1.38629436111989,0,0,2.19722457733622,4.34380542185368,0,5.54126354515843,5.99146454710798,6.60934924316738,4.79579054559674,3,5.50533153593236,14,22.9998
"18",0,2.89037175789616,1.6094379124341,3.09104245335832,0,4.91998092582813,4.4188406077966,0,4.06044301054642,0,0,3.76120011569356,1,0
"19",2.484906649788,0,1.09861228866811,0,1.6094379124341,4.66343909411207,0,0,0,0,0,3.61091791264422,0,6.42599
"20",0,2.63905732961526,0,6.07534603108868,0,0,0,4.66343909411207,6.66057514983969,0,0,5.53338948872752,23,15.7896
"21",2.83321334405622,3.36729582998647,5.38449506278909,0,0,4.29045944114839,4.47733681447821,0,0,1.09861228866811,0,3.55534806148941,9,18.6755
"22",4.88280192258637,0,6.50428817353665,3.36729582998647,3.40119738166216,0,1.79175946922805,0,0,4.68213122712422,1,4.82028156560504,11,21.0216
"23",0,0,2.89037175789616,0.693147180559945,0,0,2.94443897916644,0,0,0,1,0,2,5.98814
"24",3.17805383034795,2.484906649788,4.06044301054642,0,0,0,0,6.07764224334903,4.9416424226093,4.15888308335967,1,4.77912349311153,2,11.1043
"25",3.13549421592915,0,4.75359019110636,0,0,5.46383180502561,5.86929691313377,3.78418963391826,4.26267987704132,4.44265125649032,1,4.90527477843843,8,22.1695
"26",6.56526497003536,2.77258872223978,2.07944154167984,3.66356164612965,0.693147180559945,0,0,2.70805020110221,2.30258509299405,4.969813299576,0,5.47227067367148,7,14.0182
"27",0,0,0,3.76120011569356,0,0,4.85981240436167,0.693147180559945,0,0,0,2.63905732961526,0,5.32582
"28",0,0,0,0,0,4.61512051684126,5.01063529409626,0,1.79175946922805,0,0,3.49650756146648,0,3.18664
"29",0,0,3.71357206670431,0,0,0,4.91265488573605,0,0,0,0,3.04452243772342,0,4.68802
"30",0,6.37672694789863,0,0,0,5.99645208861902,5.59471137960184,0,5.38449506278909,0,0,5.76205138278018,24,16.953
"31",4.36944785246702,0,0,0,0,0,0,3.63758615972639,0,4.38202663467388,0,3.80666248977032,2,7.10446
"32",4.18965474202643,0,1.79175946922805,0,0,4.97673374242057,2.19722457733622,0,0,0,0,3.87120101090789,2,12.8088
"33",5.46383180502561,0,3.46573590279973,0,4.56434819146784,2.19722457733622,0,0,0,5.76832099579377,0,4.97673374242057,4,12.3547
"34",0,1.94591014905531,2.83321334405622,5.08759633523238,0,5.82894561761021,5.57215403217776,0,1.38629436111989,0,1,5.03695260241363,8,17.2555
