file,V1,V2,V3,V4,V5,bug,loc,bf,hcm
org::eclipse::pde::internal::core::text::toc::TocAnchor,1.609437912,3.761200116,4.736198448,0,0,0,3.17805383,0,3.71677
org::eclipse::pde::internal::ui::editor::SystemFileEditorInputFactory,0.693147181,3.295836866,3.044522438,0,3.135494216,0,2.197224577,0,6.41569
org::eclipse::pde::internal::ui::editor::cheatsheet::simple::actions::SimpleCSRemoveRunObjectAction,0,4.094344562,4.875197323,0,2.708050201,0,3.36729583,1,1.76682
org::eclipse::pde::internal::ui::editor::outline::QuickOutlineNamePatternFilter,0,0,4.919980926,4.317488114,0,0,3.610917913,1,1.76682
org::eclipse::pde::internal::ui::tests::macro::FocusCommand,0,4.59511985,0.693147181,4.574710979,1.386294361,0,3.496507561,0,6.01575
org::eclipse::pde::internal::ui::build::ProductExportJob,1.791759469,3.610917913,2.944438979,3.33220451,0,0,2.197224577,8,21.9852
org::eclipse::pde::internal::ui::PDEUIMessages,7.349873705,7.120444372,8.167351987,8.084562415,7.948385285,28,0,232,58.1518
org::eclipse::pde::internal::ui::wizards::tools::ConvertedProjectWizard,0,0,3.784189634,4.094344562,0,0,2.772588722,1,7.72196
org::eclipse::pde::internal::ui::correction::OrganizeExportPackageResolution,4.007333185,0,0,2.944438979,0,0,2.564949357,1,6.4354
org::eclipse::pde::internal::ui::views::plugins::JavaSearchOperation,4.634728988,0,1.098612289,0,0,0,2.772588722,3,4.51037
org::eclipse::pde::internal::ui::editor::PDEFormTextEditorContributor,4.234106505,0,6.49677499,3.044522438,5.488937726,1,5.068904202,3,7.63864
org::eclipse::pde::internal::core::builders::SchemaErrorReporter,4.248495242,6.698268054,0,0,0,0,5.153291594,5,10.3932
org::eclipse::pde::internal::core::cheatsheet::comp::CompCSDependency,0,5.739792912,0,4.700480366,0,0,3.951243719,2,6.12275
org::eclipse::pde::internal::ui::editor::target::ArgumentsSection,0,2.564949357,0,5.693732139,6.063785209,0,4.875197323,2,8.98492
org::eclipse::pde::internal::core::product::ArgumentsInfo,0,7.07834158,0,0,0,0,5.351858133,1,4.87416
org::eclipse::pde::internal::core::search::ExtensionPluginSearchScope,4.219507705,0,4.454347296,0.693147181,0,0,2.944438979,4,5.85726
org::eclipse::pde::internal::ui::wizards::plugin::PluginContentPage,3.496507561,4.094344562,0,7.237059026,4.804021045,3,5.505331536,14,22.9998
org::eclipse::pde::internal::ui::wizards::ctxhelp::NewCtxHelpOperation,1.098612289,4.060443011,4.787491743,3.044522438,4.787491743,0,3.761200116,1,0
org::eclipse::pde::internal::core::build::Build,4.510859507,3.496507561,0,0,0,0,3.610917913,0,6.42599
org::eclipse::pde::internal::ui::editor::cheatsheet::simple::details::SimpleCSItemDetails,0,1.098612289,4.248495242,5.564520407,6.909753282,0,5.533389489,23,15.7896
org::eclipse::pde::internal::ui::build::BuildFeatureAction,5.231108617,4.990432587,4.477336814,0,1.386294361,0,3.555348061,9,18.6755
org::eclipse::pde::ui::launcher::EquinoxLaunchConfiguration,5.087596335,6.66440902,0,3.17805383,0,1,4.820281566,11,21.0216
org::eclipse::pde::internal::core::exports::FeatureExportInfo,2.079441542,3.401197382,0,0,0,1,0,2,5.98814
org::eclipse::pde::internal::ui::launcher::ProgramBlock,2.397895273,5.170483995,0,6.28785856,1.945910149,1,4.779123493,2,11.1043
org::eclipse::pde::internal::ui::PDEPlugin,5.164785974,5.587248658,0,5.910796644,4.744932128,1,4.905274778,8,22.1695
org::eclipse::pde::internal::core::text::bundle::ExportPackageObject,6.56667243,5.308267697,2.995732274,1.945910149,0,0,5.472270674,7,14.0182
org::eclipse::pde::internal::ui::wizards::product::NewProductFileAction,0,0,4.709530201,4.127134385,0,0,2.63905733,0,5.32582
org::eclipse::pde::internal::ui::search::dependencies::AddNewDependenciesAction,4.94875989,0,4.077537444,3.988984047,1.386294361,0,3.496507561,0,3.18664
org::eclipse::pde::internal::ui::tests::macro::NewMacroWizard,0,3.828641396,0,4.875197323,0,0,3.044522438,0,4.68802
org::eclipse::pde::internal::ui::editor::feature::PluginSection,2.63905733,0,7.079184395,4.369447852,5.283203729,0,5.762051383,24,16.953
org::eclipse::pde::internal::core::text::bundle::SingleManifestHeader,5.272999559,0,0,0,0,0,3.80666249,2,7.10446
org::eclipse::pde::internal::ui::refactoring::ManifestPackageMoveParticipant,5.351858133,0.693147181,0,2.48490665,0,0,3.871201011,2,12.8088
org::eclipse::pde::internal::core::plugin::Fragment,5.659482216,5.991464547,1.386294361,0,0,0,4.976733742,4,12.3547
org::eclipse::pde::internal::ui::editor::site::SiteEditor,4.919980926,4.077537444,5.796057751,0,5.583496309,1,5.036952602,8,17.2555
org::eclipse::pde::internal::core::target::TargetObject,0,4.682131227,4.553876892,0,0,0,3.433987204,1,6.09363
org::eclipse::pde::ui::launcher::MainTab,0,4.521788577,0,6.311734809,3.17805383,0,4.574710979,7,17.0132
org::eclipse::pde::internal::ui::editor::context::XMLDocumentSetupParticpant,0,3.496507561,0,4.060443011,2.079441542,0,2.772588722,1,9.16205
org::eclipse::pde::internal::ui::editor::build::JARFileFilter,3.970291914,3.583518938,3.951243719,2.397895273,0,0,3.465735903,1,7.83167
org::eclipse::pde::internal::ui::templates::osgi::OSGiPreferencesServiceTemplate,1.386294361,0,5.361292166,2.890371758,0,0,3.401197382,2,1.56044
org::eclipse::pde::internal::core::text::toc::TocLink,3.135494216,4.043051268,4.94875989,0,3.33220451,0,3.433987204,0,3.71677
org::eclipse::pde::internal::ui::wizards::extension::ExtensionEditorSelectionPage,0,0,5.313205979,0,1.098612289,0,3.17805383,0,9.36692
org::eclipse::pde::internal::core::text::bundle::BundleClasspathHeader,4.262679877,0,0,0.693147181,0,0,2.302585093,1,5.36088
org::eclipse::pde::internal::ui::wizards::RenameDialog,0,4.110873864,0,6.238324625,1.098612289,0,4.65396035,3,13.5092
org::eclipse::pde::internal::ui::editor::site::SiteInputContext,0,0,2.772588722,0,4.219507705,1,4.709530201,1,8.39741
org::eclipse::pde::internal::ui::wizards::target::TargetDefinitionFromTargetOperation,2.302585093,4.454347296,3.850147602,0,0,1,2.890371758,1,5.70432
org::eclipse::pde::internal::ui::refactoring::ResourceMoveParticipant,5.429345629,3.218875825,0,0,0,0,3.688879454,2,5.2122
org::eclipse::pde::internal::ui::editor::target::JRESection,0,0,0,6.475432717,6.089044875,0,5.192956851,5,12.5528
org::eclipse::pde::internal::ui::editor::plugin::RuntimePage,3.850147602,0,2.079441542,1.609437912,5.38907173,0,3.555348061,4,17.1566
org::eclipse::pde::internal::ui::editor::actions::HyperlinkAction,1.791759469,0,4.262679877,5.446737372,4.700480366,0,4.553876892,3,5.38823
org::eclipse::pde::internal::ui::wizards::tools::ExtensionPointMappings,4.143134726,5.293304825,2.63905733,2.564949357,4.394449155,0,3.526360525,0,8.04434
org::eclipse::pde::internal::ui::wizards::feature::CreateFeatureProjectFromLaunchOperation,4.060443011,4.8978398,1.386294361,3.663561646,1.945910149,0,3.295836866,3,4.41939
org::eclipse::pde::internal::core::text::plugin::PluginAttribute,0.693147181,6.338594078,3.713572067,0,3.36729583,0,4.248495242,4,12.3849
org::eclipse::pde::internal::ui::editor::text::ManifestConfiguration,6.333279628,0,0,6.663132696,0,0,4.543294782,11,16.5679
org::eclipse::pde::internal::ui::editor::text::ExternalizedStringRule,0,3.871201011,0,4.465908119,2.564949357,0,2.890371758,1,1.76682
org::eclipse::pde::internal::core::site::SiteObject,3.33220451,5.793013608,4.779123493,1.098612289,2.63905733,0,4.882801923,2,14.705
org::eclipse::pde::internal::core::variables::TargetOSVariableResolver,0,3.583518938,0.693147181,0,2.772588722,0,1.386294361,1,1.77712
org::eclipse::pde::internal::ui::editor::product::PluginSection,5.497168225,0,6.771935556,6.444131257,5.552959585,0,6.070737728,15,27.4268
org::eclipse::pde::internal::ui::templates::ide::BuilderTemplate,0,5.655991811,6.841615476,0,0,0,5.117993812,4,6.33209
org::eclipse::pde::internal::core::natures::PluginProject,3.80666249,0,2.564949357,0,0,0,2.48490665,1,3.19695
org::eclipse::pde::internal::ui::wizards::plugin::NewLibraryPluginCreationOperation,7.395107547,5.049856007,0,4.33073334,1.386294361,1,6.033086222,8,21.8404
org::eclipse::pde::internal::ui::correction::ChooseClassXMLResolution,3.988984047,3.135494216,3.761200116,0,2.833213344,0,2.995732274,2,9.25652
org::eclipse::pde::internal::ui::editor::contentassist::XMLElementProposalComputer,6.210600077,4.770684624,4.060443011,0,4.787491743,0,4.86753445,3,4.385
org::eclipse::pde::internal::core::WorkspacePluginModelManager,7.408530567,5.480638923,4.060443011,1.609437912,4.574710979,1,5.752572639,9,16.6538
org::eclipse::pde::internal::ui::editor::toc::actions::TocRemoveObjectAction,0,0,5.587248658,0,0,0,3.850147602,0,4.33338
org::eclipse::pde::internal::ui::wizards::plugin::NewPluginProjectWizard,0,0,6.120297419,5.59471138,2.079441542,0,4.709530201,7,18.4091
org::eclipse::pde::internal::ui::editor::build::BuildClasspathSection,6.01615716,0,5.602118821,5.488937726,5.866468057,0,5.361292166,6,17.8255
org::eclipse::pde::internal::ui::correction::AddSingletonToSymbolicName,5.087596335,0,0,1.609437912,0,0,3.36729583,2,8.10954
org::eclipse::pde::internal::ui::views::dependencies::CallersContentProvider,3.737669618,0,2.995732274,0,0,0,2.63905733,3,4.69981
org::eclipse::pde::internal::ui::wizards::exports::BaseExportWizard,0,0,2.890371758,5.023880521,2.944438979,0,3.828641396,7,12.0569
org::eclipse::pde::internal::ui::tests::macro::PlaybackAction,0,1.609437912,5.049856007,4.418840608,0,0,3.496507561,0,7.26436
org::eclipse::pde::internal::ui::editor::plugin::rows::TranslatableAttributeRow,0,0,2.197224577,0,4.521788577,0,2.63905733,1,1.76682
org::eclipse::pde::internal::ui::wizards::product::NewProductFileWizard,0,3.555348061,4.736198448,4.304065093,3.433987204,0,3.496507561,1,15.5592
org::eclipse::pde::internal::ui::wizards::site::NewSiteProjectWizard,3.526360525,2.944438979,4.290459441,4.634728988,2.772588722,0,3.555348061,3,10.2202
org::eclipse::pde::internal::core::util::Headers,6.200509174,3.526360525,3.36729583,2.302585093,0,0,4.543294782,1,1.50465
org::eclipse::pde::internal::core::site::WorkspaceSiteModel,0,5.855071922,0,0,3.135494216,0,4.564348191,2,8.48552
org::eclipse::pde::internal::ui::editor::schema::SchemaDtdDetailsSection,0,0,2.772588722,0,5.560681631,0,3.761200116,1,1.76682
org::eclipse::pde::internal::core::util::XMLComponentRegistry,5.976350909,1.386294361,0,0,2.995732274,0,4.584967479,1,1.77712
org::eclipse::pde::internal::core::text::cheatsheet::simple::SimpleCSModel,0,5.552959585,1.098612289,0,0,0,3.496507561,1,4.41258
org::eclipse::pde::internal::ui::editor::build::SrcSection,5.472270674,0,0,0.693147181,3.988984047,0,3.784189634,1,7.72196
org::eclipse::pde::internal::core::search::PluginJavaSearchUtil,6.371611847,0,1.098612289,0,0,0,4.634728988,5,14.1511
org::eclipse::pde::internal::core::text::bundle::BundleSymbolicNameHeader,5.003946306,0,0,0,0,0,3.465735903,2,5.07878
