"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1","bundle","object","file","editor","extension","model","feature","text","layout","node"
"2","header","action","path","simple","element","iplugin","page","combo","grid","element"
"3","entry","viewer","nls","isimple","point","plugin","wizard","f","form","attribute"
"4","version","selection","location","javadoc","iplugin","base","string","product","data","value"
"5","project","tree","url","object","template","file","ifeature","control","section","nls"
"6","manifest","element","writer","item","plugin","change","selection","key","selection","string"
"7","build","ischema","non","internal","schema","core","dialog","color","button","attr"
"8","library","objects","configuration","idocument","wizard","input","settings","command","swt","offset"
"9","constants","menu","1","pde","option","toc","models","swt","toolkit","idocument"
"10","token","target","stream","see","name","object","export","splash","composite","name"
"11","base","schema","monitor","comp","nls","bundle","project","listener","text","non"
"12","plugin","item","println","page","attribute","imodel","features","iproduct","page","1"
"13","value","table","args","icomp","base","pde","plugins","event","entry","child"
"14","fragment","parent","string","node","string","changed","shell","viewer","details","line"
"15","ibuild","drop","zip","org","non","extensions","title","data","set","writer"
"16","resolution","event","properties","eclipse","page","isite","ui","group","f","document"
"17","classpath","compositor","directory","ctx","id","exception","workspace","tab","dialog","attributes"
"18","string","source","platform","outline","templates","provider","site","widget","gd","buffer"
"19","state","handle","locations","context","1","delta","window","c","label","p"
"20","ibundle","type","exception","ui","section","eclipse","action","buffer","ui","flags"
