"","V1","V2","V3","V4","V5"
"1","bundle","node","action","swt","form"
"2","model","writer","object","selection","section"
"3","build","non","extension","button","editor"
"4","header","nls","iplugin","layout","entry"
"5","project","1","wizard","data","toolkit"
"6","entry","buffer","page","grid","details"
"7","base","string","selection","viewer","page"
"8","library","configuration","toc","f","image"
"9","manifest","core","model","page","context"
"10","iplugin","file","feature","composite","layout"
"11","version","attribute","element","dialog","text"
"12","plugin","append","viewer","control","ischema"
"13","monitor","print","objects","combo","schema"
"14","fragment","document","editor","tab","client"
"15","models","println","point","wizard","forms"
"16","constants","idocument","template","set","ui"
"17","ibundle","element","tree","text","part"
"18","core","attr","menu","group","help"
"19","map","name","section","listener","obj"
"20","state","stream","base","widget","data"
